ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2001,2001-09-09,1,25.006,NYJ,,IND,L 24-45,,,,,
2,2001,2001-09-23,2,25.020,NYJ,@,NWE,W 10-3,,,,,
3,2001,2001-10-01,3,25.028,NYJ,,SFO,L 17-19,,,,,
4,2001,2001-10-07,4,25.034,NYJ,@,BUF,W 42-36,,,,,
5,2001,2001-10-14,5,25.041,NYJ,,MIA,W 21-17,,,,,
6,2001,2001-10-21,6,25.048,NYJ,,STL,L 14-34,,,,,
7,2001,2001-10-28,7,25.055,NYJ,@,CAR,W 13-12,,,,,
8,2001,2001-11-04,8,25.062,NYJ,@,NOR,W 16-9,,,,,
9,2001,2001-11-11,9,25.069,NYJ,,KAN,W 27-7,,,,,
10,2001,2001-11-18,10,25.076,NYJ,@,MIA,W 24-0,,,,,
11,2001,2001-12-02,11,25.090,NYJ,,NWE,L 16-17,,,,,
12,2001,2001-12-09,12,25.097,NYJ,@,PIT,L 7-18,,,,,
13,2001,2001-12-16,13,25.104,NYJ,,CIN,W 15-14,,,,,
14,2001,2001-12-23,14,25.111,NYJ,@,IND,W 29-28,,,,,
15,2001,2001-12-30,15,25.118,NYJ,,BUF,L 9-14,,,,,
16,2001,2002-01-06,16,25.125,NYJ,@,OAK,W 24-22,,,,,
17,2002,2002-09-08,1,26.005,NYJ,@,BUF,W 37-31,,,,,
18,2002,2002-09-15,2,26.012,NYJ,,NWE,L 7-44,,1,0,0.00,0
19,2002,2002-09-22,3,26.019,NYJ,@,MIA,L 3-30,,,,,
20,2002,2002-09-29,4,26.026,NYJ,@,JAX,L 3-28,,,,,
21,2002,2002-10-06,5,26.033,NYJ,,KAN,L 25-29,,,,,
22,2002,2002-10-20,6,26.047,NYJ,,MIN,W 20-7,,,,,
23,2002,2002-10-27,7,26.054,NYJ,,CLE,L 21-24,,,,,
24,2002,2002-11-03,8,26.061,NYJ,@,SDG,W 44-13,,,,,
25,2002,2002-11-10,9,26.068,NYJ,,MIA,W 13-10,,,,,
26,2002,2002-11-17,10,26.075,NYJ,@,DET,W 31-14,,,,,
27,2002,2002-11-24,11,26.082,NYJ,,BUF,W 31-13,,,,,
28,2002,2002-12-02,12,26.090,NYJ,@,OAK,L 20-26,,,,,
29,2002,2002-12-08,13,26.096,NYJ,,DEN,W 19-13,,,,,
30,2002,2002-12-15,14,26.103,NYJ,@,CHI,L 13-20,,,,,
31,2002,2002-12-22,15,26.110,NYJ,@,NWE,W 30-17,,,,,
32,2002,2002-12-29,16,26.117,NYJ,,GNB,W 42-17,,,,,
