ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2017,2017-10-01,4,23.255,NYG,@,TAM,L 23-25,
2,2017,2017-10-08,5,23.262,NYG,,LAC,L 22-27,
3,2017,2017-10-15,6,23.269,NYG,@,DEN,W 23-10,
4,2017,2017-10-22,7,23.276,NYG,,SEA,L 7-24,
5,2017,2017-11-05,8,23.290,NYG,,LAR,L 17-51,
6,2017,2017-11-19,10,23.304,NYG,,KAN,W 12-9,*
7,2017,2017-11-23,11,23.308,NYG,@,WAS,L 10-20,*
8,2017,2017-12-03,12,23.318,NYG,@,OAK,L 17-24,*
9,2017,2017-12-17,14,23.332,NYG,,PHI,L 29-34,
10,2017,2017-12-24,15,23.339,NYG,@,ARI,L 0-23,*
11,2017,2017-12-31,16,23.346,NYG,,WAS,W 18-10,*
12,2018,2018-09-09,1,24.233,NYG,,JAX,L 15-20,
13,2018,2018-09-23,3,24.247,NYG,@,HOU,W 27-22,*
