ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.024,TAM,,SFO,W 13-6,,,,,,,
2,1997,1997-09-21,4,22.045,TAM,,MIA,W 31-21,,,,,,,
3,1997,1997-09-28,5,22.052,TAM,,ARI,W 19-18,,,,,,,
4,1997,1997-10-12,7,22.066,TAM,,DET,L 9-27,,,,,,,
5,1997,1997-11-02,9,22.087,TAM,@,IND,W 31-28,,,,,,,
6,1997,1997-11-09,10,22.094,TAM,@,ATL,W 31-10,,,,,,,
7,1997,1997-11-16,11,22.101,TAM,,NWE,W 27-7,,,,,,,
8,1997,1997-11-23,12,22.108,TAM,@,CHI,L 7-13,,,,,,,
9,1997,1997-11-30,13,22.115,TAM,@,NYG,W 20-8,,,,,,,
10,1997,1997-12-07,14,22.122,TAM,,GNB,L 6-17,,,,,,,
11,1997,1997-12-14,15,22.129,TAM,@,NYJ,L 0-31,,,,,,,
12,1997,1997-12-21,16,22.136,TAM,,CHI,W 31-15,,,,,,,
13,1998,1998-09-06,1,23.030,TAM,@,MIN,L 7-31,,,,,,,
14,1998,1998-09-13,2,23.037,TAM,@,GNB,L 15-23,,,,,,,
15,1998,1998-09-20,3,23.044,TAM,,CHI,W 27-15,,,,,,,
16,1998,1998-09-28,4,23.052,TAM,@,DET,L 6-27,,,,,,,
17,1998,1998-10-04,5,23.058,TAM,,NYG,W 20-3,,,,,,,
18,1998,1998-10-18,6,23.072,TAM,,CAR,W 16-13,,,,,,,
19,1998,1998-10-25,7,23.079,TAM,@,NOR,L 3-9,,,,,,,
20,1998,1998-11-01,8,23.086,TAM,,MIN,W 27-24,,,,,,,
21,1998,1998-11-08,9,23.093,TAM,,TEN,L 22-31,,,,,,,
22,1998,1998-11-15,10,23.100,TAM,@,JAX,L 24-29,,,,,,,
23,1998,1998-11-22,11,23.107,TAM,,DET,L 25-28,,,,,,,
24,1998,1998-11-29,12,23.114,TAM,@,CHI,W 31-17,,,,,,,
25,1998,1998-12-07,13,23.122,TAM,,GNB,W 24-22,,,,,,,
26,1998,1998-12-13,14,23.128,TAM,,PIT,W 16-3,,,,,,,
27,1998,1998-12-19,15,23.134,TAM,@,WAS,L 16-20,,,,,,,
28,1999,1999-09-19,2,24.043,TAM,@,PHI,W 19-5,,,,,,,
29,1999,1999-09-26,3,24.050,TAM,,DEN,W 13-10,,,,,,,
30,1999,1999-10-03,4,24.057,TAM,@,MIN,L 14-21,,,,,,,
31,1999,1999-10-10,5,24.064,TAM,@,GNB,L 23-26,,,,,,,
32,1999,1999-10-24,6,24.078,TAM,,CHI,W 6-3,,,,,,,
33,1999,1999-10-31,7,24.085,TAM,@,DET,L 3-20,,0,0,0.5,0,0,0
34,1999,1999-11-07,8,24.092,TAM,@,NOR,W 31-16,,,,,,,
35,1999,1999-11-14,9,24.099,TAM,,KAN,W 17-10,,,,,,,
36,1999,1999-11-21,10,24.106,TAM,,ATL,W 19-10,,,,,,,
37,1999,1999-11-28,11,24.113,TAM,@,SEA,W 16-3,,0,0,0.0,1,7,0
38,1999,1999-12-06,12,24.121,TAM,,MIN,W 24-17,,,,,,,
39,1999,1999-12-12,13,24.127,TAM,,DET,W 23-16,,,,,,,
40,1999,1999-12-19,14,24.134,TAM,@,OAK,L 0-45,,,,,,,
41,1999,1999-12-26,15,24.141,TAM,,GNB,W 29-10,,,,,,,
42,1999,2000-01-02,16,24.148,TAM,@,CHI,W 20-6,,,,,,,
43,2000,2000-09-03,1,25.027,TAM,@,NWE,W 21-16,,,,,,,
44,2000,2000-09-10,2,25.034,TAM,,CHI,W 41-0,,,,,,,
