ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1995,1995-10-22,7,23.265,STL,,SFO,L 10-44,5,26,5.20,0,0,0,0,,0,0.0%,
2,1995,1995-11-05,9,23.279,STL,@,NOR,L 10-19,12,55,4.58,0,1,0,0,,0,0.0%,0.00
3,1995,1995-11-19,11,23.293,STL,@,ATL,L 6-31,0,0,,0,,0,0,,0,0.0%,
4,1995,1995-12-03,13,23.307,STL,@,NYJ,W 23-20,5,9,1.80,0,1,1,-3,-3.00,0,100.0%,-3.00
