ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-12-03,12,23.226,MIN,@,CHI,L 13-23,,3,4,75.00,35,0,0,101.0,1,0,8.75,8.75,0,0,,0,,0,0,0.0,,
2,2006,2006-12-17,14,23.240,MIN,,NYJ,L 13-26,,14,23,60.87,177,1,1,81.2,0,0,7.70,6.61,3,20,6.67,0,,0,0,0.0,,
3,2006,2006-12-21,15,23.244,MIN,@,GNB,L 7-9,*,10,20,50.00,50,0,1,35.4,3,23,2.50,0.25,5,23,4.60,0,,0,0,0.0,,
4,2006,2006-12-31,16,23.254,MIN,,STL,L 21-41,*,20,34,58.82,213,1,2,62.5,4,14,6.26,4.21,7,34,4.86,1,,1,6,0.0,,
5,2007,2007-09-09,1,24.141,MIN,,ATL,W 24-3,*,13,23,56.52,163,1,1,75.1,0,0,7.09,6.00,2,10,5.00,0,,0,0,0.0,,
6,2007,2007-09-16,2,24.148,MIN,@,DET,L 17-20,*,17,33,51.52,166,0,4,26.4,1,0,5.03,-0.42,5,16,3.20,1,,1,6,0.0,,
7,2007,2007-10-14,5,24.176,MIN,@,CHI,W 34-31,*,9,23,39.13,136,1,0,73.8,1,3,5.91,6.78,0,0,,0,,0,0,0.0,,
8,2007,2007-10-21,6,24.183,MIN,@,DAL,L 14-24,*,6,19,31.58,72,0,0,44.2,3,7,3.79,3.79,4,20,5.00,0,,0,0,0.0,,
9,2007,2007-11-04,8,24.197,MIN,,SDG,W 35-17,*,6,12,50.00,63,0,0,65.6,0,0,5.25,5.25,2,19,9.50,0,,0,0,0.0,,
10,2007,2007-11-18,10,24.211,MIN,,OAK,W 29-22,*,17,22,77.27,171,0,1,79.9,3,15,7.77,5.73,3,19,6.33,0,,0,0,0.0,,
11,2007,2007-11-25,11,24.218,MIN,@,NYG,W 41-17,*,10,12,83.33,129,1,0,139.2,4,5,10.75,12.42,5,38,7.60,0,,0,0,0.0,,
12,2007,2007-12-02,12,24.225,MIN,,DET,W 42-10,*,18,24,75.00,204,2,1,110.4,1,4,8.50,8.29,5,20,4.00,0,,0,0,0.0,,
13,2007,2007-12-09,13,24.232,MIN,@,SFO,W 27-7,*,16,25,64.00,163,1,0,95.9,0,0,6.52,7.32,9,13,1.44,0,,0,0,0.0,,
14,2007,2007-12-17,14,24.240,MIN,,CHI,W 20-13,*,18,29,62.07,249,0,3,50.0,2,13,8.59,3.93,7,25,3.57,0,,0,0,0.0,,
15,2007,2007-12-23,15,24.246,MIN,,WAS,L 21-32,*,25,41,60.98,220,1,2,63.1,1,8,5.37,3.66,8,44,5.50,2,,2,12,0.0,,
16,2007,2007-12-30,16,24.253,MIN,@,DEN,L 19-22,*,16,31,51.61,175,2,0,90.1,3,15,5.65,6.94,4,36,9.00,0,,0,0,0.0,,
17,2008,2008-09-08,1,25.140,MIN,@,GNB,L 19-24,*,16,35,45.71,178,1,1,59.0,1,10,5.09,4.37,9,65,7.22,0,,0,0,0.0,0,0
18,2008,2008-09-14,2,25.146,MIN,,IND,L 15-18,*,14,24,58.33,130,0,0,73.3,2,10,5.42,5.42,2,0,0.00,0,,0,0,0.0,0,0
19,2008,2008-09-28,4,25.160,MIN,@,TEN,L 17-30,,1,1,100.00,8,0,0,100.0,2,12,8.00,8.00,0,0,,0,,0,0,0.0,0,0
20,2008,2008-10-06,5,25.168,MIN,@,NOR,W 30-27,,,,,,,,,0,,,,,,,,,,,,,
