ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1998,1998-09-20,3,23.089,TEN,@,NWE,L 16-27,,,,,,,0.0%,,,,,,,,,,,
2,1998,1998-09-27,4,23.096,TEN,,JAX,L 22-27,,1,,,,,0.0%,,,,,,,,,,,
3,1998,1998-10-18,6,23.117,TEN,,CIN,W 44-14,,4,4,82,20.50,1,100.0%,20.50,0,0,,0,0,0,,0,1,6
4,1998,1998-10-25,7,23.124,TEN,,CHI,L 20-23,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0
5,1998,1998-11-01,8,23.131,TEN,@,PIT,W 41-31,,4,2,16,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,1,6
6,1998,1998-11-08,9,23.138,TEN,@,TAM,W 31-22,,4,2,40,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0
7,1998,1998-11-15,10,23.145,TEN,,PIT,W 23-14,,8,4,30,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0
8,1998,1998-11-22,11,23.152,TEN,,NYJ,L 3-24,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
9,1998,1998-11-29,12,23.159,TEN,@,SEA,L 18-20,,4,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,,0,0,0
10,1998,1998-12-13,14,23.173,TEN,@,JAX,W 16-13,,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,0,0
11,1998,1998-12-20,15,23.180,TEN,@,GNB,L 22-30,,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0
12,1998,1998-12-26,16,23.186,TEN,,MIN,L 16-26,,7,3,40,13.33,0,42.9%,5.71,0,0,,0,0,0,,0,0,0
13,1999,1999-09-12,1,24.081,TEN,,CIN,W 36-35,*,13,9,162,18.00,2,69.2%,12.46,0,0,,0,0,0,,0,2,12
14,1999,1999-09-19,2,24.088,TEN,,CLE,W 26-9,*,7,5,52,10.40,0,71.4%,7.43,0,0,,0,0,0,,0,0,0
15,1999,1999-09-26,3,24.095,TEN,@,JAX,W 20-19,*,10,6,79,13.17,0,60.0%,7.90,0,0,,0,0,0,,0,0,0
16,1999,1999-10-03,4,24.102,TEN,@,SFO,L 22-24,*,8,2,25,12.50,0,25.0%,3.13,0,0,,0,0,0,,0,0,0
17,1999,1999-10-10,5,24.109,TEN,,BAL,W 14-11,*,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0
18,1999,1999-10-17,6,24.116,TEN,@,NOR,W 24-21,*,6,3,41,13.67,1,50.0%,6.83,1,3,3.00,0,0,0,,0,1,6
19,1999,1999-10-31,7,24.130,TEN,,STL,W 24-21,*,6,2,19,9.50,0,33.3%,3.17,0,0,,0,0,0,,0,0,0
20,1999,1999-11-07,8,24.137,TEN,@,MIA,L 0-17,*,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,0,0,0
21,1999,1999-11-14,9,24.144,TEN,@,CIN,W 24-14,*,9,4,39,9.75,0,44.4%,4.33,0,0,,0,0,0,,0,0,0
22,1999,1999-11-21,10,24.151,TEN,,PIT,W 16-10,*,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0
23,1999,1999-11-28,11,24.158,TEN,@,CLE,W 33-21,*,10,4,42,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0
24,1999,1999-12-05,12,24.165,TEN,@,BAL,L 14-41,*,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,0,0
25,1999,1999-12-09,13,24.169,TEN,,OAK,W 21-14,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
26,1999,1999-12-19,14,24.179,TEN,,ATL,W 30-17,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0
27,1999,1999-12-26,15,24.186,TEN,,JAX,W 41-14,*,6,5,58,11.60,1,83.3%,9.67,0,0,,0,0,0,,0,1,6
28,1999,2000-01-02,16,24.193,TEN,@,PIT,W 47-36,*,4,2,34,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0
29,2000,2000-09-03,1,25.072,TEN,@,BUF,L 13-16,*,2,,,,,0.0%,,,,,,,,,,,
30,2000,2000-09-10,2,25.079,TEN,,KAN,W 17-14,*,9,6,104,17.33,1,66.7%,11.56,0,0,,0,0,0,,0,1,6
31,2001,2001-09-09,1,26.078,TEN,,MIA,L 23-31,*,10,4,51,12.75,0,40.0%,5.10,0,0,,0,0,0,,0,0,0
32,2001,2001-09-23,2,26.092,TEN,@,JAX,L 6-13,*,9,4,38,9.50,0,44.4%,4.22,0,0,,0,0,0,,0,0,0
33,2001,2001-10-07,3,26.106,TEN,@,BAL,L 7-26,*,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0
34,2001,2001-10-14,4,26.113,TEN,,TAM,W 31-28,*,4,2,13,6.50,1,50.0%,3.25,0,0,,0,0,0,,0,1,6
35,2001,2001-10-21,5,26.120,TEN,@,DET,W 27-24,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0
36,2001,2001-10-29,6,26.128,TEN,@,PIT,L 7-34,*,8,2,22,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0
37,2001,2001-11-04,7,26.134,TEN,,JAX,W 28-24,*,7,4,62,15.50,1,57.1%,8.86,0,0,,0,0,0,,0,1,6
38,2001,2001-11-12,8,26.142,TEN,,BAL,L 10-16,*,13,6,68,11.33,1,46.2%,5.23,0,0,,0,0,0,,0,1,6
39,2001,2001-11-18,9,26.148,TEN,@,CIN,W 20-7,*,4,4,55,13.75,1,100.0%,13.75,0,0,,0,0,0,,0,1,6
40,2001,2001-11-25,10,26.155,TEN,,PIT,L 24-34,*,9,4,112,28.00,1,44.4%,12.44,0,0,,0,0,0,,0,1,6
41,2001,2001-12-02,11,26.162,TEN,@,CLE,W 31-15,*,8,6,110,18.33,0,75.0%,13.75,0,0,,0,0,0,,0,0,0
42,2001,2001-12-09,12,26.169,TEN,@,MIN,L 24-42,*,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0
43,2001,2001-12-16,13,26.176,TEN,,GNB,W 26-20,*,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0
44,2001,2001-12-22,14,26.182,TEN,@,OAK,W 13-10,*,4,1,30,30.00,1,25.0%,7.50,0,0,,0,0,0,,0,1,6
45,2001,2001-12-30,15,26.190,TEN,,CLE,L 38-41,*,5,3,92,30.67,1,60.0%,18.40,0,0,,0,0,0,,0,1,6
46,2001,2002-01-06,16,26.197,TEN,,CIN,L 21-23,*,10,4,55,13.75,0,40.0%,5.50,0,0,,0,0,0,,0,0,0
47,2002,2002-09-08,1,27.077,TEN,,PHI,W 27-24,*,4,2,10,5.00,0,50.0%,2.50,1,-9,-9.00,0,0,0,,0,0,0
48,2002,2002-09-15,2,27.084,TEN,@,DAL,L 13-21,*,7,4,43,10.75,0,57.1%,6.14,0,0,,0,0,0,,0,0,0
49,2002,2002-09-22,3,27.091,TEN,,CLE,L 28-31,*,2,1,7,7.00,1,50.0%,3.50,0,0,,0,0,0,,0,1,6
