ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2010,2010-09-12,1,23.029,DEN,@,JAX,L 17-24,,0,0,,0,0,0,,0,,,,2,2,1.00,0,,0,0
2,2010,2010-10-17,6,23.064,DEN,,NYJ,L 20-24,,0,0,,0,0,0,,0,,,,6,23,3.83,1,,1,6
3,2010,2010-10-24,7,23.071,DEN,,OAK,L 14-59,,,,,,,,,0,,,,,,,,,,
4,2010,2010-10-31,8,23.078,DEN,@,SFO,L 16-24,,0,0,,0,0,0,,0,,,,2,1,0.50,1,,1,6
5,2010,2010-11-14,9,23.092,DEN,,KAN,W 49-29,,1,1,100.00,3,1,0,118.7,0,0,3.00,23.00,2,2,1.00,1,,1,6
6,2010,2010-11-22,10,23.100,DEN,@,SDG,L 14-35,,,,,,,,,0,,,,,,,,,,
7,2010,2010-12-19,14,23.127,DEN,@,OAK,L 23-39,*,8,16,50.00,138,1,0,100.5,2,9,8.63,9.88,8,78,9.75,1,,1,6
8,2010,2010-12-26,15,23.134,DEN,,HOU,W 24-23,*,16,29,55.17,308,1,1,89.4,1,3,10.62,9.76,10,27,2.70,1,,1,6
9,2010,2011-01-02,16,23.141,DEN,,SDG,L 28-33,*,16,36,44.44,205,2,2,58.2,3,14,5.69,4.31,13,94,7.23,1,,1,6
10,2011,2011-09-18,2,24.035,DEN,,CIN,W 24-22,,,,,,,,,,,,,,,,,,,
11,2011,2011-10-02,4,24.049,DEN,@,GNB,L 23-49,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0
12,2011,2011-10-09,5,24.056,DEN,,SDG,L 24-29,,4,10,40.00,79,1,0,101.7,0,0,7.90,9.90,6,38,6.33,1,,1,6
13,2011,2011-10-23,6,24.070,DEN,@,MIA,W 18-15,*,13,27,48.15,161,2,0,91.7,6,30,5.96,7.44,9,59,6.56,0,1,0,2
14,2011,2011-10-30,7,24.077,DEN,,DET,L 10-45,*,18,39,46.15,172,1,1,56.8,7,55,4.41,3.77,10,63,6.30,0,,0,0
15,2011,2011-11-06,8,24.084,DEN,@,OAK,W 38-24,*,10,21,47.62,124,2,0,98.1,1,11,5.90,7.81,13,118,9.08,0,,0,0
16,2011,2011-11-13,9,24.091,DEN,@,KAN,W 17-10,*,2,8,25.00,69,1,0,102.6,0,0,8.63,11.13,9,43,4.78,1,,1,6
17,2011,2011-11-17,10,24.095,DEN,,NYJ,W 17-13,*,9,20,45.00,104,0,0,61.2,1,0,5.20,5.20,8,68,8.50,1,,1,6
18,2011,2011-11-27,11,24.105,DEN,@,SDG,W 16-13,*,9,18,50.00,143,1,0,95.4,1,2,7.94,9.06,22,67,3.05,0,,0,0
19,2011,2011-12-04,12,24.112,DEN,@,MIN,W 35-32,*,10,15,66.67,202,2,0,149.3,2,16,13.47,16.13,4,13,3.25,0,1,0,2
20,2011,2011-12-11,13,24.119,DEN,,CHI,W 13-10,*,21,40,52.50,236,1,1,68.3,5,15,5.90,5.28,12,49,4.08,0,,0,0
21,2011,2011-12-18,14,24.126,DEN,,NWE,L 23-41,*,11,22,50.00,194,0,0,80.5,4,53,8.82,8.82,12,93,7.75,2,,2,12
22,2011,2011-12-24,15,24.132,DEN,@,BUF,L 14-40,*,13,29,44.83,185,1,3,37.9,4,33,6.38,2.41,10,34,3.40,1,,1,6
23,2011,2012-01-01,16,24.140,DEN,,KAN,L 3-7,*,6,22,27.27,60,0,1,20.6,2,10,2.73,0.68,6,16,2.67,0,,0,0
24,2012,2012-09-09,1,25.026,NYJ,,BUF,W 48-28,*,0,0,,0,0,0,,0,0,,,5,11,2.20,0,,0,0
25,2012,2012-09-16,2,25.033,NYJ,@,PIT,L 10-27,,0,0,,0,0,0,,0,0,,,1,22,22.00,0,,0,0
26,2012,2012-09-23,3,25.040,NYJ,@,MIA,W 23-20,*,0,0,,0,0,0,,1,5,,,1,5,5.00,0,,0,0
27,2012,2012-09-30,4,25.047,NYJ,,SFO,L 0-34,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,2,0,0.00,0,,0,0
28,2012,2012-10-08,5,25.055,NYJ,,HOU,L 17-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,19,3.80,0,,0,0
29,2012,2012-10-14,6,25.061,NYJ,,IND,W 35-9,,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,4,7,1.75,0,,0,0
30,2012,2012-10-21,7,25.068,NYJ,@,NWE,L 26-29,,0,0,,0,0,0,,0,0,,,4,12,3.00,0,,0,0
31,2012,2012-10-28,8,25.075,NYJ,,MIA,L 9-30,,0,0,,0,0,0,,0,0,,,1,2,2.00,0,,0,0
32,2012,2012-11-11,9,25.089,NYJ,@,SEA,L 7-28,,3,3,100.00,8,0,0,79.2,0,0,2.67,2.67,4,14,3.50,0,,0,0
33,2012,2012-11-18,10,25.096,NYJ,@,STL,W 27-13,,1,1,100.00,-1,0,0,79.2,0,0,-1.00,-1.00,2,-5,-2.50,0,,0,0
34,2012,2012-12-17,14,25.125,NYJ,@,TEN,L 10-14,,0,1,0.00,0,0,0,39.6,1,2,0.00,0.00,3,15,5.00,0,,0,0
35,2012,2012-12-30,16,25.138,NYJ,@,BUF,L 9-28,,,,,,,,,,,,,,,,,,,
