ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,25.063,GNB,@,NWE,L 20-26,0,0,,0,0,0,6,289,48.17,0
2,1985,1985-09-15,2,25.070,GNB,,NYG,W 23-20,0,0,,0,0,0,7,242,34.57,0
3,1985,1985-09-22,3,25.077,GNB,,NYJ,L 3-24,0,0,,0,0,0,9,394,43.78,0
4,1985,1985-09-29,4,25.084,GNB,@,STL,L 28-43,0,0,,0,0,0,5,134,26.80,0
5,1985,1985-10-06,5,25.091,GNB,,DET,W 43-10,0,0,,0,0,0,5,204,40.80,0
6,1985,1985-10-13,6,25.098,GNB,,MIN,W 20-17,0,0,,0,0,0,6,258,43.00,0
7,1985,1985-10-21,7,25.106,GNB,@,CHI,L 7-23,0,0,,0,0,0,6,249,41.50,0
8,1985,1985-10-27,8,25.112,GNB,@,IND,L 10-37,0,0,,0,0,0,6,226,37.67,0
9,1985,1985-11-03,9,25.119,GNB,,CHI,L 10-16,0,0,,0,0,0,6,214,35.67,0
10,1987,1987-10-04,3,27.089,SDG,@,CIN,W 10-9,0,0,,0,0,0,6,226,37.67,0
11,1987,1987-10-11,4,27.096,SDG,@,TAM,W 17-13,0,0,,0,0,0,4,149,37.25,0
12,1987,1987-10-18,5,27.103,SDG,@,RAI,W 23-17,0,0,,0,0,0,7,279,39.86,0
13,1988,1988-09-04,1,28.059,NYJ,@,NWE,L 3-28,0,0,,0,0,0,7,264,37.71,0
14,1988,1988-09-11,2,28.066,NYJ,@,CLE,W 23-3,0,0,,0,0,0,2,65,32.50,0
15,1988,1988-09-18,3,28.073,NYJ,,HOU,W 45-3,0,0,,0,0,0,3,116,38.67,0
16,1988,1988-09-25,4,28.080,NYJ,@,DET,W 17-10,0,0,,0,0,0,5,190,38.00,0
17,1988,1988-10-02,5,28.087,NYJ,,KAN,T 17-17,0,0,,0,0,0,6,216,36.00,0
18,1988,1988-10-09,6,28.094,NYJ,@,CIN,L 19-36,0,0,,0,0,0,8,305,38.13,0
19,1988,1988-10-17,7,28.102,NYJ,,BUF,L 14-37,0,0,,0,0,0,6,258,43.00,0
20,1988,1988-10-23,8,28.108,NYJ,@,MIA,W 44-30,0,0,,0,0,0,6,262,43.67,0
