ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-11-01,7,22.341,DET,@,DEN,L 0-34,0,0,,0,,,,
2,1987,1987-11-08,8,22.348,DET,,DAL,W 27-17,0,0,,0,1.0,0,0,0
3,1987,1987-11-15,9,22.355,DET,@,WAS,L 13-20,1,21,21.00,0,0.0,0,0,0
4,1987,1987-11-22,10,22.362,DET,@,CHI,L 10-30,0,0,,0,,,,
5,1987,1987-11-26,11,23.001,DET,,KAN,L 20-27,0,0,,0,,,,
6,1987,1987-12-06,12,23.011,DET,,RAM,L 16-37,0,0,,0,,,,
7,1987,1987-12-13,13,23.018,DET,@,TAM,W 20-10,1,18,18.00,0,0.0,0,0,0
8,1987,1987-12-20,14,23.025,DET,,MIN,L 14-17,1,18,18.00,0,1.0,0,0,0
9,1987,1987-12-27,15,23.032,DET,@,ATL,W 30-13,0,0,,0,,,,
10,1988,1988-09-04,1,23.284,DET,,ATL,W 31-17,0,0,,0,,,,
11,1988,1988-09-11,2,23.291,DET,@,RAM,L 10-17,0,0,,0,,,,
12,1988,1988-09-18,3,23.298,DET,,NOR,L 14-22,0,0,,0,,,,
13,1988,1988-09-25,4,23.305,DET,,NYJ,L 10-17,0,0,,0,,,,
14,1988,1988-10-02,5,23.312,DET,@,SFO,L 13-20,1,0,0.00,0,0.0,0,0,0
15,1988,1988-10-09,6,23.319,DET,,CHI,L 7-24,0,0,,0,,,,
16,1988,1988-10-16,7,23.326,DET,@,NYG,L 10-30,0,0,,0,1.0,0,0,0
17,1988,1988-10-23,8,23.333,DET,@,KAN,W 7-6,0,0,,0,,,,
18,1988,1988-10-30,9,23.340,DET,,NYG,L 10-13,0,0,,0,,,,
19,1988,1988-11-06,10,23.347,DET,@,MIN,L 17-44,0,0,,0,,,,
20,1988,1988-11-13,11,23.354,DET,,TAM,L 20-23,0,0,,0,,,,
21,1988,1988-11-20,12,23.361,DET,@,GNB,W 19-9,0,0,,0,,,,
22,1988,1988-11-24,13,23.365,DET,,MIN,L 0-23,0,0,,0,,,,
23,1988,1988-12-04,14,24.009,DET,,GNB,W 30-14,0,0,,0,,,,
24,1988,1988-12-11,15,24.016,DET,@,CHI,L 12-13,0,0,,0,1.0,0,0,0
25,1988,1988-12-18,16,24.023,DET,@,TAM,L 10-21,0,0,,0,,,,
26,1989,1989-09-10,1,24.289,KAN,@,DEN,L 20-34,0,0,,0,,,,
27,1989,1989-09-17,2,24.296,KAN,,RAI,W 24-19,0,0,,0,1.0,0,0,0
28,1989,1989-09-24,3,24.303,KAN,@,SDG,L 6-21,0,0,,0,,,,
29,1989,1989-10-01,4,24.310,KAN,,CIN,L 17-21,0,0,,0,,,,
30,1989,1989-10-08,5,24.317,KAN,@,SEA,W 20-16,1,8,8.00,0,0.0,0,0,0
31,1989,1989-10-15,6,24.324,KAN,@,RAI,L 14-20,0,0,,0,,,,
32,1989,1989-10-22,7,24.331,KAN,,DAL,W 36-28,0,0,,0,,,,
33,1989,1989-10-29,8,24.338,KAN,@,PIT,L 17-23,0,0,,0,,,,
34,1989,1989-11-05,9,24.345,KAN,,SEA,W 20-10,0,0,,0,,,,
35,1989,1989-11-12,10,24.352,KAN,,DEN,L 13-16,0,0,,0,0.0,1,21,0
36,1989,1989-11-19,11,24.359,KAN,@,CLE,T 10-10,0,0,,0,,,,
37,1989,1989-11-26,12,25.001,KAN,,HOU,W 34-0,0,0,,0,,,,
38,1989,1989-12-03,13,25.008,KAN,,MIA,W 26-21,0,0,,0,,,,
39,1989,1989-12-10,14,25.015,KAN,@,GNB,W 21-3,0,0,,0,1.0,0,0,0
40,1989,1989-12-17,15,25.022,KAN,,SDG,L 13-20,0,0,,0,,,,
41,1989,1989-12-24,16,25.029,KAN,@,MIA,W 27-24,0,0,,0,,,,
42,1990,1990-09-09,1,25.288,KAN,,MIN,W 24-21,0,0,,0,0.5,0,0,0
43,1990,1990-09-17,2,25.296,KAN,@,DEN,L 23-24,,,,,,,,
44,1990,1990-09-23,3,25.302,KAN,@,GNB,W 17-3,0,0,,0,2.5,0,0,0
45,1990,1990-09-30,4,25.309,KAN,,CLE,W 34-0,,,,,,,,
46,1990,1990-10-07,5,25.316,KAN,@,IND,L 19-23,,,,,,,,
47,1990,1990-10-14,6,25.323,KAN,,DET,W 43-24,,,,,,,,
48,1990,1990-10-21,7,25.330,KAN,@,SEA,L 7-19,,,,,,,,
49,1990,1990-11-04,8,25.344,KAN,,RAI,W 9-7,,,,,,,,
50,1990,1990-11-11,9,25.351,KAN,,SEA,L 16-17,,,,,,,,
51,1990,1990-11-18,10,25.358,KAN,,SDG,W 27-10,0,0,,0,1.0,0,0,0
52,1990,1990-11-25,11,26.000,KAN,@,RAI,W 27-24,0,0,,0,1.0,0,0,0
53,1990,1990-12-02,12,26.007,KAN,@,NWE,W 37-7,,,,,,,,
54,1990,1990-12-09,13,26.014,KAN,,DEN,W 31-20,0,0,,0,1.0,0,0,0
55,1990,1990-12-16,14,26.021,KAN,,HOU,L 10-27,,,,,,,,
56,1990,1990-12-23,15,26.028,KAN,@,SDG,W 24-21,,,,,,,,
57,1990,1990-12-29,16,26.034,KAN,@,CHI,W 21-10,0,0,,0,1.0,0,0,0
58,1991,1991-09-01,1,26.280,KAN,,ATL,W 14-3,,,,,,,,
59,1991,1991-09-08,2,26.287,KAN,,NOR,L 10-17,0,0,,0,0.5,0,0,0
60,1991,1991-09-16,3,26.295,KAN,@,HOU,L 7-17,,,,,,,,
61,1991,1991-09-22,4,26.301,KAN,,SEA,W 20-13,,,,,,,,
62,1991,1991-09-29,5,26.308,KAN,@,SDG,W 14-13,,,,,,,,
63,1991,1991-10-07,6,26.316,KAN,,BUF,W 33-6,,,,,,,,
64,1991,1991-10-13,7,26.322,KAN,,MIA,W 42-7,,,,,,,,
65,1991,1991-10-20,8,26.329,KAN,@,DEN,L 16-19,,,,,,,,
66,1991,1991-10-28,9,26.337,KAN,,RAI,W 24-21,,,,,,,,
67,1991,1991-11-10,10,26.350,KAN,@,RAM,W 27-20,,,,,,,,
68,1991,1991-11-17,11,26.357,KAN,,DEN,L 20-24,0,0,,0,1.0,0,0,0
69,1991,1991-11-24,12,26.364,KAN,@,CLE,L 15-20,,,,,,,,
70,1991,1991-12-01,13,27.006,KAN,@,SEA,W 19-6,,,,,,,,
71,1991,1991-12-08,14,27.013,KAN,,SDG,W 20-17,,,,,,,,
72,1991,1991-12-14,15,27.019,KAN,@,SFO,L 14-28,,,,,,,,
73,1991,1991-12-22,16,27.027,KAN,@,RAI,W 27-21,,,,,,,,
74,1992,1992-09-06,1,27.286,KAN,@,SDG,W 24-10,0,0,,0,1.0,0,0,0
75,1992,1992-09-13,2,27.293,KAN,,SEA,W 26-7,,,,,,,,
76,1992,1992-09-20,3,27.300,KAN,@,HOU,L 20-23,,,,,,,,
77,1992,1992-09-28,4,27.308,KAN,,RAI,W 27-7,,,,,,,,
78,1992,1992-10-04,5,27.314,KAN,@,DEN,L 19-20,0,0,,0,1.0,0,0,0
79,1992,1992-10-11,6,27.321,KAN,,PHI,W 24-17,0,0,,0,0.5,0,0,0
80,1992,1992-10-18,7,27.328,KAN,@,DAL,L 10-17,,,,,,,,
81,1992,1992-10-25,8,27.335,KAN,,PIT,L 3-27,,,,,,,,
82,1992,1992-11-08,9,27.349,KAN,,SDG,W 16-14,,,,,,,,
83,1992,1992-11-15,10,27.356,KAN,,WAS,W 35-16,0,0,,0,1.0,0,0,0
84,1992,1992-11-22,11,27.363,KAN,@,SEA,W 24-14,0,0,,0,0.5,0,0,0
85,1992,1992-11-29,12,28.004,KAN,@,NYJ,W 23-7,0,0,,0,1.0,0,0,0
86,1992,1992-12-06,13,28.011,KAN,@,RAI,L 7-28,0,0,,0,1.0,0,0,0
87,1992,1992-12-13,14,28.018,KAN,,NWE,W 27-20,,,,,,,,
88,1992,1992-12-19,15,28.024,KAN,@,NYG,L 21-35,,,,,,,,
89,1992,1992-12-27,16,28.032,KAN,,DEN,W 42-20,,,,,,,,
90,1993,1993-09-05,1,28.284,KAN,@,TAM,W 27-3,,,,,,,,
91,1993,1993-09-12,2,28.291,KAN,@,HOU,L 0-30,,,,,,,,
92,1993,1993-09-20,3,28.299,KAN,,DEN,W 15-7,,,,,,,,
93,1993,1993-10-03,4,28.312,KAN,,RAI,W 24-9,,,,,,,,
94,1993,1993-10-10,5,28.319,KAN,,CIN,W 17-15,0,0,,0,1.5,0,0,0
95,1993,1993-10-17,6,28.326,KAN,@,SDG,W 17-14,0,0,,0,1.0,0,0,0
96,1993,1993-10-31,7,28.340,KAN,@,MIA,L 10-30,,,,,,,,
97,1993,1993-11-08,8,28.348,KAN,,GNB,W 23-16,,,,,,,,
98,1993,1993-11-14,9,28.354,KAN,@,RAI,W 31-20,,,,,,,,
99,1993,1993-11-21,10,28.361,KAN,,CHI,L 17-19,0,0,,0,1.0,0,0,0
100,1993,1993-11-28,11,29.003,KAN,,BUF,W 23-7,0,0,,0,0.0,1,13,0
101,1993,1993-12-05,12,29.010,KAN,@,SEA,W 31-16,,,,,,,,
102,1993,1993-12-12,13,29.017,KAN,@,DEN,L 21-27,,,,,,,,
103,1993,1993-12-19,14,29.024,KAN,,SDG,W 28-24,,,,,,,,
104,1993,1993-12-26,15,29.031,KAN,@,MIN,L 10-30,,,,,,,,
105,1993,1994-01-02,16,29.038,KAN,,SEA,W 34-24,,,,,,,,
106,1994,1994-09-04,1,29.283,KAN,@,NOR,W 30-17,,,,,,,,
107,1994,1994-09-11,2,29.290,KAN,,SFO,W 24-17,,,,,,,,
108,1994,1994-09-18,3,29.297,KAN,@,ATL,W 30-10,0,0,,0,1.0,0,0,0
109,1994,1994-09-25,4,29.304,KAN,,RAM,L 0-16,,,,,,,,
110,1994,1994-10-09,5,29.318,KAN,@,SDG,L 6-20,,,,,,,,
111,1994,1994-10-30,8,29.339,KAN,@,BUF,L 10-44,,,,,,,,
112,1994,1994-11-06,9,29.346,KAN,,RAI,W 13-3,,,,,,,,
113,1994,1994-11-13,10,29.353,KAN,,SDG,L 13-14,,,,,,,,
114,1994,1994-11-20,11,29.360,KAN,,CLE,W 20-13,,,,,,,,
115,1994,1994-11-27,12,30.002,KAN,@,SEA,L 9-10,,,,,,,,
116,1994,1994-12-04,13,30.009,KAN,,DEN,L 17-20,,,,,,,,
117,1994,1994-12-12,14,30.017,KAN,@,MIA,L 28-45,,,,,,,,
118,1994,1994-12-18,15,30.023,KAN,,HOU,W 31-9,,,,,,,,
119,1994,1994-12-24,16,30.029,KAN,@,RAI,W 19-9,,,,,,,,
120,1995,1995-09-03,1,30.282,KAN,@,SEA,W 34-10,0,0,,0,1.0,0,0,0
121,1995,1995-09-10,2,30.289,KAN,,NYG,W 20-17,0,0,,0,1.0,0,0,0
122,1995,1995-09-17,3,30.296,KAN,,OAK,W 23-17,0,0,,0,0.0,1,0,0
123,1995,1995-09-24,4,30.303,KAN,@,CLE,L 17-35,0,0,,0,1.0,0,0,0
124,1995,1995-10-01,5,30.310,KAN,@,ARI,W 24-3,,,,,,,,
125,1995,1995-10-09,6,30.318,KAN,,SDG,W 29-23,,,,,,,,
126,1995,1995-10-15,7,30.324,KAN,,NWE,W 31-26,0,0,,0,1.0,0,0,0
127,1995,1995-10-22,8,30.331,KAN,@,DEN,W 21-7,,,,,,,,
128,1995,1995-11-05,9,30.345,KAN,,WAS,W 24-3,0,0,,0,1.0,0,0,0
129,1995,1995-11-12,10,30.352,KAN,@,SDG,W 22-7,,,,,,,,
130,1995,1995-11-19,11,30.359,KAN,,HOU,W 20-13,,,,,,,,
131,1995,1995-11-23,12,30.363,KAN,@,DAL,L 12-24,,,,,,,,
132,1995,1995-12-03,13,31.008,KAN,@,OAK,W 29-23,0,0,,0,1.0,0,0,0
133,1995,1995-12-11,14,31.016,KAN,@,MIA,L 6-13,,,,,,,,
134,1995,1995-12-17,15,31.022,KAN,,DEN,W 20-17,,,,,,,,
135,1995,1995-12-24,16,31.029,KAN,,SEA,W 26-3,0,0,,0,1.0,0,0,0
136,1996,1996-09-01,1,31.281,KAN,@,HOU,W 20-19,,,,,,,,
137,1996,1996-09-08,2,31.288,KAN,,OAK,W 19-3,,,,,,,,
138,1996,1996-09-15,3,31.295,KAN,@,SEA,W 35-17,,,,,,,,
139,1996,1996-09-22,4,31.302,KAN,,DEN,W 17-14,,,,,,,,
140,1996,1996-09-29,5,31.309,KAN,@,SDG,L 19-22,,,,,,,,
141,1996,1996-10-07,6,31.317,KAN,,PIT,L 7-17,,,,,,,,
142,1996,1996-10-17,7,31.327,KAN,,SEA,W 34-16,,,,,,,,
143,1996,1996-10-27,8,31.337,KAN,@,DEN,L 7-34,,,,,,,,
144,1996,1996-11-03,9,31.344,KAN,@,MIN,W 21-6,,,,,,,,
145,1996,1996-11-10,10,31.351,KAN,,GNB,W 27-20,,,,,,,,
146,1996,1996-11-17,11,31.358,KAN,,CHI,W 14-10,,,,,,,,
147,1996,1996-11-24,12,31.365,KAN,,SDG,L 14-28,,,,,,,,
148,1996,1996-11-28,13,32.003,KAN,@,DET,W 28-24,,,,,,,,
149,1996,1996-12-09,14,32.014,KAN,@,OAK,L 7-26,,,,,,,,
150,1996,1996-12-22,16,32.027,KAN,@,BUF,L 9-20,,,,,,,,
151,1997,1997-08-31,1,32.279,SEA,,NYJ,L 3-41,,,,,,,,
152,1997,1997-09-07,2,32.286,SEA,,DEN,L 14-35,,,,,,,,
153,1997,1997-09-14,3,32.293,SEA,@,IND,W 31-3,,,,,,,,
154,1997,1997-09-21,4,32.300,SEA,,SDG,W 26-22,,,,,,,,
155,1997,1997-09-28,5,32.307,SEA,@,KAN,L 17-20,,,,,,,,
156,1997,1997-10-05,6,32.314,SEA,,TEN,W 16-13,,,,,,,,
157,1997,1997-10-19,7,32.328,SEA,@,STL,W 17-9,,,,,,,,
158,1997,1997-10-26,8,32.335,SEA,,OAK,W 45-34,,,,,,,,
159,1997,1997-11-02,9,32.342,SEA,@,DEN,L 27-30,,,,,,,,
160,1997,1997-11-09,10,32.349,SEA,@,SDG,W 37-31,,,,,,,,
161,1997,1997-11-16,11,32.356,SEA,@,NOR,L 17-20,0,0,,0,1.0,0,0,0
162,1997,1997-11-23,12,32.363,SEA,,KAN,L 14-19,,,,,,,,
163,1997,1997-11-30,13,33.005,SEA,,ATL,L 17-24,,,,,,,,
164,1997,1997-12-07,14,33.012,SEA,@,BAL,L 24-31,0,0,,0,2.0,0,0,0
165,1997,1997-12-07,14,33.012,NYJ,,IND,L 14-22,,,,,,,,
166,1997,1997-12-14,15,33.019,SEA,@,OAK,W 22-21,0,0,,0,0.5,0,0,0
167,1997,1997-12-21,16,33.026,SEA,,SFO,W 38-9,,,,,,,,
168,1998,1998-09-06,1,33.285,SEA,@,PHI,W 38-0,,,,,,,,
169,1998,1998-09-13,2,33.292,SEA,,ARI,W 33-14,,,,,,,,
170,1998,1998-09-20,3,33.299,SEA,,WAS,W 24-14,,,,,,,,
171,1998,1998-09-27,4,33.306,SEA,@,PIT,L 10-13,,,,,,,,
172,1998,1998-10-04,5,33.313,SEA,@,KAN,L 6-17,,,,,,,,
173,1998,1998-10-11,6,33.320,SEA,,DEN,L 16-21,,,,,,,,
174,1998,1998-10-25,7,33.334,SEA,@,SDG,W 27-20,,,,,,,,
175,1998,1998-11-01,8,33.341,SEA,,OAK,L 18-31,,,,,,,,
176,1998,1998-11-08,9,33.348,SEA,,KAN,W 24-12,,,,,,,,
177,1998,1998-11-15,10,33.355,SEA,@,OAK,L 17-20,,,,,,,,
178,1998,1998-11-22,11,33.362,SEA,@,DAL,L 22-30,,,,,,,,
