ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-01,1,24.020,DET,@,MIN,L 13-17,,0,0,,0,0.0%,
2,1996,1996-09-08,2,24.027,DET,,TAM,W 21-6,,0,0,,0,0.0%,
3,1996,1996-09-15,3,24.034,DET,@,PHI,L 17-24,,0,0,,0,0.0%,
4,1996,1996-09-29,5,24.048,DET,@,TAM,W 27-0,,0,0,,0,0.0%,
5,1996,1996-10-06,6,24.055,DET,,ATL,W 28-24,0,0,0,,0,0.0%,
6,1996,1996-10-27,8,24.076,DET,,NYG,L 7-35,,0,0,,0,0.0%,
7,1996,1996-11-11,10,24.091,DET,@,SDG,L 21-27,,0,0,,0,0.0%,
8,1996,1996-11-17,11,24.097,DET,,SEA,W 17-16,,0,0,,0,0.0%,
9,1996,1996-11-24,12,24.104,DET,@,CHI,L 14-31,,0,0,,0,0.0%,
10,1996,1996-11-28,13,24.108,DET,,KAN,L 24-28,,0,0,,0,0.0%,
11,1996,1996-12-08,14,24.118,DET,,MIN,L 22-24,3,1,14,14.00,0,33.3%,4.67
12,1996,1996-12-15,15,24.125,DET,,GNB,L 3-31,2,0,0,,0,0.0%,0.00
13,1996,1996-12-23,16,24.133,DET,@,SFO,L 14-24,,0,0,,0,0.0%,
