ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,24.109,BAL,,CHI,W 42-7,1,7,7.00,0,2,119,59.50,1,1,4,4.00,0,1,6,0,0,0
2,1960,1960-10-09,3,24.116,BAL,@,GNB,L 21-35,0,0,,0,1,34,34.00,0,1,5,5.00,0,0,0,0,0,0
3,1960,1960-10-16,4,24.123,BAL,,RAM,W 31-17,0,0,,0,3,105,35.00,0,1,12,12.00,0,0,0,0,0,0
4,1960,1960-10-23,5,24.130,BAL,@,DET,L 17-30,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0,0,0
5,1960,1960-10-30,6,24.137,BAL,@,DAL,W 45-7,0,0,,0,1,24,24.00,0,0,0,,0,0,0,1,9,0
6,1960,1960-11-06,7,24.144,BAL,,GNB,W 38-24,0,0,,0,4,84,21.00,0,0,0,,0,0,0,1,18,0
7,1960,1960-11-13,8,24.151,BAL,@,CHI,W 24-20,0,0,,0,0,0,,0,2,9,4.50,0,0,0,1,0,0
8,1960,1960-11-27,9,24.165,BAL,,SFO,L 22-30,0,0,,0,2,51,25.50,0,2,28,14.00,0,0,0,0,0,0
9,1960,1960-12-04,10,24.172,BAL,,DET,L 15-20,0,0,,0,2,57,28.50,0,3,42,14.00,0,0,0,0,0,0
10,1960,1960-12-11,11,24.179,BAL,@,RAM,L 3-10,0,0,,0,3,45,15.00,0,2,1,0.50,0,0,0,1,0,0
11,1961,1961-09-17,1,25.094,PIT,@,DAL,L 24-27,0,0,,0,1,28,28.00,0,1,0,0.00,0,1,6,1,39,1
12,1961,1961-09-24,2,25.101,PIT,,NYG,L 14-17,0,0,,0,2,48,24.00,0,2,31,15.50,0,0,0,0,0,0
13,1961,1961-10-01,3,25.108,PIT,@,RAM,L 14-24,0,0,,0,5,86,17.20,0,1,41,41.00,0,0,0,1,41,0
14,1961,1961-10-08,4,25.115,PIT,@,PHI,L 16-21,0,0,,0,0,0,,0,3,5,1.67,0,0,0,3,56,0
15,1961,1961-10-15,5,25.122,PIT,,WAS,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,0,2,0,0
