ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-16,1,22.192,WAS,@,DAL,T 35-35,0,0,,0,0,0,,0,0,0,1,7,0
2,1962,1962-09-30,3,22.206,WAS,,STL,W 24-14,0,0,,0,0,0,,0,0,0,1,13,0
3,1962,1962-11-18,10,22.255,WAS,@,PIT,L 21-23,0,0,,0,0,0,,0,0,0,1,0,0
4,1962,1962-11-25,11,22.262,WAS,,NYG,L 24-42,0,0,,0,0,0,,0,0,0,2,10,0
5,1962,1962-12-02,12,22.269,WAS,,PHI,L 14-37,0,0,,0,0,0,,0,0,0,1,0,0
6,1963,1963-09-21,2,23.197,WAS,@,RAM,W 37-14,0,0,,0,0,0,,0,0,0,1,0,0
7,1963,1963-11-17,10,23.254,WAS,,PIT,L 28-34,0,0,,0,0,0,,0,1,6,1,53,1
8,1963,1963-11-24,11,23.261,WAS,@,PHI,W 13-10,0,0,,0,0,0,,0,0,0,1,29,0
9,1964,1964-11-08,9,24.245,PHI,@,RAM,L 10-20,1,14,14.00,0,0,0,,0,0,0,0,0,0
10,1965,1965-10-17,5,25.223,PHI,@,NYG,L 27-35,1,14,14.00,0,0,0,,0,0,0,0,0,0
11,1965,1965-10-31,7,25.237,PHI,@,WAS,L 21-23,1,27,27.00,0,0,0,,0,0,0,0,0,0
12,1966,1966-12-18,14,26.285,RAM,,GNB,L 23-27,1,47,47.00,0,0,0,,0,0,0,0,0,0
13,1967,1967-09-22,2,27.198,RAM,,MIN,W 39-3,0,0,,0,1,0,0.00,0,0,0,0,0,0
14,1967,1967-11-19,10,27.256,RAM,@,ATL,W 31-3,0,0,,0,0,0,,0,0,0,1,23,0
