ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1998,1998-09-20,3,23.285,WAS,@,SEA,L 14-24,,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2,0.0,,,0,0,,0
2,1999,1999-09-12,1,24.277,PHI,,ARI,L 24-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1999,1999-09-19,2,24.284,PHI,,TAM,L 5-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999,1999-09-26,3,24.291,PHI,@,BUF,L 0-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1999,1999-10-03,4,24.298,PHI,@,NYG,L 15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1999,1999-10-10,5,24.305,PHI,,DAL,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1999,1999-10-17,6,24.312,PHI,@,CHI,W 20-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,1999-10-24,7,24.319,PHI,@,MIA,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
9,1999,1999-10-31,8,24.326,PHI,,NYG,L 17-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,0,0,,0
10,1999,1999-11-07,9,24.333,PHI,@,CAR,L 7-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1999,1999-11-14,10,24.340,PHI,,WAS,W 35-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1999,1999-11-21,11,24.347,PHI,,IND,L 17-44,,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
13,1999,1999-11-28,12,24.354,PHI,@,WAS,L 17-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,0,0,,0
14,1999,1999-12-05,13,24.361,PHI,@,ARI,L 17-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
