ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-09-13,1,22.148,BUF,,KAN,W 34-17,4,4,100.0,2,2,100.0,0,10,0,0,,0
2,1964,1964-09-20,2,22.155,BUF,,DEN,W 30-13,3,3,100.0,3,3,100.0,0,12,0,0,,0
3,1964,1964-09-26,3,22.161,BUF,,SDG,W 30-3,3,4,75.0,1,3,33.3,0,6,0,0,,0
4,1964,1964-10-03,4,22.168,BUF,,OAK,W 23-20,3,3,100.0,,1,0.0,0,3,0,0,,0
5,1964,1964-10-11,5,22.176,BUF,@,HOU,W 48-17,6,6,100.0,2,3,66.7,0,12,0,0,,0
6,1964,1964-10-18,6,22.183,BUF,@,KAN,W 35-22,5,5,100.0,,1,0.0,0,5,0,0,,0
7,1964,1964-10-24,7,22.189,BUF,,NYJ,W 34-24,4,4,100.0,2,3,66.7,0,10,0,0,,0
8,1964,1964-11-01,8,22.197,BUF,,HOU,W 24-10,3,3,100.0,1,2,50.0,0,6,0,0,,0
9,1964,1964-11-08,9,22.204,BUF,@,NYJ,W 20-7,2,2,100.0,2,2,100.0,0,8,0,0,,0
10,1964,1964-11-15,10,22.211,BUF,,BOS,L 28-36,2,2,100.0,2,3,66.7,0,8,0,0,,0
11,1964,1964-11-26,11,22.222,BUF,@,SDG,W 27-24,2,2,100.0,1,2,50.0,0,5,0,0,,0
12,1964,1964-12-06,12,22.232,BUF,@,OAK,L 13-16,1,1,100.0,2,3,66.7,0,7,0,0,,0
13,1964,1964-12-13,13,22.239,BUF,@,DEN,W 30-19,4,4,100.0,,,,0,4,,,,
14,1964,1964-12-20,14,22.246,BUF,@,BOS,W 24-14,3,3,100.0,1,1,100.0,0,6,0,0,,0
15,1965,1965-09-11,1,23.146,BUF,,BOS,W 24-7,3,3,100.0,1,3,33.3,0,6,0,0,,0
16,1965,1965-09-19,2,23.154,BUF,@,DEN,W 30-15,3,3,100.0,3,5,60.0,0,12,0,0,,0
17,1965,1965-09-26,3,23.161,BUF,,NYJ,W 33-21,3,3,100.0,4,5,80.0,0,15,0,0,,0
18,1965,1965-10-03,4,23.168,BUF,,OAK,W 17-12,2,2,100.0,1,1,100.0,0,5,0,0,,0
19,1965,1965-10-10,5,23.175,BUF,,SDG,L 3-34,,,,1,1,100.0,0,3,0,0,,0
20,1965,1965-10-17,6,23.182,BUF,@,KAN,W 23-7,2,2,100.0,3,4,75.0,0,11,0,0,,0
21,1965,1965-10-24,7,23.189,BUF,,DEN,W 31-13,4,4,100.0,1,2,50.0,0,7,0,0,,0
22,1965,1965-10-31,8,23.196,BUF,,HOU,L 17-19,2,2,100.0,1,4,25.0,0,5,0,0,,0
23,1965,1965-11-07,9,23.203,BUF,@,BOS,W 23-7,2,2,100.0,3,3,100.0,0,11,0,0,,0
24,1965,1965-11-14,10,23.210,BUF,@,OAK,W 17-14,2,2,100.0,1,4,25.0,0,5,0,0,,0
25,1965,1965-11-25,11,23.221,BUF,@,SDG,T 20-20,2,2,100.0,2,3,66.7,0,8,0,0,,0
26,1965,1965-12-05,12,23.231,BUF,@,HOU,W 29-18,2,2,100.0,5,7,71.4,0,17,0,0,,0
27,1965,1965-12-12,13,23.238,BUF,,KAN,W 34-25,4,4,100.0,2,2,100.0,0,10,0,0,,0
28,1965,1965-12-19,14,23.245,BUF,@,NYJ,L 12-14,,,,,2,0.0,0,0,0,0,,0
29,1966,1966-09-11,1,24.146,NYG,@,PIT,T 34-34,4,4,100.0,2,2,100.0,0,10,0,0,,0
30,1966,1966-09-18,2,24.153,NYG,@,DAL,L 7-52,1,1,100.0,,1,0.0,0,1,0,0,,0
31,1966,1966-09-25,3,24.160,NYG,@,PHI,L 17-35,2,2,100.0,1,2,50.0,0,5,0,0,,0
32,1966,1966-10-02,4,24.167,NYG,,CLE,L 7-28,1,1,100.0,,,,0,1,,,,
33,1966,1966-10-09,5,24.174,NYG,@,STL,L 19-24,1,1,100.0,4,5,80.0,0,13,0,0,,0
34,1966,1966-10-16,6,24.181,NYG,,WAS,W 13-10,1,1,100.0,2,4,50.0,0,7,0,0,,0
35,1966,1966-10-23,7,24.188,NYG,,PHI,L 3-31,,,,1,1,100.0,0,3,0,0,,0
36,1966,1966-11-06,8,24.202,NYG,,STL,L 17-20,2,2,100.0,1,2,50.0,0,5,0,0,,0
37,1966,1966-11-13,9,24.209,NYG,@,RAM,L 14-55,2,2,100.0,,,,0,2,,,,
38,1966,1966-11-20,10,24.216,NYG,,ATL,L 16-27,1,2,50.0,1,1,100.0,0,4,0,0,,0
