ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,21.185,MIN,@,RAI,L 7-24,,2,6,3.00,0,2,1,1,1.00,0,50.0%,0.50,2,29,14.50,0,0,0,,0,0,0
2,1993,1993-09-12,2,21.192,MIN,,CHI,W 10-7,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
3,1993,1993-09-26,3,21.206,MIN,,GNB,W 15-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
4,1993,1993-10-03,4,21.213,MIN,@,SFO,L 19-38,,0,0,,0,4,4,16,4.00,0,100.0%,4.00,1,12,12.00,0,0,0,,0,0,0
5,1993,1993-10-10,5,21.220,MIN,,TAM,W 15-0,,8,64,8.00,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,0,0
6,1993,1993-10-25,6,21.235,MIN,@,CHI,W 19-12,,14,80,5.71,1,4,3,8,2.67,0,75.0%,2.00,0,0,,0,0,0,,0,1,6
7,1993,1993-10-31,7,21.241,MIN,,DET,L 27-30,,23,115,5.00,1,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,1,6
8,1993,1993-11-07,8,21.248,MIN,,SDG,L 17-30,,3,5,1.67,0,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0
9,1993,1993-11-28,11,21.269,MIN,,NOR,L 14-17,,24,94,3.92,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,1,4,4.00,0,0,0
10,1993,1993-12-05,12,21.276,MIN,@,DET,W 13-0,,8,35,4.38,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,0
11,1994,1994-09-11,2,22.191,MIN,,DET,W 10-3,,1,7,7.00,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,0,0,0
12,1994,1994-09-18,3,22.198,MIN,@,CHI,W 42-14,,6,35,5.83,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,1,6
13,1994,1994-09-25,4,22.205,MIN,,MIA,W 38-35,,3,4,1.33,0,2,1,2,2.00,0,50.0%,1.00,2,33,16.50,0,0,0,,0,0,0
14,1994,1994-10-10,6,22.220,MIN,@,NYG,W 27-10,,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
15,1994,1994-10-20,7,22.230,MIN,,GNB,W 13-10,,2,0,0.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0
16,1994,1994-10-30,8,22.240,MIN,@,TAM,W 36-13,,2,2,1.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0
17,1994,1994-11-06,9,22.247,MIN,,NOR,W 21-20,,2,5,2.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
18,1994,1994-11-13,10,22.254,MIN,@,NWE,L 20-26,,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
19,1994,1994-11-20,11,22.261,MIN,,NYJ,L 21-31,,0,0,,0,1,0,0,,0,0.0%,0.00,2,63,31.50,0,0,0,,0,0,0
20,1994,1994-11-27,12,22.268,MIN,,TAM,L 17-20,,2,6,3.00,0,1,1,12,12.00,0,100.0%,12.00,1,21,21.00,0,0,0,,0,0,0
21,1994,1994-12-01,13,22.272,MIN,,CHI,W 33-27,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
22,1994,1994-12-11,14,22.282,MIN,@,BUF,W 21-17,,0,0,,0,0,0,0,,0,0.0%,,3,61,20.33,0,0,0,,0,0,0
23,1994,1994-12-17,15,22.288,MIN,@,DET,L 19-41,,2,12,6.00,0,2,2,22,11.00,0,100.0%,11.00,7,216,30.86,0,0,0,,0,0,0
24,1994,1994-12-26,16,22.297,MIN,,SFO,W 21-14,,1,6,6.00,0,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,,0,0,0
25,1995,1995-09-03,1,23.183,MIN,@,CHI,L 14-31,,12,66,5.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6
26,1995,1995-09-10,2,23.190,MIN,,DET,W 20-10,,20,111,5.55,1,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,1,6
27,1995,1995-09-17,3,23.197,MIN,,DAL,L 17-23,,17,73,4.29,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,0
28,1995,1995-09-24,4,23.204,MIN,@,PIT,W 44-24,,15,115,7.67,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,1,6
29,1995,1995-10-08,5,23.218,MIN,,HOU,W 23-17,,20,63,3.15,1,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,1,6
30,1995,1995-10-15,6,23.225,MIN,@,TAM,L 17-20,,20,53,2.65,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0
31,1995,1995-10-22,7,23.232,MIN,@,GNB,L 21-38,,11,56,5.09,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6
32,1995,1995-11-12,10,23.253,MIN,@,ARI,W 30-24,,15,62,4.13,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
33,1995,1995-12-18,15,23.289,MIN,@,SFO,L 30-37,,9,33,3.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
34,1996,1996-09-01,1,24.181,MIN,,DET,W 17-13,,22,113,5.14,0,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,0,0,0
35,1996,1996-09-08,2,24.188,MIN,@,ATL,W 23-17,,30,90,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
36,1996,1996-09-15,3,24.195,MIN,@,CHI,W 20-14,,18,81,4.50,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,6
37,1996,1996-09-22,4,24.202,MIN,,GNB,W 30-21,,26,88,3.38,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,1,6
38,1996,1996-09-29,5,24.209,MIN,@,NYG,L 10-15,,17,86,5.06,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
39,1996,1996-10-06,6,24.216,MIN,,CAR,W 14-12,,27,102,3.78,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
40,1996,1996-10-13,7,24.223,MIN,@,TAM,L 13-24,,18,133,7.39,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6
41,1996,1996-10-28,8,24.238,MIN,,CHI,L 13-15,,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
42,1997,1997-08-31,1,25.180,MIN,@,BUF,W 34-13,,16,169,10.56,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,1,6
43,1997,1997-09-07,2,25.187,MIN,@,CHI,W 27-24,,13,85,6.54,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0
44,1997,1997-09-14,3,25.194,MIN,,TAM,L 14-28,,10,54,5.40,0,7,6,27,4.50,0,85.7%,3.86,0,0,,0,0,0,,0,0,0
45,1997,1997-09-21,4,25.201,MIN,@,GNB,L 32-38,,28,132,4.71,1,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,1,6
46,1997,1997-09-28,5,25.208,MIN,,PHI,W 28-19,,22,125,5.68,1,5,3,10,3.33,1,60.0%,2.00,0,0,,0,0,0,,0,2,12
47,1997,1997-10-05,6,25.215,MIN,@,ARI,W 20-19,,17,60,3.53,0,4,4,35,8.75,0,100.0%,8.75,0,0,,0,0,0,,0,0,0
48,1997,1997-10-12,7,25.222,MIN,,CAR,W 21-14,,23,120,5.22,1,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,1,6
49,1997,1997-10-26,8,25.236,MIN,@,TAM,W 10-6,,11,30,2.73,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
50,1997,1997-11-16,11,25.257,MIN,@,DET,L 15-38,,10,61,6.10,1,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,1,6
51,1997,1997-11-23,12,25.264,MIN,@,NYJ,L 21-23,,18,46,2.56,0,4,3,5,1.67,0,75.0%,1.25,0,0,,0,0,0,,0,0,0
52,1997,1997-12-01,13,25.272,MIN,,GNB,L 11-27,,16,54,3.38,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
53,1997,1997-12-07,14,25.278,MIN,@,SFO,L 17-28,,11,69,6.27,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
54,1997,1997-12-14,15,25.285,MIN,,DET,L 13-14,,20,101,5.05,1,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,1,6
55,1997,1997-12-21,16,25.292,MIN,,IND,W 39-28,,17,160,9.41,0,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0
56,1998,1998-09-06,1,26.186,MIN,,TAM,W 31-7,,18,90,5.00,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0
57,1998,1998-09-13,2,26.193,MIN,@,STL,W 38-31,,23,179,7.78,2,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,0,2,12
58,1998,1998-09-20,3,26.200,MIN,,DET,W 29-6,,15,39,2.60,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
59,1998,1998-09-27,4,26.207,MIN,@,CHI,W 31-28,,19,76,4.00,0,2,2,83,41.50,1,100.0%,41.50,0,0,,0,0,0,,0,1,6
60,1998,1998-10-05,5,26.215,MIN,@,GNB,W 37-24,,25,78,3.12,0,2,2,38,19.00,1,100.0%,19.00,0,0,,0,0,0,,0,1,6
61,1998,1998-10-18,6,26.228,MIN,,WAS,W 41-7,,24,103,4.29,1,5,4,23,5.75,0,80.0%,4.60,0,0,,0,0,0,,0,1,6
62,1998,1998-10-25,7,26.235,MIN,@,DET,W 34-13,,19,134,7.05,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,6
63,1998,1998-11-01,8,26.242,MIN,@,TAM,L 24-27,,13,46,3.54,1,5,5,28,5.60,0,100.0%,5.60,0,0,,0,0,0,,0,1,6
64,1998,1998-11-08,9,26.249,MIN,,NOR,W 31-24,,20,137,6.85,1,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,1,6
65,1998,1998-11-15,10,26.256,MIN,,CIN,W 24-3,,18,58,3.22,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0
66,1998,1998-11-22,11,26.263,MIN,,GNB,W 28-14,,13,27,2.08,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0
67,1998,1998-11-26,12,26.267,MIN,@,DAL,W 46-36,,8,46,5.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
68,1998,1998-12-20,15,26.291,MIN,,JAX,W 50-10,,19,101,5.32,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
69,1998,1998-12-26,16,26.297,MIN,@,TEN,W 26-16,,15,73,4.87,0,3,3,46,15.33,0,100.0%,15.33,0,0,,0,0,0,,0,0,0
70,1999,1999-09-12,1,27.192,MIN,@,ATL,W 17-14,*,16,47,2.94,0,4,3,6,2.00,0,75.0%,1.50,0,0,,0,0,0,,0,0,0
71,1999,1999-09-19,2,27.199,MIN,,OAK,L 17-22,*,11,24,2.18,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0
72,1999,1999-09-26,3,27.206,MIN,@,GNB,L 20-23,*,21,85,4.05,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0
73,1999,1999-10-03,4,27.213,MIN,,TAM,W 21-14,,19,59,3.11,0,7,6,21,3.50,0,85.7%,3.00,0,0,,0,0,0,,0,0,0
74,1999,1999-10-10,5,27.220,MIN,,CHI,L 22-24,*,12,107,8.92,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,0
75,1999,1999-10-17,6,27.227,MIN,@,DET,L 23-25,*,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
76,1999,1999-11-14,10,27.255,MIN,@,CHI,W 27-24,*,20,83,4.15,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
77,1999,1999-11-28,11,27.269,MIN,,SDG,W 35-27,*,20,104,5.20,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
78,1999,1999-12-06,12,27.277,MIN,@,TAM,L 17-24,*,20,77,3.85,0,5,5,68,13.60,0,100.0%,13.60,0,0,,0,0,0,,0,0,0
79,1999,1999-12-12,13,27.283,MIN,@,KAN,L 28-31,*,21,118,5.62,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0
80,1999,1999-12-20,14,27.291,MIN,,GNB,W 24-20,*,19,54,2.84,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
81,1999,1999-12-26,15,27.297,MIN,@,NYG,W 34-17,*,16,146,9.13,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,1,6
82,1999,2000-01-02,16,27.304,MIN,,DET,W 24-17,*,22,97,4.41,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,1,6
83,2000,2000-09-03,1,28.183,MIN,,CHI,W 30-27,,14,109,7.79,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,0,0
84,2000,2000-09-10,2,28.190,MIN,,MIA,W 13-7,,18,72,4.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
85,2000,2000-09-17,3,28.197,MIN,@,NWE,W 21-13,*,29,91,3.14,1,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,1,6
86,2000,2000-10-01,4,28.211,MIN,@,DET,W 31-24,*,16,134,8.38,1,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,1,6
87,2000,2000-10-09,5,28.219,MIN,,TAM,W 30-23,,22,81,3.68,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0
88,2000,2000-10-15,6,28.225,MIN,@,CHI,W 28-16,*,23,170,7.39,1,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,1,6
89,2000,2000-10-22,7,28.232,MIN,,BUF,W 31-27,,16,68,4.25,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
90,2000,2000-10-29,8,28.239,MIN,@,TAM,L 13-41,,12,61,5.08,0,7,7,53,7.57,0,100.0%,7.57,0,0,,0,0,0,,0,0,0
91,2000,2000-11-06,9,28.247,MIN,@,GNB,L 20-26,*,24,122,5.08,0,2,2,67,33.50,1,100.0%,33.50,0,0,,0,0,0,,0,1,6
92,2000,2000-11-12,10,28.253,MIN,,ARI,W 31-14,*,20,117,5.85,0,5,4,52,13.00,1,80.0%,10.40,0,0,,0,0,0,,0,1,6
93,2000,2000-11-19,11,28.260,MIN,,CAR,W 31-17,,23,103,4.48,1,3,3,70,23.33,1,100.0%,23.33,0,0,,0,0,0,,0,2,12
94,2000,2000-11-23,12,28.264,MIN,@,DAL,W 27-15,,21,148,7.05,1,2,1,-6,-6.00,0,50.0%,-3.00,0,0,,0,0,0,,0,1,6
95,2000,2000-11-30,13,28.271,MIN,,DET,W 24-17,*,17,115,6.76,2,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,2,12
96,2000,2000-12-10,14,28.281,MIN,@,STL,L 29-40,*,15,67,4.47,0,3,2,0,0.00,0,66.7%,0.00,0,0,,0,0,0,,0,0,0
97,2000,2000-12-17,15,28.288,MIN,,GNB,L 28-33,*,10,26,2.60,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,0,0
98,2000,2000-12-24,16,28.295,MIN,@,IND,L 10-31,*,15,37,2.47,0,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0
