ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-09,1,22.089,IND,@,NWE,L 24-27,,,,,,,,,,,,,
2,2004,2004-09-19,2,22.099,IND,@,TEN,W 31-17,,,,,,,,,,,,,
3,2004,2004-09-26,3,22.106,IND,,GNB,W 45-31,,,,,,,,,,,,,
4,2004,2004-10-03,4,22.113,IND,@,JAX,W 24-17,,,,,,,,,,,,,
5,2004,2004-10-10,5,22.120,IND,,OAK,W 35-14,*,2,21,10.50,0,1,6,0.0,,,1,34,1
6,2004,2004-10-24,6,22.134,IND,,JAX,L 24-27,*,0,0,,0,0,0,0.0,,,1,0,0
7,2004,2004-10-31,7,22.141,IND,@,KAN,L 35-45,*,1,7,7.00,0,0,0,0.0,,,0,0,0
8,2004,2004-11-08,8,22.149,IND,,MIN,W 31-28,*,,,,,,,,,,,,
9,2004,2004-11-14,9,22.155,IND,,HOU,W 49-14,*,1,8,8.00,0,0,0,0.0,,,0,0,0
10,2004,2004-11-21,10,22.162,IND,@,CHI,W 41-10,*,2,9,4.50,0,0,0,0.0,,,0,0,0
11,2004,2004-11-25,11,22.166,IND,@,DET,W 41-9,,2,5,2.50,0,0,0,0.0,,,0,0,0
12,2004,2004-12-05,12,22.176,IND,,TEN,W 51-24,*,0,0,,0,0,0,0.0,,,1,1,0
13,2004,2004-12-12,13,22.183,IND,@,HOU,W 23-14,*,0,0,,0,0,0,0.0,,,1,1,0
14,2004,2004-12-19,14,22.190,IND,,BAL,W 20-10,*,,,,,,,,,,,,
15,2004,2004-12-26,15,22.197,IND,,SDG,W 34-31,*,,,,,,,,,,,,
16,2004,2005-01-02,16,22.204,IND,@,DEN,L 14-33,*,,,,,,,,,,,,
17,2005,2005-09-11,1,23.091,IND,@,BAL,W 24-7,*,,,,,,,,,,,,
18,2005,2005-09-18,2,23.098,IND,,JAX,W 10-3,*,,,,,,,,,,,,
19,2005,2005-09-25,3,23.105,IND,,CLE,W 13-6,*,,,,,,,,,,,,
20,2005,2005-10-02,4,23.112,IND,@,TEN,W 31-10,*,,,,,,,,,,,,
21,2005,2005-10-09,5,23.119,IND,@,SFO,W 28-3,*,0,0,,0,0,0,0.0,,,1,13,0
22,2005,2005-10-17,6,23.127,IND,,STL,W 45-28,*,,,,,,,,,,,,
23,2005,2005-10-23,7,23.133,IND,@,HOU,W 38-20,*,,,,,,,,,,,,
24,2005,2005-11-07,8,23.148,IND,@,NWE,W 40-21,*,,,,,,,,,,,,
25,2005,2005-11-13,9,23.154,IND,,HOU,W 31-17,*,1,0,0.00,0,0,0,0.0,,,0,0,0
26,2005,2005-11-20,10,23.161,IND,@,CIN,W 45-37,*,,,,,,,,,,,,
27,2005,2005-11-28,11,23.169,IND,,PIT,W 26-7,*,0,0,,0,0,0,0.0,,,1,0,0
28,2005,2005-12-04,12,23.175,IND,,TEN,W 35-3,*,,,,,,,,,,,,
29,2005,2005-12-11,13,23.182,IND,@,JAX,W 26-18,*,,,,,,,,,,,,
30,2005,2005-12-18,14,23.189,IND,,SDG,L 17-26,*,,,,,,,,,,,,
31,2005,2005-12-24,15,23.195,IND,@,SEA,L 13-28,*,,,,,,,,,,,,
32,2005,2006-01-01,16,23.203,IND,,ARI,W 17-13,*,,,,,,,,,,,,
33,2006,2006-09-10,1,24.090,IND,@,NYG,W 26-21,*,,,,,,,,,,,,
34,2006,2006-09-17,2,24.097,IND,,HOU,W 43-24,*,,,,,,,,,,,,
35,2006,2006-09-24,3,24.104,IND,,JAX,W 21-14,*,0,0,,0,0,0,0.0,,,1,16,0
36,2006,2006-10-01,4,24.111,IND,@,NYJ,W 31-28,*,,,,,,,,,,,,
37,2006,2006-10-08,5,24.118,IND,,TEN,W 14-13,*,,,,,,,,,,,,
38,2006,2006-10-22,6,24.132,IND,,WAS,W 36-22,*,,,,,,,,,,,,
39,2006,2006-10-29,7,24.139,IND,@,DEN,W 34-31,*,,,,,,,,,,,,
40,2006,2006-11-05,8,24.146,IND,@,NWE,W 27-20,*,,,,,,,,,,,,
41,2006,2006-11-12,9,24.153,IND,,BUF,W 17-16,*,,,,,,,,,,,,
42,2006,2006-11-19,10,24.160,IND,@,DAL,L 14-21,*,,,,,,,,,,,,
43,2006,2006-11-26,11,24.167,IND,,PHI,W 45-21,*,,,,,,,,,,,,
44,2006,2006-12-03,12,24.174,IND,@,TEN,L 17-20,*,0,0,,0,0,0,0.0,,,1,0,0
45,2006,2006-12-10,13,24.181,IND,@,JAX,L 17-44,*,,,,,,,,,,,,
46,2006,2006-12-18,14,24.189,IND,,CIN,W 34-16,*,,,,,,,,,,,,
47,2006,2006-12-24,15,24.195,IND,@,HOU,L 24-27,*,,,,,,,,,,,,
48,2006,2006-12-31,16,24.202,IND,,MIA,W 27-22,*,,,,,,,,,,,,
49,2007,2007-09-06,1,25.086,NOR,@,IND,L 10-41,*,,,,,,,,,,,,
50,2007,2007-09-16,2,25.096,NOR,@,TAM,L 14-31,*,,,,,,,,,,,,
51,2007,2007-09-24,3,25.104,NOR,,TEN,L 14-31,*,0,0,,0,0,0,0.0,,,1,19,0
52,2007,2007-10-28,7,25.138,NOR,@,SFO,W 31-10,*,,,,,,,,,,,,
53,2007,2007-11-04,8,25.145,NOR,,JAX,W 41-24,*,0,0,,0,0,0,0.0,,,1,0,0
54,2007,2007-11-11,9,25.152,NOR,,STL,L 29-37,*,,,,,,,,,,,,
55,2007,2007-11-18,10,25.159,NOR,@,HOU,L 10-23,*,,,,,,,,,,,,
