ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1991,1991-11-24,12,24.216,NOR,,ATL,L 20-23,,1,1,100.00,61,0,0,118.7,0,0,61.00,61.00,0,0,,0
2,1991,1991-12-08,14,24.230,NOR,@,DAL,L 14-23,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0
3,1992,1992-10-04,5,25.165,NOR,@,DET,W 13-7,,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00,0,0,,0
4,1992,1992-12-13,14,25.235,NOR,@,RAM,W 37-14,,1,2,50.00,0,0,0,56.2,0,0,0.00,0.00,3,-4,-1.33,0
5,1993,1993-10-17,6,26.178,NOR,@,PIT,L 14-37,,10,11,90.91,164,2,0,158.3,0,0,14.91,18.55,0,0,,0
6,1993,1993-11-22,10,26.214,NOR,@,SFO,L 7-42,,10,15,66.67,122,1,1,86.0,0,0,8.13,6.47,0,0,,0
7,1993,1993-12-20,14,26.242,NOR,,NYG,L 14-24,,11,21,52.38,148,1,2,51.4,0,0,7.05,3.71,1,0,0.00,0
8,1993,1993-12-26,15,26.248,NOR,@,PHI,L 26-37,*,1,7,14.29,14,0,0,39.6,3,17,2.00,2.00,0,0,,0
9,1995,1995-09-10,2,28.141,ARI,,PHI,L 19-31,,13,21,61.90,198,1,0,108.8,0,0,9.43,10.38,0,0,,0
10,1995,1995-11-05,9,28.197,ARI,@,DEN,L 6-38,,2,3,66.67,12,0,0,74.3,2,0,4.00,4.00,0,0,,0
11,1995,1995-11-12,10,28.204,ARI,,MIN,L 24-30,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
12,1995,1995-12-25,16,28.247,ARI,,DAL,L 13-37,,5,6,83.33,61,0,0,109.0,0,0,10.17,10.17,1,0,0.00,0
