ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-09-17,2,23.241,PHI,,WAS,L 12-20,,,,,,,,
2,2007,2007-09-23,3,23.247,PHI,,DET,W 56-21,,,,,,,,
3,2007,2007-09-30,4,23.254,PHI,@,NYG,L 3-16,,,,,,,,
4,2007,2007-10-14,5,23.268,PHI,@,NYJ,W 16-9,,,,,,,,
5,2007,2007-10-21,6,23.275,PHI,,CHI,L 16-19,,,,,,,,
6,2007,2007-10-28,7,23.282,PHI,@,MIN,W 23-16,,,,,,,,
7,2007,2007-11-04,8,23.289,PHI,,DAL,L 17-38,,,,,,,,
8,2007,2007-11-11,9,23.296,PHI,@,WAS,W 33-25,,,,,,,,
9,2007,2007-11-18,10,23.303,PHI,,MIA,W 17-7,,,,,,,,
10,2007,2007-11-25,11,23.310,PHI,@,NWE,L 28-31,,,,,,,,
11,2007,2007-12-02,12,23.317,PHI,,SEA,L 24-28,,,,,,,,
12,2007,2007-12-09,13,23.324,PHI,,NYG,L 13-16,,,,,,,,
13,2007,2007-12-16,14,23.331,PHI,@,DAL,W 10-6,,,,,,,,
14,2007,2007-12-23,15,23.338,PHI,@,NOR,W 38-23,,1,0,0.00,0,0.0,,
15,2007,2007-12-30,16,23.345,PHI,,BUF,W 17-9,,,,,,,,
16,2008,2008-10-27,7,24.282,IND,@,TEN,L 21-31,,,,,,,,
17,2008,2008-11-02,8,24.288,IND,,NWE,W 18-15,,0,0,,0,0.0,0,0
18,2008,2008-11-09,9,24.295,IND,@,PIT,W 24-20,,0,0,,0,0.0,0,0
19,2008,2008-11-16,10,24.302,IND,,HOU,W 33-27,,0,0,,0,0.0,0,1
