ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2013,2013-12-15,14,22.197,CLE,,CHI,L 31-38,,8,38,4.75,1,4,4,46,11.50,0,100.0%,11.50,1,6
2,2013,2013-12-22,15,22.204,CLE,@,NYJ,L 13-24,*,17,64,3.76,1,3,2,12,6.00,0,66.7%,4.00,1,6
3,2013,2013-12-29,16,22.211,CLE,@,PIT,L 7-20,*,18,69,3.83,0,2,2,-1,-0.50,0,100.0%,-0.50,0,0
4,2014,2014-10-26,7,23.147,NOR,,GNB,W 44-23,,,,,,,,,,,0.0%,,,
5,2014,2014-10-30,8,23.151,NOR,@,CAR,W 28-10,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0
6,2014,2014-11-09,9,23.161,NOR,,SFO,L 24-27,,,,,,,,,,,0.0%,,,
