ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1964,1964-10-24,6,24.080,NYJ,@,BUF,L 24-34,1,16,16.00,0
2,1964,1964-10-31,7,24.087,NYJ,,BOS,W 35-14,1,4,4.00,0
3,1964,1964-12-20,14,24.137,NYJ,@,KAN,L 7-24,2,8,4.00,0
