ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1954,1954-09-26,1,23.031,BAL,,RAM,L 0-48,4,46,11.50,0
2,1954,1954-10-02,2,23.037,BAL,,NYG,W 20-14,3,37,12.33,0
3,1954,1954-10-10,3,23.045,BAL,@,CHI,L 9-28,2,24,12.00,0
4,1954,1954-10-24,5,23.059,BAL,,GNB,L 6-7,4,44,11.00,0
5,1954,1954-10-31,6,23.066,BAL,@,WAS,L 21-24,3,34,11.33,0
6,1954,1954-11-06,7,23.072,BAL,,DET,L 3-27,2,21,10.50,0
7,1954,1954-11-21,9,23.087,BAL,,CHI,L 13-28,3,50,16.67,0
8,1954,1954-11-28,10,23.094,BAL,,SFO,W 17-13,2,18,9.00,0
9,1954,1954-12-04,11,23.100,BAL,@,RAM,W 22-21,5,79,15.80,0
10,1954,1954-12-11,12,23.107,BAL,@,SFO,L 7-10,2,31,15.50,0
11,1955,1955-09-25,1,24.030,BAL,,CHI,W 23-17,3,39,13.00,1
12,1955,1955-10-01,2,24.036,BAL,,DET,W 28-13,4,38,9.50,1
13,1955,1955-10-16,4,24.051,BAL,@,CHI,L 10-38,3,36,12.00,0
14,1955,1955-10-23,5,24.058,BAL,,WAS,L 13-14,3,34,11.33,0
15,1955,1955-11-20,9,24.086,BAL,,RAM,T 17-17,1,22,22.00,0
16,1955,1955-11-27,10,24.093,BAL,,SFO,W 26-14,3,47,15.67,0
17,1955,1955-12-04,11,24.100,BAL,@,RAM,L 14-20,2,20,10.00,0
18,1955,1955-12-11,12,24.107,BAL,@,SFO,L 24-35,2,15,7.50,1
19,1956,1956-09-30,1,25.035,BAL,,CHI,W 28-21,3,29,9.67,0
