ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1961,1961-09-10,1,24.248,DEN,@,BUF,W 22-10,10,22,2.20,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1961,1961-09-16,2,24.254,DEN,@,BOS,L 17-45,6,43,7.17,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1961,1961-09-24,3,24.262,DEN,@,NYT,L 28-35,5,17,3.40,1,3,9,3.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
4,1961,1961-10-01,4,24.269,DEN,@,OAK,L 19-33,16,41,2.56,0,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0
5,1961,1961-10-08,5,24.276,DEN,,DTX,L 12-19,9,26,2.89,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0
6,1961,1961-10-15,6,24.283,DEN,,OAK,W 27-24,9,49,5.44,2,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
7,1961,1961-10-22,7,24.290,DEN,,NYT,W 27-10,12,78,6.50,0,4,31,7.75,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
8,1961,1961-10-29,8,24.297,DEN,@,SDG,L 0-37,12,42,3.50,0,7,74,10.57,0,0,0,,0,0,0,,0,0,,,3,121,40.33,0,0,0
9,1961,1961-11-05,9,24.304,DEN,,HOU,L 14-55,7,57,8.14,1,3,42,14.00,0,0,0,,0,0,0,,0,0,,,3,33,11.00,0,1,6
10,1961,1961-11-12,10,24.311,DEN,,SDG,L 16-19,4,18,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0
11,1961,1961-11-26,12,24.325,DEN,@,HOU,L 14-45,6,30,5.00,0,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
12,1961,1961-12-03,13,24.332,DEN,,BOS,L 24-28,21,57,2.71,0,9,137,15.22,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
13,1961,1961-12-10,14,24.339,DEN,@,DTX,L 21-49,10,25,2.50,0,7,27,3.86,1,1,1,100.00,18,1,0,158.3,0,0,18.00,38.00,0,0,,0,1,6
14,1962,1962-10-14,6,25.282,DEN,@,OAK,W 23-6,7,35,5.00,0,1,56,56.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1962,1962-10-21,7,25.289,DEN,,HOU,W 20-10,5,23,4.60,1,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
16,1962,1962-10-28,8,25.296,DEN,,BUF,L 38-45,21,90,4.29,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1962,1962-11-04,9,25.303,DEN,@,SDG,W 23-20,15,9,0.60,2,4,67,16.75,1,0,0,,0,0,0,,0,0,,,0,0,,0,3,18
18,1962,1962-11-11,10,25.310,DEN,,BOS,L 29-33,16,87,5.44,0,3,14,4.67,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
19,1962,1962-11-18,11,25.317,DEN,,DTX,L 3-24,11,64,5.82,0,4,24,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
20,1962,1962-11-22,12,25.321,DEN,,NYT,L 45-46,7,33,4.71,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
21,1962,1962-12-02,13,25.331,DEN,@,HOU,L 17-34,5,0,0.00,0,1,8,8.00,0,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,0,0,,0,0,0
22,1962,1962-12-09,14,25.338,DEN,@,DTX,L 10-17,7,19,2.71,0,5,33,6.60,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
23,1963,1963-09-07,1,26.245,DEN,,KAN,L 7-59,1,-6,-6.00,0,2,10,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
24,1963,1963-09-14,2,26.252,DEN,@,HOU,L 14-20,9,39,4.33,0,2,38,19.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
25,1963,1963-09-29,3,26.267,DEN,,BOS,W 14-10,14,63,4.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
26,1963,1963-10-06,4,26.274,DEN,,SDG,W 50-34,17,104,6.12,1,1,-1,-1.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
27,1963,1963-10-13,5,26.281,DEN,,HOU,L 24-33,5,15,3.00,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
28,1963,1963-10-18,6,26.286,DEN,@,BOS,L 21-40,7,9,1.29,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
29,1963,1963-10-26,7,26.294,DEN,@,NYJ,T 35-35,3,17,5.67,1,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
30,1963,1963-11-03,8,26.302,DEN,,BUF,L 28-30,6,19,3.17,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1963,1963-11-09,9,26.308,DEN,@,BUF,L 17-27,6,25,4.17,0,2,10,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1963,1963-11-17,10,26.316,DEN,,NYJ,L 9-14,9,44,4.89,0,1,-2,-2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
33,1963,1963-11-28,11,26.327,DEN,,OAK,L 10-26,7,22,3.14,0,3,6,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
34,1963,1963-12-08,12,26.337,DEN,@,KAN,L 21-52,4,14,3.50,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
35,1963,1963-12-15,13,26.344,DEN,@,OAK,L 31-35,4,10,2.50,0,3,66,22.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
36,1963,1963-12-22,14,26.351,DEN,@,SDG,L 20-58,4,7,1.75,0,3,42,14.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
37,1964,1964-09-27,3,27.266,DEN,,HOU,L 17-38,4,8,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
38,1964,1964-10-04,4,27.273,DEN,,BOS,L 10-39,6,12,2.00,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
39,1964,1964-10-18,6,27.287,DEN,@,SDG,L 14-42,0,0,,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
40,1964,1964-11-01,8,27.301,DEN,@,KAN,L 39-49,1,1,1.00,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
41,1964,1964-11-08,9,27.308,DEN,,SDG,L 20-31,1,5,5.00,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
42,1965,1965-09-11,1,28.249,BUF,,BOS,W 24-7,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
43,1965,1965-09-19,2,28.257,BUF,@,DEN,W 30-15,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
44,1965,1965-10-03,4,28.271,BUF,,OAK,W 17-12,0,0,,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
45,1965,1965-10-10,5,28.278,BUF,,SDG,L 3-34,2,6,3.00,0,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
46,1965,1965-10-17,6,28.285,BUF,@,KAN,W 23-7,7,10,1.43,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
47,1965,1965-10-24,7,28.292,BUF,,DEN,W 31-13,2,14,7.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
48,1965,1965-11-14,10,28.313,BUF,@,OAK,W 17-14,2,2,1.00,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
49,1965,1965-12-05,12,28.334,BUF,@,HOU,W 29-18,3,9,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
50,1965,1965-12-12,13,28.341,BUF,,KAN,W 34-25,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
51,1966,1966-09-03,1,29.241,HOU,,DEN,W 45-7,5,18,3.60,0,1,17,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
52,1966,1966-09-25,4,29.263,HOU,@,BUF,L 20-27,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
