ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,24.012,NYJ,@,TEN,W 23-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0.0,,
2,2006,2006-09-17,2,24.019,NYJ,,NWE,L 17-24,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,23,23.00,0,1,6,6.00,0,,0,0,0.0,,
3,2006,2006-09-24,3,24.026,NYJ,@,BUF,W 28-20,,7,25,3.57,0,2,2,52,26.00,0,100.0%,26.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
4,2006,2006-10-01,4,24.033,NYJ,,IND,L 28-31,,9,33,3.67,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,1,2,2.00,0,0,0,,0,,0,0,0.0,,
5,2006,2006-10-08,5,24.040,NYJ,@,JAX,L 0-41,,23,101,4.39,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
6,2006,2006-10-15,6,24.047,NYJ,,MIA,W 20-17,*,11,58,5.27,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
7,2006,2006-10-22,7,24.054,NYJ,,DET,W 31-24,*,20,129,6.45,2,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,
8,2006,2006-10-29,8,24.061,NYJ,@,CLE,L 13-20,*,15,51,3.40,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0,,0,,0,0,0.0,,
9,2006,2006-11-12,9,24.075,NYJ,@,NWE,W 17-14,,9,35,3.89,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
10,2006,2006-11-19,10,24.082,NYJ,,CHI,L 0-10,*,13,22,1.69,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
11,2006,2006-11-26,11,24.089,NYJ,,HOU,W 26-11,,5,17,3.40,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,,,,,2,23,11.50,0,0,0,,0,,0,0,0.0,,
12,2006,2006-12-03,12,24.096,NYJ,@,GNB,W 38-10,*,7,40,5.71,1,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,1,6,0.0,,
13,2006,2006-12-10,13,24.103,NYJ,,BUF,L 13-31,*,7,55,7.86,0,8,7,28,4.00,0,87.5%,3.50,0,0,,0,0,0,,,,,,1,16,16.00,0,1,3,3.00,0,,0,0,0.0,,
14,2006,2006-12-17,14,24.110,NYJ,@,MIN,W 26-13,*,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,3,50,16.67,0,,0,0,0.0,,
15,2006,2006-12-25,15,24.118,NYJ,@,MIA,W 13-10,*,6,26,4.33,0,5,4,108,27.00,0,80.0%,21.60,0,0,,0,0,0,,,,,,0,0,,0,5,27,5.40,0,,0,0,0.0,,
16,2006,2006-12-31,16,24.124,NYJ,,OAK,W 23-3,,15,53,3.53,1,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,
17,2007,2007-09-09,1,25.011,NYJ,,NWE,L 14-38,*,4,15,3.75,0,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,5,114,22.80,0,0,0,,0,,0,0,0.0,,
18,2007,2007-09-16,2,25.018,NYJ,@,BAL,L 13-20,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,6.00,0,,0,0,0.0,,
19,2007,2007-09-23,3,25.025,NYJ,,MIA,W 31-28,,7,18,2.57,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,111,55.50,1,0,0,,0,,1,6,0.0,,
20,2007,2007-09-30,4,25.032,NYJ,@,BUF,L 14-17,,4,24,6.00,1,8,8,38,4.75,0,100.0%,4.75,0,0,,0,0,0,,0,,,,2,54,27.00,0,2,5,2.50,0,,1,6,0.0,,
21,2007,2007-10-07,5,25.039,NYJ,@,NYG,L 24-35,*,9,13,1.44,0,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,0,0,,0,,,,3,155,51.67,1,2,20,10.00,0,,1,6,0.0,,
22,2007,2007-10-14,6,25.046,NYJ,,PHI,L 9-16,,2,8,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,3,112,37.33,0,1,15,15.00,0,,0,0,0.0,,
23,2007,2007-10-21,7,25.053,NYJ,@,CIN,L 31-38,,3,11,3.67,0,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,,,,5,118,23.60,0,0,0,,0,,0,0,0.0,,
24,2007,2007-10-28,8,25.060,NYJ,,BUF,L 3-13,,5,25,5.00,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,,,,2,48,24.00,0,2,10,5.00,0,,0,0,0.0,,
25,2007,2007-11-04,9,25.067,NYJ,,WAS,L 20-23,,4,13,3.25,0,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,0,,,,3,125,41.67,1,1,3,3.00,0,,1,6,0.0,,
26,2007,2007-11-18,10,25.081,NYJ,,PIT,W 19-16,,2,10,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,1,12,12.00,0,2,38,19.00,0,,0,0,0.0,,
27,2007,2007-11-22,11,25.085,NYJ,@,DAL,L 3-34,*,2,14,7.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,4,97,24.25,0,2,8,4.00,0,,0,0,0.0,,
28,2007,2007-12-02,12,25.095,NYJ,@,MIA,W 40-13,,10,68,6.80,2,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,0,,,,3,65,21.67,0,0,0,,0,,2,12,0.0,,
29,2007,2007-12-09,13,25.102,NYJ,,CLE,L 18-24,,3,5,1.67,0,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,0,,,,4,45,11.25,0,2,53,26.50,0,,0,0,0.0,,
30,2007,2007-12-16,14,25.109,NYJ,@,NWE,L 10-20,,4,57,14.25,0,4,3,9,3.00,0,75.0%,2.25,0,0,,0,0,0,,0,,,,5,130,26.00,0,2,14,7.00,0,,0,0,0.0,,
31,2007,2007-12-23,15,25.116,NYJ,@,TEN,L 6-10,*,1,5,5.00,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,,,,3,66,22.00,0,1,15,15.00,0,,0,0,0.0,,
32,2007,2007-12-30,16,25.123,NYJ,,KAN,W 13-10,,11,67,6.09,0,6,3,13,4.33,0,50.0%,2.17,1,1,100.00,36,0,0,118.7,0,0,36.00,36.00,2,39,19.50,0,2,-4,-2.00,0,,0,0,0.0,,
33,2008,2008-09-07,1,26.009,NYJ,@,MIA,W 20-14,,6,9,1.50,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,1,10,10.00,0,5,64,12.80,0,,0,0,0.0,0,0
34,2008,2008-09-14,2,26.016,NYJ,,NWE,L 10-19,,2,28,14.00,0,4,4,22,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,,1,24,24.00,0,0,0,,0,,0,0,0.0,0,0
35,2008,2008-09-22,3,26.024,NYJ,@,SDG,L 29-48,,1,-1,-1.00,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,5,198,39.60,0,0,0,,0,,0,0,0.0,0,0
36,2008,2008-09-28,4,26.030,NYJ,,ARI,W 56-35,*,7,26,3.71,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,,,,,1,18,18.00,0,1,9,9.00,0,1,0,2,0.0,0,0
37,2008,2008-10-12,5,26.044,NYJ,,CIN,W 26-14,,5,7,1.40,0,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,,,,,2,65,32.50,0,5,77,15.40,0,,0,0,0.0,0,0
