ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-09-19,3,24.056,RAI,,CLE,L 16-19,0,0,,0,,0,0,,0,0.0%,,1,8,8.00,0
2,1993,1993-10-31,7,24.098,RAI,,SDG,L 23-30,0,0,,0,,0,0,,0,0.0%,,1,7,7.00,0
3,1994,1994-09-18,3,25.055,RAI,@,DEN,W 48-16,1,2,2.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0
