ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1981,1981-09-06,1,22.313,NYG,,PHI,L 10-24,0,0,,0,,,,,,,,,,,,,
2,1981,1981-09-13,2,22.320,NYG,@,WAS,W 17-7,0,0,,0,,,,,,,,,,,,,
3,1981,1981-09-20,3,22.327,NYG,,NOR,W 20-7,0,0,,0,,,,,,,,,,,,,
4,1981,1981-09-27,4,22.334,NYG,@,DAL,L 10-18,0,0,,0,,,,,,,,,,,,,
5,1981,1981-10-04,5,22.341,NYG,,GNB,L 14-27,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0
6,1981,1981-10-11,6,22.348,NYG,,STL,W 34-14,0,0,,0,,,,,,,,,,,,,
7,1981,1981-10-18,7,22.355,NYG,@,SEA,W 32-0,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0
8,1981,1981-10-25,8,22.362,NYG,@,ATL,W 27-24,1,31,31.00,0,0,0,,0,0,0,,,,,,0,0
9,1981,1981-11-01,9,23.004,NYG,,NYJ,L 7-26,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0
10,1981,1981-11-08,10,23.011,NYG,@,GNB,L 24-26,0,0,,0,,,,,,,,,,,,,
11,1981,1981-11-15,11,23.018,NYG,,WAS,L 27-30,1,27,27.00,1,0,0,,0,0,0,,,,,,1,6
12,1981,1981-11-22,12,23.025,NYG,@,PHI,W 20-10,0,0,,0,,,,,,,,,,,,,
13,1981,1981-11-29,13,23.032,NYG,@,SFO,L 10-17,0,0,,0,,,,,,,,,,,,,
14,1981,1981-12-06,14,23.039,NYG,,RAM,W 10-7,0,0,,0,,,,,,,,,,,,,
15,1981,1981-12-13,15,23.046,NYG,@,STL,W 20-10,0,0,,0,,,,,,,,,,,,,
16,1981,1981-12-19,16,23.052,NYG,,DAL,W 13-10,3,37,12.33,0,0,0,,0,0,0,,,,,,0,0
17,1982,1982-09-12,1,23.319,NYG,,ATL,L 14-16,3,19,6.33,0,0,0,,0,0,0,,,,,,0,0
18,1982,1982-09-20,2,23.327,NYG,,GNB,L 19-27,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0
19,1982,1982-11-21,3,24.024,NYG,,WAS,L 17-27,3,30,10.00,0,0,0,,0,0,0,,,,,,0,0
20,1982,1982-11-25,4,24.028,NYG,@,DET,W 13-6,1,15,15.00,0,0,0,,0,0,0,,,,,,0,0
21,1982,1982-12-05,5,24.038,NYG,,HOU,W 17-14,2,19,9.50,0,0,0,,0,0,0,,,,,,0,0
22,1982,1982-12-11,6,24.044,NYG,,PHI,W 23-7,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0
23,1982,1982-12-19,7,24.052,NYG,@,WAS,L 14-15,0,0,,0,,,,,,,,,,,,,
24,1982,1982-12-26,8,24.059,NYG,@,STL,L 21-24,5,68,13.60,2,0,0,,0,0,0,,,,,,2,12
25,1982,1983-01-02,9,24.066,NYG,@,PHI,W 26-24,2,21,10.50,0,0,0,,0,0,0,,,,,,0,0
26,1983,1983-09-04,1,24.311,NYG,,RAM,L 6-16,3,24,8.00,0,0,0,,0,0,0,,0,,,,0,0
27,1983,1983-09-11,2,24.318,NYG,@,ATL,W 16-13,5,54,10.80,0,0,0,,0,0,0,,0,,,,0,0
28,1983,1983-09-18,3,24.325,NYG,@,DAL,L 13-28,4,20,5.00,0,0,0,,0,0,0,,0,,,,0,0
29,1983,1983-09-26,4,24.333,NYG,,GNB,W 27-3,2,15,7.50,0,0,0,,0,0,0,,0,,,,0,0
30,1983,1983-10-02,5,24.339,NYG,,SDG,L 34-41,8,91,11.38,0,0,0,,0,0,0,,0,,,,0,0
31,1983,1983-10-09,6,24.346,NYG,,PHI,L 13-17,3,38,12.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
32,1983,1983-10-16,7,24.353,NYG,@,KAN,L 17-38,2,27,13.50,0,0,0,,0,0,0,,0,,,,0,0
33,1983,1983-10-24,8,24.361,NYG,@,STL,T 20-20,3,21,7.00,0,0,0,,0,0,0,,0,,,,0,0
34,1983,1983-10-30,9,25.002,NYG,,DAL,L 20-38,0,0,,0,0,0,,0,0,0,,0,,,,,
35,1983,1983-11-07,10,25.010,NYG,@,DET,L 9-15,0,0,,0,0,0,,0,0,0,,0,,,,,
36,1983,1983-11-13,11,25.016,NYG,,WAS,L 17-33,1,8,8.00,0,0,0,,0,0,0,,0,,,,0,0
37,1983,1983-11-20,12,25.023,NYG,@,PHI,W 23-0,3,22,7.33,0,0,0,,0,0,0,,0,,,,0,0
38,1983,1983-11-27,13,25.030,NYG,@,RAI,L 12-27,3,17,5.67,0,0,0,,0,0,0,,0,,,,0,0
39,1983,1983-12-04,14,25.037,NYG,,STL,L 6-10,5,58,11.60,0,0,0,,0,0,0,,0,,,,0,0
40,1983,1983-12-11,15,25.044,NYG,,SEA,L 12-17,3,27,9.00,0,0,0,,0,0,0,,0,,,,0,0
41,1983,1983-12-17,16,25.050,NYG,@,WAS,L 22-31,0,0,,0,0,0,,0,0,0,,0,,,,,
42,1984,1984-10-28,9,26.000,BUF,@,MIA,L 7-38,,,,,,,,,,,,,,,,,
43,1984,1984-11-04,10,26.007,BUF,,CLE,L 10-13,,,,,,,,,,,,,,,,,
44,1984,1984-11-11,11,26.014,BUF,@,NWE,L 10-38,,,,,,,,,,,,,,,,,
45,1984,1984-12-15,16,26.048,NYG,,NOR,L 3-10,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0
