ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1998,1998-09-06,1,23.284,GNB,,DET,W 38-19,,,,,,,,,,0.0%,
2,1998,1998-09-13,2,23.291,GNB,,TAM,W 23-15,2,3,1.50,0,1,1,10,10.00,0,100.0%,10.00
3,1998,1998-09-20,3,23.298,GNB,@,CIN,W 13-6,,,,,,,,,,0.0%,
4,1998,1998-09-27,4,23.305,GNB,@,CAR,W 37-30,,,,,,,,,,0.0%,
5,1998,1998-11-01,8,23.340,CIN,,DEN,L 26-33,,,,,,,,,,0.0%,
6,1998,1998-11-08,9,23.347,CIN,@,JAX,L 11-24,1,4,4.00,0,1,1,7,7.00,0,100.0%,7.00
7,1998,1998-11-15,10,23.354,GNB,@,NYG,W 37-3,,,,,,,,,,0.0%,
8,1998,1998-11-22,11,23.361,GNB,@,MIN,L 14-28,0,0,,0,1,1,3,3.00,0,100.0%,3.00
9,1998,1998-11-29,12,24.003,GNB,,PHI,W 24-16,,,,,,,,,,0.0%,
10,1998,1998-12-07,13,24.011,GNB,@,TAM,L 22-24,,,,,,,,,,0.0%,
11,1998,1998-12-13,14,24.017,GNB,,CHI,W 26-20,,,,,,,,,,0.0%,
12,1998,1998-12-20,15,24.024,GNB,,TEN,W 30-22,,,,,,,,,,0.0%,
13,1998,1998-12-27,16,24.031,GNB,@,CHI,W 16-13,,,,,,,,,,0.0%,
