ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.326,STL,,NOR,W 38-24,,,,,,,,,
2,1997,1997-09-07,2,23.333,STL,,SFO,L 12-15,,,,,,,,,
3,1997,1997-09-14,3,23.340,STL,@,DEN,L 14-35,,,,,,,,,
4,1997,1997-09-21,4,23.347,STL,,NYG,W 13-3,,,,,,,,,
5,1997,1997-09-28,5,23.354,STL,@,OAK,L 17-35,,,,,,,,,
6,1997,1997-10-12,6,24.003,STL,@,SFO,L 10-30,,,,,,,,,
7,1997,1997-10-19,7,24.010,STL,,SEA,L 9-17,,0,0,,0,1.0,0,0,0
8,1997,1997-10-26,8,24.017,STL,,KAN,L 20-28,,,,,,,,,
9,1997,1997-11-02,9,24.024,STL,@,ATL,L 31-34,,,,,,,,,
10,1997,1997-11-09,10,24.031,STL,@,GNB,L 7-17,,,,,,,,,
11,1997,1997-11-16,11,24.038,STL,,ATL,L 21-27,,,,,,,,,
12,1997,1997-11-23,12,24.045,STL,,CAR,L 10-16,,,,,,,,,
13,1997,1997-11-30,13,24.052,STL,@,WAS,W 23-20,,0,0,,0,0.0,1,0,0
14,1997,1997-12-07,14,24.059,STL,@,NOR,W 34-27,,,,,,,,,
15,1997,1997-12-14,15,24.066,STL,,CHI,L 10-13,,,,,,,,,
16,1997,1997-12-20,16,24.072,STL,@,CAR,W 30-18,,,,,,,,,
17,1998,1998-09-06,1,24.332,STL,,NOR,L 17-24,,,,,,,,,
18,1998,1998-09-13,2,24.339,STL,,MIN,L 31-38,,,,,,,,,
19,1998,1998-09-20,3,24.346,STL,@,BUF,W 34-33,,0,0,,0,0.0,1,14,0
20,1998,1998-09-27,4,24.353,STL,,ARI,L 17-20,,,,,,,,,
21,1998,1998-10-11,5,25.002,STL,,NYJ,W 30-10,,0,0,,0,0.0,1,15,0
22,1998,1998-10-18,6,25.009,STL,@,MIA,L 0-14,,,,,,,,,
23,1998,1998-10-25,7,25.016,STL,,SFO,L 10-28,,,,,,,,,
24,1998,1998-11-01,8,25.023,STL,@,ATL,L 15-37,,,,,,,,,
25,1998,1998-11-08,9,25.030,STL,@,CHI,W 20-12,,,,,,,,,
26,1998,1998-11-15,10,25.037,STL,@,NOR,L 3-24,,,,,,,,,
27,1998,1998-11-22,11,25.044,STL,,CAR,L 20-24,,,,,,,,,
28,1998,1998-11-29,12,25.051,STL,,ATL,L 10-21,,,,,,,,,
29,1998,1998-12-03,13,25.055,STL,@,PHI,L 14-17,,,,,,,,,
30,1998,1998-12-13,14,25.065,STL,,NWE,W 32-18,,,,,,,,,
31,1998,1998-12-27,16,25.079,STL,@,SFO,L 19-38,,,,,,,,,
32,1999,1999-09-26,2,25.352,STL,,ATL,W 35-7,*,,,,,,,,
33,1999,1999-10-03,3,25.359,STL,@,CIN,W 38-10,*,,,,,,,,
34,1999,1999-10-10,4,26.001,STL,,SFO,W 42-20,*,,,,,,,,
35,1999,1999-10-17,5,26.008,STL,@,ATL,W 41-13,*,,,,,,,,
36,1999,1999-10-24,6,26.015,STL,,CLE,W 34-3,*,0,0,,0,0.5,0,0,0
37,1999,1999-10-31,7,26.022,STL,@,TEN,L 21-24,*,,,,,,,,
38,1999,1999-11-07,8,26.029,STL,@,DET,L 27-31,*,,,,,,,,
39,1999,1999-11-14,9,26.036,STL,,CAR,W 35-10,*,,,,,,,,
40,1999,1999-11-21,10,26.043,STL,@,SFO,W 23-7,*,0,0,,0,0.0,1,0,0
41,1999,1999-11-28,11,26.050,STL,,NOR,W 43-12,*,0,0,,0,0.0,1,14,0
42,1999,1999-12-05,12,26.057,STL,@,CAR,W 34-21,*,0,0,,0,1.0,0,0,0
43,1999,1999-12-12,13,26.064,STL,@,NOR,W 30-14,*,0,0,,0,0.0,1,3,0
44,1999,1999-12-19,14,26.071,STL,,NYG,W 31-10,*,,,,,,,,
45,1999,1999-12-26,15,26.078,STL,,CHI,W 34-12,*,,,,,,,,
46,1999,2000-01-02,16,26.085,STL,@,PHI,L 31-38,*,0,0,,0,0.0,1,0,0
47,2000,2000-09-04,1,26.331,STL,,DEN,W 41-36,*,,,,,,,,
48,2000,2000-09-10,2,26.337,STL,@,SEA,W 37-34,*,,,,,,,,
49,2000,2000-09-17,3,26.344,STL,,SFO,W 41-24,*,0,0,,0,0.0,1,0,0
50,2000,2000-09-24,4,26.351,STL,@,ATL,W 41-20,*,1,0,0.00,0,0.0,1,3,0
51,2000,2000-10-01,5,26.358,STL,,SDG,W 57-31,*,,,,,,,,
52,2000,2000-10-15,6,27.006,STL,,ATL,W 45-29,*,0,0,,0,0.0,1,0,0
53,2000,2000-10-22,7,27.013,STL,@,KAN,L 34-54,*,,,,,,,,
54,2000,2000-10-29,8,27.020,STL,@,SFO,W 34-24,*,,,,,,,,
55,2000,2000-11-05,9,27.027,STL,,CAR,L 24-27,*,0,0,,0,1.0,1,0,0
56,2000,2000-11-12,10,27.034,STL,@,NYG,W 38-24,*,0,0,,0,1.0,1,2,0
