ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2001,2001-09-30,3,25.185,DAL,@,PHI,L 18-40,,2,1,1,1.00,0,50.0%,0.50
2,2001,2001-10-07,4,25.192,DAL,@,OAK,L 21-28,,1,1,4,4.00,0,100.0%,4.00
3,2001,2001-10-28,6,25.213,DAL,,ARI,W 17-3,,,,,,,0.0%,
4,2001,2001-11-04,7,25.220,DAL,@,NYG,L 24-27,*,2,1,5,5.00,0,50.0%,2.50
5,2001,2001-11-11,8,25.227,DAL,@,ATL,L 13-20,*,2,2,17,8.50,0,100.0%,8.50
6,2001,2001-11-18,9,25.234,DAL,,PHI,L 3-36,,2,,,,,0.0%,
7,2001,2001-11-22,10,25.238,DAL,,DEN,L 24-26,,1,1,5,5.00,0,100.0%,5.00
8,2001,2001-12-02,11,25.248,DAL,@,WAS,W 20-14,,,,,,,0.0%,
9,2001,2001-12-09,12,25.255,DAL,,NYG,W 20-13,,,,,,,0.0%,
10,2001,2001-12-16,13,25.262,DAL,@,SEA,L 3-29,,2,2,4,2.00,0,100.0%,2.00
