ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1973,1973-09-23,2,22.036,CLE,@,PIT,L 6-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,0,0
2,1973,1973-09-30,3,22.043,CLE,,NYG,W 12-10,2,6,3.00,0,2,30,15.00,0,0,0,,0,0,0,,0,0,,,2,70,35.00,0,2,6,3.00,0,0,0
3,1973,1973-10-07,4,22.050,CLE,,CIN,W 17-10,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0
4,1973,1973-10-15,5,22.058,CLE,,MIA,L 9-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,1,16,16.00,0,0,0
5,1973,1973-10-21,6,22.064,CLE,,HOU,W 42-13,11,56,5.09,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,40,20.00,0,1,14,14.00,0,0,0
6,1973,1973-10-28,7,22.071,CLE,,SDG,T 16-16,5,24,4.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,1,6
7,1973,1973-11-04,8,22.078,CLE,@,MIN,L 3-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,47,47.00,0,1,0,0.00,0,0,0
8,1973,1973-11-11,9,22.085,CLE,@,HOU,W 23-13,5,66,13.20,1,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,46,46.00,0,1,6
9,1973,1973-11-18,10,22.092,CLE,@,OAK,W 7-3,4,27,6.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,36,7.20,0,0,0
10,1973,1973-11-25,11,22.099,CLE,,PIT,W 21-16,5,31,6.20,1,2,57,28.50,1,0,0,,0,0,0,,0,0,,,2,53,26.50,0,1,3,3.00,0,2,12
11,1973,1973-12-02,12,22.106,CLE,@,KAN,T 20-20,15,110,7.33,1,1,7,7.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,48,24.00,0,1,13,13.00,0,1,6
12,1973,1973-12-09,13,22.113,CLE,@,CIN,L 17-34,6,12,2.00,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,2,62,31.00,0,0,0,,0,0,0
13,1973,1973-12-16,14,22.120,CLE,@,RAM,L 17-30,7,39,5.57,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,2,51,25.50,0,2,43,21.50,0,0,0
