ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2001,2001-09-09,1,23.293,DET,@,GNB,L 6-28,,0,,,,,0.0%,,,,,,,,,
2,2001,2001-09-23,2,23.307,DET,@,CLE,L 14-24,,,,,,,0.0%,,,,,,,,,
3,2001,2001-10-21,5,23.335,DET,,TEN,L 24-27,,0,,,,,0.0%,,,,,,,,,
4,2001,2001-10-28,6,23.342,DET,,CIN,L 27-31,,0,,,,,0.0%,,,,,,,,,
5,2001,2001-11-04,7,23.349,DET,@,SFO,L 13-21,,1,,,,,0.0%,,,,,,,,,
6,2001,2001-11-11,8,23.356,DET,,TAM,L 17-20,,2,,,,,0.0%,,,,,,,,,
7,2001,2001-11-18,9,23.363,DET,@,ARI,L 38-45,,0,,,,,0.0%,,,,,,,,,
8,2001,2001-11-22,10,24.002,DET,,GNB,L 27-29,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0
9,2001,2001-12-02,11,24.012,DET,@,CHI,L 10-13,,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0,,0
10,2001,2001-12-09,12,24.019,DET,@,TAM,L 12-15,,,,,,,0.0%,,,,,,,,,
11,2001,2001-12-16,13,24.026,DET,,MIN,W 27-24,,0,,,,,0.0%,,,,,,,,,
12,2001,2001-12-23,14,24.033,DET,@,PIT,L 14-47,,0,,,,,0.0%,,,,,,,,,
13,2001,2001-12-30,15,24.040,DET,,CHI,L 0-24,,,,,,,0.0%,,,,,,,,,
14,2001,2002-01-06,16,24.047,DET,,DAL,W 15-10,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0
15,2002,2002-09-08,1,24.292,DET,@,MIA,L 21-49,,,,,,,0.0%,,,,,,,,,
16,2002,2002-09-15,2,24.299,DET,@,CAR,L 7-31,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0
17,2002,2002-09-22,3,24.306,DET,,GNB,L 31-37,,0,,,,,0.0%,,,,,,,,,
18,2002,2002-09-29,4,24.313,DET,,NOR,W 26-21,,,,,,,0.0%,,,,,,,,,
19,2002,2002-10-13,5,24.327,DET,@,MIN,L 24-31,,0,,,,,0.0%,,,,,,,,,
20,2002,2002-10-20,6,24.334,DET,,CHI,W 23-20,,,,,,,0.0%,,,,,,,,,
21,2002,2002-10-27,7,24.341,DET,@,BUF,L 17-24,,0,,,,,0.0%,,,,,,,,,
22,2002,2002-11-03,8,24.348,DET,,DAL,W 9-7,,0,,,,,0.0%,,,,,,,,,
23,2002,2002-11-10,9,24.355,DET,@,GNB,L 14-40,,0,,,,,0.0%,,,,,,,,,
24,2002,2002-11-17,10,24.362,DET,,NYJ,L 14-31,,0,,,,,0.0%,,,,,,,,,
25,2002,2002-11-24,11,25.004,DET,@,CHI,L 17-20,,,,,,,0.0%,,,,,,,,,
26,2002,2002-11-28,12,25.008,DET,,NWE,L 12-20,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0
27,2002,2002-12-08,13,25.018,DET,@,ARI,L 20-23,,,,,,,0.0%,,,,,,,,,
28,2002,2002-12-15,14,25.025,DET,,TAM,L 20-23,,,,,,,0.0%,,,,,,,,,
29,2002,2002-12-22,15,25.032,DET,@,ATL,L 15-36,,,,,,,0.0%,,,,,,,,,
30,2002,2002-12-29,16,25.039,DET,,MIN,L 36-38,,,,,,,0.0%,,,,,,,,,
31,2003,2003-09-07,1,25.291,DET,,ARI,W 42-24,,,,,,,0.0%,,,,,,,,,
32,2003,2003-09-14,2,25.298,DET,@,GNB,L 6-31,,0,,,,,0.0%,,,,,,,,,
33,2003,2003-09-21,3,25.305,DET,,MIN,L 13-23,,0,,,,,0.0%,,,,,,,,,
34,2003,2003-09-28,4,25.312,DET,@,DEN,L 16-20,,,,,,,0.0%,,,,,,,,,
