ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2017,2017-09-10,1,22.312,PHI,@,WAS,W 30-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
2,2017,2017-09-17,2,22.319,PHI,@,KAN,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
3,2017,2017-09-24,3,22.326,PHI,,NYG,W 27-24,,6,22,3.67,1,0,0,0,,0,0.0%,,1,35,35.00,0,0,0,,0,,1,6
4,2017,2017-10-01,4,22.333,PHI,@,LAC,W 26-24,,10,30,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
5,2017,2017-10-08,5,22.340,PHI,,ARI,W 34-7,,7,17,2.43,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,,0,0
6,2017,2017-10-12,6,22.344,PHI,@,CAR,W 28-23,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
7,2017,2017-10-23,7,22.355,PHI,,WAS,W 34-24,,1,6,6.00,0,1,1,9,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,,1,6
8,2017,2017-10-29,8,22.361,PHI,,SFO,W 33-10,,10,54,5.40,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
9,2017,2017-11-05,9,23.003,PHI,,DEN,W 51-23,,12,51,4.25,2,1,1,15,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,,3,18
10,2017,2017-11-19,10,23.017,PHI,@,DAL,W 37-9,,6,50,8.33,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,1,8
11,2017,2017-11-26,11,23.024,PHI,,CHI,W 31-3,,4,27,6.75,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0
12,2017,2017-12-03,12,23.031,PHI,@,SEA,L 10-24,,3,7,2.33,0,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0
13,2017,2017-12-10,13,23.038,PHI,@,LAR,W 43-35,,6,24,4.00,0,3,1,28,28.00,0,33.3%,9.33,0,0,,0,0,0,,0,,0,0
14,2017,2017-12-17,14,23.045,PHI,@,NYG,W 34-29,,4,17,4.25,0,1,1,1,1.00,0,100.0%,1.00,1,14,14.00,0,0,0,,0,,0,0
15,2017,2017-12-25,15,23.053,PHI,,OAK,W 19-10,,2,14,7.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0
16,2017,2017-12-31,16,23.059,PHI,,DAL,L 0-6,,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
17,2018,2018-09-06,1,23.308,PHI,,ATL,W 18-12,,5,26,5.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
18,2018,2018-09-16,2,23.318,PHI,@,TAM,L 21-27,,6,30,5.00,1,6,5,55,11.00,0,83.3%,9.17,0,0,,0,2,13,6.50,0,,1,6
19,2018,2018-09-23,3,23.325,PHI,,IND,W 20-16,,16,56,3.50,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,4,5,1.25,0,,0,0
