ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1978,1978-09-10,2,23.171,STL,,NWE,L 6-16,,,,
2,1978,1978-09-17,3,23.178,STL,,WAS,L 10-28,,,,
3,1978,1978-09-24,4,23.185,STL,@,DAL,L 12-21,,,,
4,1978,1978-10-01,5,23.192,STL,@,MIA,L 10-24,,,,
5,1978,1978-10-08,6,23.199,STL,,BAL,L 17-30,,,,
6,1978,1978-11-05,10,23.227,STL,,NYG,W 20-10,,,,
7,1978,1978-11-12,11,23.234,STL,@,SFO,W 16-10,,,,
8,1978,1978-11-19,12,23.241,STL,@,WAS,W 27-17,,,,
9,1978,1978-11-26,13,23.248,STL,,PHI,L 10-14,,,,
10,1979,1979-09-02,1,24.163,STL,,DAL,L 21-22,,,,
11,1979,1979-09-16,3,24.177,STL,,PIT,L 21-24,1,22,22.00,0
12,1979,1979-09-23,4,24.184,STL,,WAS,L 7-17,,,,
13,1979,1979-09-30,5,24.191,STL,@,RAM,L 0-21,1,17,17.00,0
14,1979,1979-10-07,6,24.198,STL,@,HOU,W 24-17,,,,
15,1979,1979-10-14,7,24.205,STL,,PHI,L 20-24,,,,
16,1979,1979-10-21,8,24.212,STL,@,DAL,L 13-22,,,,
17,1979,1979-10-28,9,24.219,STL,,CLE,L 20-38,1,23,23.00,0
18,1979,1979-11-04,10,24.226,STL,,MIN,W 37-7,,,,
19,1979,1979-11-11,11,24.233,STL,@,WAS,L 28-30,,,,
20,1979,1979-11-18,12,24.240,STL,@,PHI,L 13-16,,,,
21,1979,1979-11-25,13,24.247,STL,@,CIN,L 28-34,,,,
22,1979,1979-12-02,14,24.254,STL,,SFO,W 13-10,,,,
23,1979,1979-12-09,15,24.261,STL,,NYG,W 29-20,,,,
24,1979,1979-12-16,16,24.268,STL,@,CHI,L 6-42,,,,
25,1980,1980-09-07,1,25.168,STL,,NYG,L 35-41,,,,
26,1980,1980-09-14,2,25.175,STL,@,SFO,L 21-24,,,,
27,1980,1980-09-21,3,25.182,STL,@,DET,L 7-20,,,,
28,1980,1980-09-28,4,25.189,STL,,PHI,W 24-14,,,,
29,1980,1980-10-05,5,25.196,STL,@,NOR,W 40-7,,,,
30,1980,1980-10-12,6,25.203,STL,,RAM,L 13-21,,,,
