ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1969,1969-10-05,3,23.051,PIT,,STL,L 14-27,3,37,12.33,0,0,0,,0,0,0,,0
2,1969,1969-10-18,5,23.064,PIT,@,CLE,L 31-42,1,19,19.00,0,0,0,,0,0,0,,0
3,1969,1969-10-26,6,23.072,PIT,,WAS,L 7-14,2,24,12.00,0,0,0,,0,0,0,,0
4,1970,1970-09-20,1,24.036,PIT,,HOU,L 7-19,,,,,,,,,,,,
5,1970,1970-09-27,2,24.043,PIT,@,DEN,L 13-16,,,,,,,,,,,,
6,1970,1970-10-03,3,24.049,PIT,@,CLE,L 7-15,,,,,,,,,,,,
7,1970,1970-10-11,4,24.057,PIT,,BUF,W 23-10,,,,,,,,,,,,
8,1970,1970-10-18,5,24.064,PIT,@,HOU,W 7-3,,,,,,,,,,,,
9,1970,1970-10-25,6,24.071,PIT,@,OAK,L 14-31,1,8,8.00,0,0,0,,0,0,0,,0
10,1970,1970-11-02,7,24.079,PIT,,CIN,W 21-10,,,,,,,,,,,,
11,1970,1970-11-08,8,24.085,PIT,,NYJ,W 21-17,1,17,17.00,0,0,0,,0,0,0,,0
12,1970,1970-11-15,9,24.092,PIT,,KAN,L 14-31,,,,,,,,,,,,
13,1970,1970-11-22,10,24.099,PIT,@,CIN,L 7-34,1,11,11.00,0,0,0,,0,0,0,,0
14,1970,1970-11-29,11,24.106,PIT,,CLE,W 28-9,,,,,,,,,,,,
15,1970,1970-12-06,12,24.113,PIT,,GNB,L 12-20,,,,,,,,,,,,
16,1970,1970-12-13,13,24.120,PIT,@,ATL,L 16-27,,,,,,,,,,,,
17,1970,1970-12-20,14,24.127,PIT,@,PHI,L 20-30,,,,,,,,,,,,
18,1971,1971-09-19,1,25.035,PIT,@,CHI,L 15-17,,,,,,,,,,,,
19,1971,1971-09-26,2,25.042,PIT,,CIN,W 21-10,1,12,12.00,0,0,0,,0,0,0,,0
20,1971,1971-10-03,3,25.049,PIT,,SDG,W 21-17,1,15,15.00,0,0,0,,0,0,0,,0
21,1971,1971-10-10,4,25.056,PIT,@,CLE,L 17-27,4,31,7.75,0,0,0,,0,0,0,,0
22,1971,1971-10-18,5,25.064,PIT,@,KAN,L 16-38,2,-4,-2.00,0,0,0,,0,0,0,,0
23,1971,1971-10-24,6,25.070,PIT,,HOU,W 23-16,3,44,14.67,0,0,0,,0,0,0,,0
24,1971,1971-10-31,7,25.077,PIT,@,BAL,L 21-34,2,18,9.00,0,0,0,,0,0,0,,0
25,1971,1971-11-07,8,25.084,PIT,,CLE,W 26-9,,,,,,,,,,,,
26,1971,1971-11-14,9,25.091,PIT,@,MIA,L 21-24,3,17,5.67,0,0,0,,0,0,0,,0
27,1971,1971-11-21,10,25.098,PIT,,NYG,W 17-13,,,,,,,,,,,,
28,1971,1971-11-28,11,25.105,PIT,,DEN,L 10-22,1,5,5.00,0,0,0,,0,0,0,,0
29,1971,1971-12-05,12,25.112,PIT,@,HOU,L 3-29,1,6,6.00,0,0,0,,0,0,0,,0
30,1971,1971-12-12,13,25.119,PIT,@,CIN,W 21-13,,,,,,,,,,,,
31,1971,1971-12-19,14,25.126,PIT,,RAM,L 14-23,2,16,8.00,0,0,0,,0,0,0,,0
32,1973,1973-09-16,1,27.032,NWE,,BUF,L 13-31,3,35,11.67,0,0,0,,0,0,0,,0
33,1973,1973-09-23,2,27.039,NWE,,KAN,L 7-10,,,,,,,,,,,,
34,1973,1973-09-30,3,27.046,NWE,@,MIA,L 23-44,3,18,6.00,0,0,0,,0,0,0,,0
