ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,2000,2000-10-29,9,23.358,CLE,,CIN,L 3-12,,,,,,,,
2,2000,2000-11-12,11,24.006,CLE,,NWE,W 19-11,,,,,,,,
3,2000,2000-11-19,12,24.013,CLE,@,TEN,L 10-24,,0,0,,0,1,0,0
4,2000,2000-11-26,13,24.020,CLE,@,BAL,L 7-44,,,,,,,,
5,2000,2000-12-03,14,24.027,CLE,@,JAX,L 0-48,,,,,,,,
6,2000,2000-12-10,15,24.034,CLE,,PHI,L 24-35,,,,,,,,
7,2000,2000-12-17,16,24.041,CLE,,TEN,L 0-24,,1,5,5.00,0,0,0,0
8,2001,2001-09-09,1,24.307,CLE,,SEA,L 6-9,,1,1,1.00,0,0,0,0
