ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1975,1975-09-21,1,22.152,NYG,@,PHI,W 23-14,0,0,,0,0,0,,0,1,25,25.00,0,2,5,2.50,0,0,0
2,1975,1975-09-28,2,22.159,NYG,@,WAS,L 13-49,0,0,,0,0,0,,0,4,68,17.00,0,2,22,11.00,0,0,0
3,1975,1975-10-05,3,22.166,NYG,@,STL,L 14-26,0,0,,0,1,0,0.00,0,2,72,36.00,0,3,27,9.00,0,0,0
4,1975,1975-10-12,4,22.173,NYG,,DAL,L 7-13,0,0,,0,0,0,,0,2,38,19.00,0,2,38,19.00,0,0,0
5,1975,1975-10-20,5,22.181,NYG,@,BUF,W 17-14,0,0,,0,0,0,,0,2,41,20.50,0,3,-23,-7.67,0,0,0
6,1975,1975-10-25,6,22.186,NYG,,STL,L 13-20,0,0,,0,0,0,,0,2,36,18.00,0,2,8,4.00,0,0,0
7,1975,1975-11-01,7,22.193,NYG,,SDG,W 35-24,,,,,,,,,,,,,,,,,,
8,1975,1975-11-09,8,22.201,NYG,,WAS,L 13-21,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,0,0
9,1975,1975-11-16,9,22.208,NYG,,PHI,L 10-13,,,,,,,,,,,,,,,,,,
10,1975,1975-11-23,10,22.215,NYG,@,GNB,L 14-40,0,0,,0,0,0,,0,1,16,16.00,0,1,-1,-1.00,0,0,0
11,1975,1975-11-30,11,22.222,NYG,@,DAL,L 3-14,0,0,,0,0,0,,0,1,43,43.00,0,1,2,2.00,0,0,0
12,1975,1975-12-07,12,22.229,NYG,,BAL,L 0-21,,,,,,,,,,,,,,,,,,
13,1975,1975-12-14,13,22.236,NYG,,NOR,W 28-14,,,,,,,,,,,,,,,,,,
14,1975,1975-12-21,14,22.243,NYG,@,SFO,W 26-23,0,0,,0,0,0,,0,0,0,,0,3,15,5.00,0,0,0
15,1976,1976-09-12,1,23.143,NYG,@,WAS,L 17-19,,,,,,,,,,,,,,,,,,
16,1976,1976-09-26,3,23.157,NYG,@,RAM,L 10-24,,,,,,,,,,,,,,,,,,
17,1976,1976-10-10,5,23.171,NYG,,DAL,L 14-24,,,,,,,,,,,,,,,,,,
18,1976,1976-10-17,6,23.178,NYG,@,MIN,L 7-24,,,,,,,,,,,,,,,,,,
19,1976,1976-10-31,8,23.192,NYG,,PHI,L 0-10,,,,,,,,,,,,,,,,,,
20,1976,1976-11-07,9,23.199,WAS,@,SFO,W 24-21,,,,,,,,,,,,,,,,,,
21,1976,1976-11-14,10,23.206,WAS,@,NYG,L 9-12,,,,,,,,,,,,,,,,,,
22,1976,1976-11-21,11,23.213,WAS,@,STL,W 16-10,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
23,1976,1976-11-28,12,23.220,WAS,,PHI,W 24-0,,,,,,,,,,,,,,,,,,
24,1976,1976-12-05,13,23.227,WAS,@,NYJ,W 37-16,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
25,1976,1976-12-12,14,23.234,WAS,@,DAL,W 27-14,,,,,,,,,,,,,,,,,,
26,1977,1977-09-18,1,24.149,WAS,@,NYG,L 17-20,,,,,,,,,,,,,,,,,,
27,1977,1977-09-25,2,24.156,WAS,,ATL,W 10-6,,,,,,,,,,,,,,,,,,
28,1977,1977-10-02,3,24.163,WAS,,STL,W 24-14,,,,,,,,,,,,,,,,,,
29,1977,1977-10-09,4,24.170,WAS,@,TAM,W 10-0,,,,,,,,,,,,,,,,,,
30,1977,1977-10-16,5,24.177,WAS,@,DAL,L 16-34,,,,,,,,,,,,,,,,,,
31,1977,1977-10-23,6,24.184,WAS,,NYG,L 6-17,1,14,14.00,0,0,0,,0,0,17,,0,0,,,0,0,0
32,1977,1977-10-30,7,24.191,WAS,,PHI,W 23-17,5,53,10.60,0,0,0,,0,0,0,,0,0,0,,0,0,0
33,1977,1977-11-07,8,24.199,WAS,@,BAL,L 3-10,3,68,22.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
