ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1985,1985-09-09,1,23.264,WAS,@,DAL,L 14-44,0,0,,0,0,0,,0,2,13,6.50,0,0,0,0
2,1985,1985-09-15,2,23.270,WAS,,HOU,W 16-13,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0
3,1985,1985-09-22,3,23.277,WAS,,PHI,L 6-19,0,0,,0,0,0,,0,0,0,,0,,,
4,1985,1985-09-29,4,23.284,WAS,@,CHI,L 10-45,0,0,,0,0,0,,0,0,0,,0,,,
5,1985,1985-10-07,5,23.292,WAS,,STL,W 27-10,0,0,,0,0,0,,0,0,0,,0,1,22,0
6,1985,1985-10-13,6,23.298,WAS,,DET,W 24-3,0,0,,0,0,0,,0,0,0,,0,,,
7,1985,1985-10-20,7,23.305,WAS,@,NYG,L 3-17,0,0,,0,0,0,,0,0,0,,0,,,
8,1985,1985-10-27,8,23.312,WAS,@,CLE,W 14-7,0,0,,0,0,0,,0,0,0,,0,,,
9,1985,1985-11-03,9,23.319,WAS,@,ATL,W 44-10,0,0,,0,0,0,,0,0,0,,0,,,
10,1985,1985-11-10,10,23.326,WAS,,DAL,L 7-13,0,0,,0,0,0,,0,0,0,,0,,,
11,1985,1985-11-18,11,23.334,WAS,,NYG,W 23-21,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0
12,1985,1985-11-24,12,23.340,WAS,@,PIT,W 30-23,0,0,,0,0,0,,0,0,0,,0,,,
13,1985,1985-12-01,13,23.347,WAS,,SFO,L 8-35,0,0,,0,0,0,,0,0,0,,0,,,
14,1985,1985-12-08,14,23.354,WAS,@,PHI,W 17-12,0,0,,0,0,0,,0,0,0,,0,,,
15,1985,1985-12-15,15,23.361,WAS,,CIN,W 27-24,0,0,,0,1,9,9.00,0,0,0,,0,1,7,0
16,1985,1985-12-21,16,24.002,WAS,@,STL,W 27-16,0,0,,0,0,0,,0,0,0,,0,,,
17,1987,1987-10-25,6,25.310,DET,,GNB,L 33-34,,,,,,,,,,,,,,,
18,1987,1987-11-01,7,25.317,DET,@,DEN,L 0-34,,,,,,,,,,,,,,,
19,1987,1987-11-08,8,25.324,DET,,DAL,W 27-17,,,,,,,,,,,,,,,
20,1987,1987-11-15,9,25.331,DET,@,WAS,L 13-20,,,,,,,,,,,,,,,
21,1987,1987-11-22,10,25.338,DET,@,CHI,L 10-30,,,,,,,,,,,,,,,
22,1987,1987-11-26,11,25.342,DET,,KAN,L 20-27,,,,,,,,,,,,,,,
23,1987,1987-12-06,12,25.352,DET,,RAM,L 16-37,,,,,,,,,,,,,,,
24,1987,1987-12-13,13,25.359,DET,@,TAM,W 20-10,,,,,,,,,,,,,,,
25,1987,1987-12-20,14,26.001,DET,,MIN,L 14-17,,,,,,,,,,,,,,,
26,1987,1987-12-27,15,26.008,DET,@,ATL,W 30-13,0,0,,0,0,0,,0,0,0,,0,1,2,0
27,1988,1988-09-04,1,26.260,DET,,ATL,W 31-17,,,,,,,,,,,,,,,
28,1988,1988-09-11,2,26.267,DET,@,RAM,L 10-17,0,0,,0,0,0,,0,0,0,,0,1,0,0
29,1988,1988-09-18,3,26.274,DET,,NOR,L 14-22,,,,,,,,,,,,,,,
30,1988,1988-09-25,4,26.281,DET,,NYJ,L 10-17,0,0,,0,0,0,,0,0,0,,0,1,0,0
31,1988,1988-10-02,5,26.288,DET,@,SFO,L 13-20,,,,,,,,,,,,,,,
32,1988,1988-10-09,6,26.295,DET,,CHI,L 7-24,,,,,,,,,,,,,,,
33,1988,1988-10-16,7,26.302,DET,@,NYG,L 10-30,,,,,,,,,,,,,,,
34,1988,1988-10-23,8,26.309,DET,@,KAN,W 7-6,,,,,,,,,,,,,,,
35,1988,1988-10-30,9,26.316,DET,,NYG,L 10-13,,,,,,,,,,,,,,,
36,1988,1988-11-06,10,26.323,DET,@,MIN,L 17-44,,,,,,,,,,,,,,,
37,1988,1988-11-13,11,26.330,DET,,TAM,L 20-23,,,,,,,,,,,,,,,
38,1988,1988-11-20,12,26.337,DET,@,GNB,W 19-9,,,,,,,,,,,,,,,
39,1988,1988-11-24,13,26.341,DET,,MIN,L 0-23,,,,,,,,,,,,,,,
40,1988,1988-12-04,14,26.351,DET,,GNB,W 30-14,,,,,,,,,,,,,,,
41,1988,1988-12-11,15,26.358,DET,@,CHI,L 12-13,,,,,,,,,,,,,,,
42,1988,1988-12-18,16,26.365,DET,@,TAM,L 10-21,,,,,,,,,,,,,,,
