ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1989,1989-12-03,13,22.249,ATL,,SFO,L 10-23,0,0,,0,0,0,,0,,,,
2,1989,1989-12-10,14,22.256,ATL,@,MIN,L 17-43,0,0,,0,0,0,,0,,,,
3,1989,1989-12-17,15,22.263,ATL,,WAS,L 30-31,0,0,,0,0,0,,0,,,,
4,1989,1989-12-24,16,22.270,ATL,,DET,L 24-31,3,27,9.00,0,4,34,8.50,0,0.0,0,0,0
5,1990,1990-09-09,1,23.164,ATL,,HOU,W 47-27,,,,,0,0,,0,,,,
6,1990,1990-09-16,2,23.171,ATL,@,DET,L 14-21,0,0,,0,2,19,9.50,0,0.0,0,0,0
7,1990,1990-09-23,3,23.178,ATL,@,SFO,L 13-19,,,,,0,0,,0,,,,
8,1990,1990-10-07,4,23.192,ATL,,NOR,W 28-27,,,,,0,0,,0,,,,
9,1990,1990-10-14,5,23.199,ATL,,SFO,L 35-45,,,,,0,0,,0,,,,
10,1990,1990-10-21,6,23.206,ATL,@,RAM,L 24-44,,,,,0,0,,0,,,,
11,1990,1990-10-28,7,23.213,ATL,,CIN,W 38-17,,,,,0,0,,0,,,,
12,1990,1990-11-04,8,23.220,ATL,@,PIT,L 9-21,,,,,0,0,,0,,,,
13,1990,1990-11-11,9,23.227,ATL,@,CHI,L 24-30,,,,,0,0,,0,,,,
14,1990,1990-11-18,10,23.234,ATL,,PHI,L 23-24,,,,,0,0,,0,,,,
15,1990,1990-11-25,11,23.241,ATL,@,NOR,L 7-10,,,,,0,0,,0,,,,
16,1990,1990-12-02,12,23.248,ATL,@,TAM,L 17-23,0,0,,0,0,0,,0,0.0,1,0,0
17,1990,1990-12-09,13,23.255,ATL,,PHO,L 13-24,,,,,0,0,,0,,,,
18,1990,1990-12-16,14,23.262,ATL,@,CLE,L 10-13,,,,,0,0,,0,,,,
19,1990,1990-12-23,15,23.269,ATL,,RAM,W 20-13,0,0,,0,0,0,,0,0.0,1,0,0
20,1990,1990-12-30,16,23.276,ATL,,DAL,W 26-7,0,0,,0,0,0,,0,0.0,1,14,0
21,1991,1991-09-01,1,24.156,ATL,@,KAN,L 3-14,0,0,,0,0,0,,0,,,,
22,1991,1991-09-08,2,24.163,ATL,,MIN,L 19-20,0,0,,0,0,0,,0,,,,
23,1991,1991-09-15,3,24.170,ATL,@,SDG,W 13-10,0,0,,0,0,0,,0,,,,
24,1991,1991-09-22,4,24.177,ATL,,RAI,W 21-17,1,29,29.00,0,0,0,,0,0.0,0,0,0
25,1991,1991-09-29,5,24.184,ATL,,NOR,L 6-27,0,0,,0,0,0,,0,,,,
26,1991,1991-10-13,6,24.198,ATL,@,SFO,W 39-34,0,0,,0,0,0,,0,,,,
27,1991,1991-10-20,7,24.205,ATL,@,PHO,L 10-16,1,19,19.00,0,0,0,,0,1.0,0,0,0
28,1991,1991-10-27,8,24.212,ATL,,RAM,W 31-14,0,0,,0,5,34,6.80,0,0.0,0,0,0
29,1991,1991-11-03,9,24.219,ATL,,SFO,W 17-14,0,0,,0,1,11,11.00,0,0.0,1,0,0
30,1991,1991-11-10,10,24.226,ATL,@,WAS,L 17-56,0,0,,0,1,12,12.00,0,0.0,0,0,0
31,1991,1991-11-17,11,24.233,ATL,,TAM,W 43-7,1,24,24.00,0,3,30,10.00,0,0.0,0,0,0
32,1991,1991-11-24,12,24.240,ATL,@,NOR,W 23-20,0,0,,0,2,16,8.00,0,0.0,0,0,0
33,1991,1991-12-01,13,24.247,ATL,,GNB,W 35-31,0,0,,0,0,0,,0,,,,
34,1991,1991-12-08,14,24.254,ATL,@,RAM,W 31-14,0,0,,0,1,10,10.00,0,2.0,1,3,0
35,1991,1991-12-15,15,24.261,ATL,,SEA,W 26-13,0,0,,0,1,3,3.00,0,1.0,0,0,0
36,1991,1991-12-22,16,24.268,ATL,@,DAL,L 27-31,2,28,14.00,0,0,0,,0,0.0,0,0,0
