ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1978,1978-09-03,1,23.353,WAS,@,NWE,W 16-14,,,,,,,,
2,1978,1978-09-10,2,23.360,WAS,,PHI,W 35-30,,,,,,,,
3,1978,1978-09-17,3,24.002,WAS,@,STL,W 28-10,0,0,,0,1,13,13.00,0
4,1978,1978-09-24,4,24.009,WAS,,NYJ,W 23-3,,,,,,,,
5,1978,1978-10-15,7,24.030,WAS,@,PHI,L 10-17,,,,,,,,
6,1978,1978-10-22,8,24.037,WAS,@,NYG,L 6-17,,,,,,,,
7,1978,1978-10-29,9,24.044,WAS,,SFO,W 38-20,2,32,16.00,0,0,0,,0
8,1978,1978-11-06,10,24.052,WAS,@,BAL,L 17-21,,,,,,,,
9,1978,1978-11-12,11,24.058,WAS,,NYG,W 16-13,,,,,,,,
10,1978,1978-11-19,12,24.065,WAS,,STL,L 17-27,,,,,,,,
11,1978,1978-11-23,13,24.069,WAS,@,DAL,L 10-37,,,,,,,,
12,1978,1978-12-03,14,24.079,WAS,,MIA,L 0-16,,,,,,,,
13,1978,1978-12-10,15,24.086,WAS,@,ATL,L 17-20,,,,,,,,
14,1978,1978-12-16,16,24.092,WAS,,CHI,L 10-14,,,,,,,,
