ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1951,1951-09-30,1,22.211,CHI,@,GNB,W 31-20,1,22,22.00,0,0,0,,0
2,1951,1951-10-07,2,22.218,CHI,@,CRD,L 14-28,4,37,9.25,0,0,0,,0
3,1951,1951-10-28,5,22.239,CHI,@,DET,W 28-23,3,81,27.00,0,1,4,4.00,0
4,1951,1951-11-04,6,22.246,CHI,@,WAS,W 27-0,2,34,17.00,0,0,0,,0
5,1951,1951-11-11,7,22.253,CHI,,DET,L 28-41,5,51,10.20,1,0,0,,0
6,1951,1951-11-18,8,22.260,CHI,,GNB,W 24-13,1,13,13.00,0,0,0,,0
7,1951,1951-11-25,9,22.267,CHI,@,CLE,L 21-42,3,60,20.00,0,0,0,,0
8,1951,1951-12-02,10,22.274,CHI,,RAM,L 17-42,1,13,13.00,0,0,0,,0
9,1951,1951-12-16,12,22.288,CHI,,CRD,L 14-24,4,150,37.50,2,0,0,,0
10,1952,1952-09-28,1,23.209,CHI,@,GNB,W 24-14,6,96,16.00,1,0,0,,0
11,1952,1952-10-05,2,23.216,CHI,@,CRD,L 10-21,4,63,15.75,0,0,0,,0
12,1952,1952-10-12,3,23.223,CHI,,DTX,W 38-20,8,95,11.88,2,0,0,,0
13,1952,1952-10-19,4,23.230,CHI,,SFO,L 16-40,4,115,28.75,1,0,0,,0
14,1952,1952-10-26,5,23.237,CHI,@,RAM,L 7-31,2,17,8.50,0,0,0,,0
15,1952,1952-11-02,6,23.244,CHI,@,SFO,W 20-17,4,36,9.00,0,0,0,,0
16,1952,1952-11-09,7,23.251,CHI,,GNB,L 28-41,1,48,48.00,1,0,0,,0
17,1952,1952-11-16,8,23.258,CHI,,RAM,L 24-40,4,72,18.00,0,0,0,,0
18,1952,1952-11-27,10,23.269,CHI,@,DTX,L 23-27,2,39,19.50,1,0,0,,0
19,1952,1952-12-07,11,23.279,CHI,@,DET,L 21-45,2,26,13.00,0,0,0,,0
20,1952,1952-12-14,12,23.286,CHI,,CRD,W 10-7,2,53,26.50,0,0,0,,0
21,1954,1954-11-28,10,25.270,CHI,,RAM,W 24-13,1,71,71.00,1,0,0,,0
22,1955,1955-09-25,1,26.206,CHI,@,BAL,L 17-23,1,36,36.00,0,0,0,,0
23,1955,1955-10-02,2,26.213,CHI,@,GNB,L 3-24,1,12,12.00,0,0,0,,0
24,1955,1955-10-09,3,26.220,CHI,,SFO,L 19-20,3,60,20.00,0,0,0,,0
25,1955,1955-10-16,4,26.227,CHI,,BAL,W 38-10,1,51,51.00,1,0,0,,0
26,1955,1955-10-30,6,26.241,CHI,@,RAM,W 31-20,1,21,21.00,0,0,0,,0
27,1955,1955-11-13,8,26.255,CHI,,RAM,W 24-3,5,86,17.20,1,0,0,,0
28,1955,1955-11-20,9,26.262,CHI,@,DET,W 24-14,2,18,9.00,0,0,0,,0
29,1955,1955-11-27,10,26.269,CHI,@,CRD,L 14-53,3,31,10.33,0,0,0,,0
30,1956,1956-09-30,1,27.211,CHI,@,BAL,L 21-28,1,15,15.00,0,0,0,,0
31,1956,1956-10-07,2,27.218,CHI,@,GNB,W 37-21,4,84,21.00,0,0,0,,0
32,1956,1956-10-14,3,27.225,CHI,,SFO,W 31-7,2,26,13.00,0,0,0,,0
33,1956,1956-10-21,4,27.232,CHI,,BAL,W 58-27,2,24,12.00,1,0,0,,0
34,1956,1956-11-04,6,27.246,CHI,@,RAM,W 35-24,1,18,18.00,0,0,0,,0
35,1956,1956-11-11,7,27.253,CHI,,GNB,W 38-14,4,77,19.25,0,0,0,,0
36,1956,1956-11-18,8,27.260,CHI,,RAM,W 30-21,3,43,14.33,0,0,0,,0
37,1956,1956-12-02,10,27.274,CHI,@,DET,L 10-42,3,28,9.33,0,0,0,,0
38,1957,1957-12-01,10,28.273,CHI,,WAS,L 3-14,1,18,18.00,0,0,0,,0
39,1957,1957-12-08,11,28.280,CHI,@,CRD,W 14-6,1,18,18.00,0,0,0,,0
40,1957,1957-12-15,12,28.287,CHI,,DET,L 13-21,1,12,12.00,0,0,0,,0
