ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1950,1950-09-17,1,23.272,DET,@,GNB,W 45-7,*,10,18,55.56,232,1,1,95.8,0,0,12.89,11.50,5,-1,-0.20,0,,,,,,,0,
2,1950,1950-09-24,2,23.279,DET,,PIT,W 10-7,*,10,24,41.67,78,1,2,29.5,0,0,3.25,0.33,15,118,7.87,0,,,,,,,0,
3,1950,1950-09-29,3,23.284,DET,@,NYY,L 21-44,*,10,30,33.33,118,0,2,18.5,0,0,3.93,0.93,2,9,4.50,0,,,,,,,0,
4,1950,1950-10-08,4,23.293,DET,,SFO,W 24-7,*,15,32,46.88,205,2,0,88.7,0,0,6.41,7.66,6,0,0.00,1,,,,,,,1,
5,1950,1950-10-15,5,23.300,DET,,RAM,L 28-30,*,13,32,40.63,205,2,2,57.4,0,0,6.41,4.84,2,2,1.00,0,,,,,,,0,
6,1950,1950-10-22,6,23.307,DET,@,SFO,L 27-28,*,13,32,40.63,218,2,2,59.1,0,0,6.81,5.25,1,0,0.00,0,,,,,,,0,
7,1950,1950-10-29,7,23.314,DET,@,RAM,L 24-65,*,5,10,50.00,27,0,0,56.2,0,0,2.70,2.70,0,0,,0,,,,,,,0,
8,1950,1950-11-05,8,23.321,DET,,CHI,L 21-35,*,23,45,51.11,374,1,1,77.5,0,0,8.31,7.76,10,64,6.40,2,,,,,,,2,
9,1950,1950-11-19,9,23.335,DET,,GNB,W 24-21,*,10,24,41.67,188,2,3,57.6,0,0,7.83,3.88,1,6,6.00,0,,,,,,,0,
10,1950,1950-11-23,10,23.339,DET,,NYY,W 49-14,*,11,18,61.11,171,2,1,106.5,0,0,9.50,9.22,2,7,3.50,1,,,,,,,1,
11,1950,1950-12-03,11,23.349,DET,@,BAL,W 45-21,*,16,27,59.26,341,3,3,101.0,0,0,12.63,9.85,1,11,11.00,0,,,,,,,0,
12,1950,1950-12-10,12,23.356,DET,@,CHI,L 3-6,*,16,44,36.36,166,0,1,38.6,0,0,3.77,2.75,9,34,3.78,0,,,,,,,0,
13,1951,1951-09-30,1,24.285,DET,,WAS,W 35-17,*,20,26,76.92,310,2,0,141.5,0,0,11.92,13.46,10,47,4.70,1,,,,,,,1,
14,1951,1951-10-08,2,24.293,DET,,NYY,W 37-10,*,9,26,34.62,152,3,0,93.7,0,0,5.85,8.15,5,31,6.20,0,,,,,,,0,
15,1951,1951-10-14,3,24.299,DET,,RAM,L 21-27,*,5,19,26.32,63,1,4,18.9,0,0,3.32,-5.11,4,10,2.50,0,,,,,,,0,
16,1951,1951-10-21,4,24.306,DET,,NYY,T 24-24,*,20,44,45.45,306,1,2,57.6,0,0,6.95,5.36,0,0,,0,,,,,,,0,
17,1951,1951-10-28,5,24.313,DET,,CHI,L 23-28,*,15,31,48.39,299,3,3,75.3,0,0,9.65,7.23,2,6,3.00,0,,,,,,,0,
18,1951,1951-11-04,6,24.320,DET,@,GNB,W 24-17,*,7,16,43.75,162,3,2,80.7,0,0,10.13,8.25,8,21,2.63,0,,,,,,,0,
19,1951,1951-11-11,7,24.327,DET,@,CHI,W 41-28,*,16,30,53.33,259,4,1,108.2,0,0,8.63,9.80,3,39,13.00,0,,,,,,,0,
20,1951,1951-11-18,8,24.334,DET,@,PHI,W 28-10,*,10,24,41.67,144,3,3,61.8,0,0,6.00,2.88,4,38,9.50,0,,,,,,,0,
21,1951,1951-11-22,9,24.338,DET,,GNB,W 52-35,*,20,36,55.56,296,4,1,108.1,0,0,8.22,9.19,3,10,3.33,0,,,,,,,0,
22,1951,1951-12-02,10,24.348,DET,,SFO,L 10-20,*,11,32,34.38,112,1,1,42.7,0,0,3.50,2.72,6,20,3.33,0,,,,,,,0,
23,1951,1951-12-09,11,24.355,DET,@,RAM,W 24-22,*,6,15,40.00,69,0,2,15.0,0,0,4.60,-1.40,13,67,5.15,0,,,,,,,0,
24,1951,1951-12-16,12,24.362,DET,@,SFO,L 17-21,*,13,33,39.39,231,1,4,34.6,0,0,7.00,2.15,3,1,0.33,0,,,,,,,0,
25,1952,1952-09-28,1,25.284,DET,@,SFO,L 3-17,*,13,26,50.00,115,0,2,30.1,0,0,4.42,0.96,5,29,5.80,0,,,,,,,0,
26,1952,1952-10-03,2,25.289,DET,@,RAM,W 17-14,*,13,26,50.00,145,2,3,53.0,0,0,5.58,1.92,5,19,3.80,0,,,,,,,0,
