ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1989,1989-09-10,1,22.334,DET,,PHO,L 13-16,,0,0,,0,,,,,,,,
2,1989,1989-09-17,2,22.341,DET,@,NYG,L 14-24,,2,31,15.50,0,,,0,0,,0,0,0
3,1989,1989-09-24,3,22.348,DET,,CHI,L 27-47,,0,0,,0,,,,,,,,
4,1989,1989-10-01,4,22.355,DET,,PIT,L 3-23,,1,3,3.00,0,,,0,0,,0,0,0
5,1989,1989-10-08,5,22.362,DET,@,MIN,L 17-24,,2,17,8.50,0,,,0,0,,0,0,0
6,1989,1989-10-15,6,23.004,DET,@,TAM,W 17-16,,0,0,,0,,,,,,,,
7,1989,1989-10-22,7,23.011,DET,,MIN,L 7-20,,0,0,,0,,,,,,,,
8,1989,1989-10-29,8,23.018,DET,@,GNB,L 20-23,,0,0,,0,,,,,,,,
9,1989,1989-11-05,9,23.025,DET,@,HOU,L 31-35,,0,0,,0,,,,,,,,
10,1989,1989-11-12,10,23.032,DET,,GNB,W 31-22,,1,4,4.00,0,,,0,0,,0,0,0
11,1989,1989-11-19,11,23.039,DET,@,CIN,L 7-42,,3,41,13.67,0,,,0,0,,0,0,0
12,1989,1989-11-23,12,23.043,DET,,CLE,W 13-10,,4,42,10.50,0,,,0,0,,0,0,0
13,1989,1989-12-03,13,23.053,DET,,NOR,W 21-14,,3,49,16.33,0,,,0,0,,0,0,0
14,1989,1989-12-10,14,23.060,DET,@,CHI,W 27-17,,3,47,15.67,0,,,0,0,,0,0,0
15,1989,1989-12-17,15,23.067,DET,,TAM,W 33-7,,10,115,11.50,1,,,0,0,,0,1,6
16,1989,1989-12-24,16,23.074,DET,@,ATL,W 31-24,,1,3,3.00,0,,,0,0,,0,0,0
17,1990,1990-09-09,1,23.333,DET,,TAM,L 21-38,,3,25,8.33,0,,,0,0,,0,0,0
18,1990,1990-09-16,2,23.340,DET,,ATL,W 21-14,,2,44,22.00,0,,,0,0,,0,0,0
19,1990,1990-09-23,3,23.347,DET,@,TAM,L 20-23,,0,0,,0,,,0,0,,0,,
20,1990,1990-09-30,4,23.354,DET,,GNB,L 21-24,,1,8,8.00,0,,,0,0,,0,0,0
21,1990,1990-10-07,5,23.361,DET,@,MIN,W 34-27,,0,0,,0,,,0,0,,0,,
22,1990,1990-10-14,6,24.003,DET,@,KAN,L 24-43,,1,8,8.00,0,,,0,0,,0,0,0
23,1990,1990-10-28,7,24.017,DET,@,NOR,W 27-10,,0,0,,0,,,0,0,,0,,
24,1990,1990-11-04,8,24.024,DET,,WAS,L 38-41,,1,27,27.00,0,,,0,0,,0,0,0
25,1990,1990-12-02,12,24.052,DET,@,CHI,L 17-23,,0,0,,0,,,0,0,,0,,
26,1990,1990-12-10,13,24.060,DET,,RAI,L 31-38,,0,0,,0,,,0,0,,0,,
27,1990,1990-12-16,14,24.066,DET,,CHI,W 38-21,,0,0,,0,,,0,0,,0,,
28,1990,1990-12-22,15,24.072,DET,@,GNB,W 24-17,,0,0,,0,,,0,0,,0,,
29,1990,1990-12-30,16,24.080,DET,@,SEA,L 10-30,,0,0,,0,,,2,43,21.50,0,0,0
30,1991,1991-10-13,6,25.002,ATL,@,SFO,W 39-34,,0,0,,0,,,,,,,,
31,1991,1991-10-20,7,25.009,ATL,@,PHO,L 10-16,,1,11,11.00,0,,,0,0,,0,0,0
32,1991,1991-10-27,8,25.016,ATL,,RAM,W 31-14,,0,0,,0,,,,,,,,
33,1991,1991-11-03,9,25.023,ATL,,SFO,W 17-14,,0,0,,0,,,,,,,,
34,1991,1991-11-10,10,25.030,ATL,@,WAS,L 17-56,,0,0,,0,,,,,,,,
35,1991,1991-11-17,11,25.037,ATL,,TAM,W 43-7,,2,46,23.00,0,,,0,0,,0,0,0
36,1991,1991-11-24,12,25.044,ATL,@,NOR,W 23-20,,1,2,2.00,0,,,0,0,,0,0,0
37,1991,1991-12-01,13,25.051,ATL,,GNB,W 35-31,,1,6,6.00,0,,,0,0,,0,0,0
38,1991,1991-12-08,14,25.058,ATL,@,RAM,W 31-14,,0,0,,0,,,,,,,,
39,1991,1991-12-15,15,25.065,ATL,,SEA,W 26-13,,0,0,,0,,,,,,,,
40,1991,1991-12-22,16,25.072,ATL,@,DAL,L 27-31,,1,8,8.00,0,,,0,0,,0,0,0
41,1992,1992-09-06,1,25.331,ATL,,NYJ,W 20-17,,0,0,,0,0.0%,,0,0,,0,,
42,1992,1992-09-13,2,25.338,ATL,@,WAS,L 17-24,,0,0,,0,0.0%,,0,0,,0,,
43,1992,1992-09-20,3,25.345,ATL,,NOR,L 7-10,,0,0,,0,0.0%,,0,0,,0,,
44,1992,1992-09-27,4,25.352,ATL,@,CHI,L 31-41,,0,0,,0,0.0%,,0,0,,0,,
45,1992,1992-10-04,5,25.359,ATL,,GNB,W 24-10,,0,0,,0,0.0%,,0,0,,0,,
46,1992,1992-10-11,6,26.000,ATL,@,MIA,L 17-21,,0,0,,0,0.0%,,0,0,,0,,
47,1992,1992-10-18,7,26.007,ATL,@,SFO,L 17-56,3,3,18,6.00,1,100.0%,6.00,0,0,,0,1,6
48,1992,1992-11-01,8,26.021,ATL,,RAM,W 30-28,1,0,0,,0,0.0%,0.00,0,0,,0,,
49,1992,1992-11-09,9,26.029,ATL,,SFO,L 3-41,,0,0,,0,0.0%,,0,0,,0,,
50,1992,1992-11-15,10,26.035,ATL,,PHO,W 20-17,,0,0,,0,0.0%,,0,0,,0,,
51,1992,1992-11-22,11,26.042,ATL,@,BUF,L 14-41,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0
52,1992,1992-12-27,16,26.077,ATL,@,RAM,L 27-38,,0,0,,0,0.0%,,0,0,,0,,
53,1993,1993-10-03,5,26.357,ATL,@,CHI,L 0-6,,0,0,,0,0.0%,,0,0,,0,,
54,1993,1993-10-14,6,27.003,ATL,,RAM,W 30-24,,0,0,,0,0.0%,,1,29,29.00,0,0,0
55,1993,1993-12-11,13,27.061,ATL,,SFO,W 27-24,,0,0,,0,0.0%,,0,0,,0,,
56,1993,1993-12-19,14,27.069,ATL,@,WAS,L 17-30,,0,0,,0,0.0%,,1,9,9.00,0,0,0
57,1993,1993-12-26,15,27.076,ATL,@,CIN,L 17-21,,0,0,,0,0.0%,,0,0,,0,,
58,1993,1994-01-02,16,27.083,ATL,,PHO,L 10-27,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0
