ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2001,2001-09-09,1,21.177,BAL,,CHI,W 17-6,,5,5,57,11.40,0,100.0%,11.40,0,0,,0,0,0,,0,0,0,,,,,,0,0
2,2001,2001-09-23,2,21.191,BAL,@,CIN,L 10-21,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,,,,,0,0
3,2001,2001-10-28,7,21.226,BAL,,JAX,W 18-17,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,2001,2001-11-04,8,21.233,BAL,@,PIT,W 13-10,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
5,2001,2001-11-12,9,21.241,BAL,@,TEN,W 16-10,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,2001,2001-11-18,10,21.247,BAL,,CLE,L 17-27,,1,1,24,24.00,1,100.0%,24.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
7,2001,2001-11-25,11,21.254,BAL,@,JAX,W 24-21,*,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
8,2001,2001-12-02,12,21.261,BAL,,IND,W 39-27,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,2001,2001-12-16,13,21.275,BAL,,PIT,L 21-26,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
10,2001,2001-12-23,14,21.282,BAL,,CIN,W 16-0,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
11,2001,2001-12-29,15,21.288,BAL,@,TAM,L 10-22,*,3,2,32,16.00,0,66.7%,10.67,0,0,,0,0,0,,0,0,0,,,,,,0,0
12,2001,2002-01-07,16,21.297,BAL,,MIN,W 19-3,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
13,2002,2002-09-08,1,22.176,BAL,@,CAR,L 7-10,*,5,5,20,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
14,2002,2002-09-15,2,22.183,BAL,,TAM,L 0-25,*,8,3,20,6.67,0,37.5%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
15,2002,2002-09-30,3,22.198,BAL,,DEN,W 34-23,*,8,5,84,16.80,2,62.5%,10.50,0,0,,0,0,0,,0,0,0,,0,,,,2,12
16,2002,2002-10-06,4,22.204,BAL,@,CLE,W 26-21,*,7,4,53,13.25,0,57.1%,7.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0
17,2002,2002-10-13,5,22.211,BAL,@,IND,L 20-22,*,7,2,38,19.00,0,28.6%,5.43,1,14,14.00,0,0,0,,0,0,0,,0,,,,0,0
18,2002,2002-10-20,6,22.218,BAL,,JAX,W 17-10,*,10,4,39,9.75,2,40.0%,3.90,1,7,7.00,0,0,0,,0,0,0,,0,,,,2,12
19,2002,2002-10-27,7,22.225,BAL,,PIT,L 18-31,*,10,6,51,8.50,0,60.0%,5.10,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
20,2002,2002-11-03,8,22.232,BAL,@,ATL,L 17-20,*,8,5,60,12.00,0,62.5%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
21,2002,2002-11-10,9,22.239,BAL,,CIN,W 38-27,*,6,4,65,16.25,0,66.7%,10.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0
22,2002,2002-11-17,10,22.246,BAL,@,MIA,L 7-26,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
23,2002,2002-11-24,11,22.253,BAL,,TEN,W 13-12,*,6,4,42,10.50,0,66.7%,7.00,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0
24,2002,2002-12-01,12,22.260,BAL,@,CIN,W 27-23,*,5,3,30,10.00,1,60.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,1,6
25,2002,2002-12-08,13,22.267,BAL,,NOR,L 25-37,*,13,5,87,17.40,0,38.5%,6.69,0,0,,0,0,0,,0,0,0,,0,,,,0,0
26,2002,2002-12-15,14,22.274,BAL,@,HOU,W 23-19,*,6,3,34,11.33,0,50.0%,5.67,1,15,15.00,0,0,0,,0,0,0,,0,,,,0,0
27,2002,2002-12-22,15,22.281,BAL,,CLE,L 13-14,*,11,7,61,8.71,0,63.6%,5.55,0,0,,0,0,0,,0,0,0,,0,,,,0,0
28,2002,2002-12-29,16,22.288,BAL,@,PIT,L 31-34,*,9,7,146,20.86,1,77.8%,16.22,0,0,,0,0,0,,0,0,0,,0,,,,1,6
29,2003,2003-09-07,1,23.175,BAL,@,PIT,L 15-34,*,9,6,55,9.17,0,66.7%,6.11,0,0,,0,0,0,,0,0,0,,,,,,0,0
30,2003,2003-09-14,2,23.182,BAL,,CLE,W 33-13,*,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0,,,,,,0,0
31,2003,2003-09-21,3,23.189,BAL,@,SDG,W 24-10,*,9,5,50,10.00,1,55.6%,5.56,0,0,,0,0,0,,0,0,0,,,,,,1,6
32,2003,2003-09-28,4,23.196,BAL,,KAN,L 10-17,*,7,4,48,12.00,0,57.1%,6.86,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0
33,2003,2003-10-12,5,23.210,BAL,@,ARI,W 26-18,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
34,2003,2003-10-19,6,23.217,BAL,@,CIN,L 26-34,*,8,7,129,18.43,0,87.5%,16.13,0,0,,0,0,0,,0,0,0,,,,,,0,0
35,2003,2003-10-26,7,23.224,BAL,,DEN,W 26-6,*,8,3,54,18.00,0,37.5%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0
36,2003,2003-11-02,8,23.231,BAL,,JAX,W 24-17,*,7,2,53,26.50,1,28.6%,7.57,0,0,,0,0,0,,0,0,0,,,,,,1,6
37,2003,2003-11-09,9,23.238,BAL,@,STL,L 22-33,*,12,6,49,8.17,0,50.0%,4.08,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0
38,2003,2003-11-16,10,23.245,BAL,@,MIA,L 6-9,*,9,8,64,8.00,0,88.9%,7.11,0,0,,0,0,0,,0,0,0,,,,,,0,0
39,2003,2003-11-23,11,23.252,BAL,,SEA,W 44-41,*,7,1,22,22.00,0,14.3%,3.14,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0
40,2003,2003-11-30,12,23.259,BAL,,SFO,W 44-6,*,9,4,38,9.50,0,44.4%,4.22,0,0,,0,0,0,,0,0,0,,,,,,0,0
41,2003,2003-12-07,13,23.266,BAL,,CIN,W 31-13,*,7,1,14,14.00,0,14.3%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
42,2003,2003-12-14,14,23.273,BAL,@,OAK,L 12-20,*,9,6,93,15.50,1,66.7%,10.33,0,0,,0,0,0,,0,0,0,,,,,,1,6
43,2003,2003-12-21,15,23.280,BAL,@,CLE,W 35-0,*,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
44,2003,2003-12-28,16,23.287,BAL,,PIT,W 13-10,*,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,0,,,,,,0,0
45,2004,2004-09-12,1,24.180,BAL,@,CLE,L 3-20,*,14,9,86,9.56,0,64.3%,6.14,0,0,,0,0,0,,0,0,0,,,,,,0,0
46,2004,2004-09-19,2,24.187,BAL,,PIT,W 30-13,*,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
47,2004,2004-12-05,12,24.264,BAL,,CIN,L 26-27,*,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
48,2004,2004-12-12,13,24.271,BAL,,NYG,W 37-14,*,10,5,76,15.20,2,50.0%,7.60,0,0,,0,0,0,,0,0,0,,,,,,2,12
49,2004,2004-12-19,14,24.278,BAL,@,IND,L 10-20,*,8,4,58,14.50,1,50.0%,7.25,0,0,,0,0,0,,0,0,0,,,,,,1,6
50,2004,2004-12-26,15,24.285,BAL,@,PIT,L 7-20,*,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,,,,,0,0
51,2005,2005-09-11,1,25.179,BAL,,IND,L 7-24,*,7,4,38,9.50,0,57.1%,5.43,0,0,,0,0,0,,0,0,0,,,,,,0,0
52,2005,2005-09-18,2,25.186,BAL,@,TEN,L 10-25,*,6,5,56,11.20,0,83.3%,9.33,0,0,,0,0,0,,0,0,0,,,,,,0,0
53,2005,2005-10-02,3,25.200,BAL,,NYJ,W 13-3,*,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,0,0,0,,,,,,0,0
54,2005,2005-10-09,4,25.207,BAL,@,DET,L 17-35,*,3,2,54,27.00,1,66.7%,18.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
55,2005,2005-10-16,5,25.214,BAL,,CLE,W 16-3,*,7,6,79,13.17,1,85.7%,11.29,0,0,,0,0,0,,0,0,0,,,,,,1,6
56,2005,2005-10-23,6,25.221,BAL,@,CHI,L 6-10,*,10,7,71,10.14,0,70.0%,7.10,0,0,,0,0,0,,0,0,0,,,,,,0,0
57,2005,2005-10-31,7,25.229,BAL,@,PIT,L 19-20,*,7,5,38,7.60,0,71.4%,5.43,0,0,,0,0,0,,0,0,0,,,,,,0,0
58,2005,2005-11-06,8,25.235,BAL,,CIN,L 9-21,*,8,4,28,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
59,2005,2005-11-13,9,25.242,BAL,@,JAX,L 3-30,*,8,5,58,11.60,0,62.5%,7.25,0,0,,0,0,0,,0,0,0,,,,,,0,0
60,2005,2005-11-20,10,25.249,BAL,,PIT,W 16-13,*,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,0,0,,,,,,0,0
61,2005,2005-11-27,11,25.256,BAL,@,CIN,L 29-42,*,7,6,87,14.50,2,85.7%,12.43,0,0,,0,0,0,,0,0,0,,,,,,2,12
62,2005,2005-12-04,12,25.263,BAL,,HOU,W 16-15,*,6,3,51,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
63,2005,2005-12-11,13,25.270,BAL,@,DEN,L 10-12,*,11,5,65,13.00,0,45.5%,5.91,0,0,,0,0,0,,0,0,0,,,,,,0,0
64,2005,2005-12-19,14,25.278,BAL,,GNB,W 48-3,*,12,9,110,12.22,2,75.0%,9.17,0,0,,0,0,0,,0,0,0,,,,,,2,12
65,2005,2005-12-25,15,25.284,BAL,,MIN,W 30-23,*,6,4,30,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
66,2005,2006-01-01,16,25.291,BAL,@,CLE,L 16-20,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,,,,,0,0
67,2006,2006-09-10,1,26.178,BAL,@,TAM,W 27-0,*,9,5,46,9.20,0,55.6%,5.11,0,0,,0,0,0,,0,0,0,,,,,,0,0
68,2006,2006-09-17,2,26.185,BAL,,OAK,W 28-6,*,8,5,17,3.40,1,62.5%,2.13,0,0,,0,0,0,,0,0,0,,,,,,1,6
69,2006,2006-09-24,3,26.192,BAL,@,CLE,W 15-14,*,11,5,36,7.20,1,45.5%,3.27,0,0,,0,0,0,,0,0,0,,,,,,1,6
70,2006,2006-10-01,4,26.199,BAL,,SDG,W 16-13,*,5,4,60,15.00,1,80.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
71,2006,2006-10-09,5,26.207,BAL,@,DEN,L 3-13,*,8,3,21,7.00,0,37.5%,2.63,0,0,,0,0,0,,0,0,0,,,,,,0,0
72,2006,2006-10-15,6,26.213,BAL,,CAR,L 21-23,*,8,5,55,11.00,1,62.5%,6.88,0,0,,0,0,0,,0,0,0,,,,,,1,6
73,2006,2006-10-29,7,26.227,BAL,@,NOR,W 35-22,*,4,3,47,15.67,1,75.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,1,6
74,2006,2006-11-05,8,26.234,BAL,,CIN,W 26-20,*,5,4,84,21.00,0,80.0%,16.80,0,0,,0,0,0,,0,0,0,,,,,,0,0
75,2006,2006-11-12,9,26.241,BAL,@,TEN,W 27-26,*,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,0,,,,,,0,0
76,2006,2006-11-19,10,26.248,BAL,,ATL,W 24-10,*,9,6,62,10.33,0,66.7%,6.89,0,0,,0,0,0,,0,0,0,,,,,,0,0
77,2006,2006-11-26,11,26.255,BAL,,PIT,W 27-0,*,7,7,58,8.29,1,100.0%,8.29,0,0,,0,0,0,,0,0,0,,,,,,1,6
78,2006,2006-11-30,12,26.259,BAL,@,CIN,L 7-13,*,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,0,0,,,,,,0,0
79,2006,2006-12-10,13,26.269,BAL,@,KAN,W 20-10,*,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
80,2006,2006-12-17,14,26.276,BAL,,CLE,W 27-17,*,10,5,58,11.60,0,50.0%,5.80,0,0,,0,0,0,,0,0,0,,,,,,0,0
81,2006,2006-12-24,15,26.283,BAL,@,PIT,W 31-7,*,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
82,2006,2006-12-31,16,26.290,BAL,,BUF,W 19-7,*,8,5,60,12.00,0,62.5%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
83,2007,2007-09-10,1,27.178,BAL,@,CIN,L 20-27,*,6,4,29,7.25,0,66.7%,4.83,0,0,,0,0,0,,0,0,0,,,,,,0,0
