ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,25.049,CAR,@,ARI,L 21-28,,,,,,,,,,,0.0%,,,,,,,,,,
2,2011,2011-09-18,2,25.056,CAR,,GNB,L 23-30,,,,,,,,,,,0.0%,,,,,,,,,,
3,2011,2011-09-25,3,25.063,CAR,,JAX,W 16-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
4,2011,2011-10-09,5,25.077,CAR,,NOR,L 27-30,,,,,,,,,,,0.0%,,,,,,,,,,
5,2011,2011-11-20,10,25.119,CAR,@,DET,L 35-49,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0
6,2011,2011-11-27,11,25.126,CAR,@,IND,W 27-19,,,,,,,,,,,0.0%,,,,,,,,,,
7,2011,2011-12-04,12,25.133,CAR,@,TAM,W 38-19,,,,,,,,,,,0.0%,,,,,,,,,,
8,2011,2011-12-11,13,25.140,CAR,,ATL,L 23-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
9,2011,2011-12-18,14,25.147,CAR,@,HOU,W 28-13,*,1,7,7.00,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,6,0.0,0,0
10,2011,2011-12-24,15,25.153,CAR,,TAM,W 48-16,,2,5,2.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0
11,2011,2012-01-01,16,25.161,CAR,@,NOR,L 17-45,*,,,,,,,,,,0.0%,,,,,,,,,,
12,2012,2012-09-09,1,26.047,CAR,@,TAM,L 10-16,,,,,,,,,,,0.0%,,,,,,,,,,
13,2012,2012-09-16,2,26.054,CAR,,NOR,W 35-27,,,,,,,,,,,0.0%,,,,,,,,,,
14,2012,2012-09-20,3,26.058,CAR,,NYG,L 7-36,,,,,,,,,,,0.0%,,,,,,,,,,
15,2012,2012-09-30,4,26.068,CAR,@,ATL,L 28-30,,,,,,,,,,,0.0%,,,,,,,,,,
16,2012,2012-10-07,5,26.075,CAR,,SEA,L 12-16,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
17,2012,2012-10-21,6,26.089,CAR,,DAL,L 14-19,,,,,,,,,,,0.0%,,,,,,,,,,
18,2012,2012-10-28,7,26.096,CAR,@,CHI,L 22-23,,,,,,,,,,,0.0%,,,,,,,,,,
19,2012,2012-11-04,8,26.103,CAR,@,WAS,W 21-13,,,,,,,,,,,0.0%,,,,,,,,,,
20,2012,2012-11-11,9,26.110,CAR,,DEN,L 14-36,,,,,,,,,,,0.0%,,,,,,,,,,
21,2012,2012-11-18,10,26.117,CAR,,TAM,L 21-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
22,2012,2012-11-26,11,26.125,CAR,@,PHI,W 30-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
23,2012,2012-12-02,12,26.131,CAR,@,KAN,L 21-27,,,,,,,,,,,0.0%,,,,,,,,,,
24,2012,2012-12-09,13,26.138,CAR,,ATL,W 30-20,,,,,,,,,,,0.0%,,,,,,,,,,
25,2012,2012-12-16,14,26.145,CAR,@,SDG,W 31-7,,,,,,,,,,,0.0%,,,,,,,,,,
26,2012,2012-12-23,15,26.152,CAR,,OAK,W 17-6,,,,,,,,,,,0.0%,,,,,,,,,,
27,2012,2012-12-30,16,26.159,CAR,@,NOR,W 44-38,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
28,2013,2013-09-08,1,27.046,CAR,,SEA,L 7-12,,,,,,,,,,,0.0%,,,,,,,,,,
29,2013,2013-09-15,2,27.053,CAR,@,BUF,L 23-24,,,,,,,,,,,0.0%,,,,,,,,,,
30,2013,2013-09-22,3,27.060,CAR,,NYG,W 38-0,,1,1,1.00,0,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,1,0
31,2013,2013-10-06,4,27.074,CAR,@,ARI,L 6-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
32,2013,2013-10-13,5,27.081,CAR,@,MIN,W 35-10,,,,,,,,,,,0.0%,,,,,,,,,,
33,2013,2013-10-20,6,27.088,CAR,,STL,W 30-15,,,,,,,,,,,0.0%,,,,,,,,,,
34,2013,2013-10-24,7,27.092,CAR,@,TAM,W 31-13,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0
35,2013,2013-11-03,8,27.102,CAR,,ATL,W 34-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
36,2013,2013-11-10,9,27.109,CAR,@,SFO,W 10-9,,,,,,,,,,,0.0%,,,,,,,,,,
37,2013,2013-11-18,10,27.117,CAR,,NWE,W 24-20,,,,,,,,,,,0.0%,,,,,,,,,,
38,2013,2013-11-24,11,27.123,CAR,@,MIA,W 20-16,,,,,,,,,,,0.0%,,,,,,,,,,
39,2013,2013-12-01,12,27.130,CAR,,TAM,W 27-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
40,2013,2013-12-08,13,27.137,CAR,@,NOR,L 13-31,,,,,,,,,,,0.0%,,,,,,,,,,
41,2013,2013-12-15,14,27.144,CAR,,NYJ,W 30-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
42,2013,2013-12-22,15,27.151,CAR,,NOR,W 17-13,,,,,,,,,,,0.0%,,,,,,,,,,
43,2013,2013-12-29,16,27.158,CAR,@,ATL,W 21-20,,,,,,,,,,,0.0%,,,,,,,,,,
44,2014,2014-09-07,1,28.045,CAR,@,TAM,W 20-14,,,,,,,,,,,0.0%,,,,,,,,,,
45,2014,2014-09-14,2,28.052,CAR,,DET,W 24-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0
46,2014,2014-09-21,3,28.059,CAR,,PIT,L 19-37,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
47,2014,2014-09-28,4,28.066,CAR,@,BAL,L 10-38,,,,,,,,,,,0.0%,,,,,,,,,,
48,2015,2015-09-27,3,29.065,CAR,,NOR,W 27-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
49,2015,2015-10-04,4,29.072,CAR,@,TAM,W 37-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
