ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1962,1962-10-14,5,26.264,GNB,@,MIN,W 48-21,0,0,,0,5,5,100.0,2,3,66.7,0,11
2,1962,1962-10-21,6,26.271,GNB,,SFO,W 31-13,0,0,,0,4,4,100.0,1,1,100.0,0,7
3,1962,1962-10-28,7,26.278,GNB,@,BAL,W 17-6,0,0,,0,2,2,100.0,1,1,100.0,0,5
4,1962,1962-11-04,8,26.285,GNB,@,CHI,W 38-7,0,0,,0,5,5,100.0,1,1,100.0,0,8
5,1962,1962-11-11,9,26.292,GNB,@,PHI,W 49-0,,,,,7,7,100.0,,,,0,7
6,1962,1962-11-18,10,26.299,GNB,,BAL,W 17-13,0,0,,0,2,2,100.0,1,1,100.0,0,5
7,1962,1962-11-22,11,26.303,GNB,@,DET,L 14-26,0,0,,0,2,2,100.0,,1,0.0,0,2
8,1962,1962-12-02,12,26.313,GNB,,RAM,W 41-10,0,0,,0,5,5,100.0,2,2,100.0,0,11
9,1962,1962-12-09,13,26.320,GNB,@,SFO,W 31-21,0,0,,0,4,4,100.0,1,1,100.0,0,7
10,1962,1962-12-16,14,26.327,GNB,@,RAM,W 20-17,,,,,2,3,66.7,,,,0,2
11,1963,1963-09-15,1,27.235,GNB,,CHI,L 3-10,0,0,,0,,,,1,1,100.0,0,3
12,1963,1963-09-22,2,27.242,GNB,,DET,W 31-10,0,0,,0,4,4,100.0,1,2,50.0,0,7
13,1963,1963-09-29,3,27.249,GNB,,BAL,W 31-20,0,0,,0,4,4,100.0,1,3,33.3,0,7
14,1963,1963-10-06,4,27.256,GNB,,RAM,W 42-10,0,0,,0,4,6,66.7,,3,0.0,0,4
15,1963,1963-10-13,5,27.263,GNB,@,MIN,W 37-28,0,0,,0,4,4,100.0,3,3,100.0,0,13
16,1963,1963-10-20,6,27.270,GNB,@,STL,W 30-7,0,0,,0,3,3,100.0,3,4,75.0,0,12
17,1963,1963-10-27,7,27.277,GNB,@,BAL,W 34-20,1,0,0.00,0,4,4,100.0,2,4,50.0,0,10
18,1963,1963-11-03,8,27.284,GNB,,PIT,W 33-14,0,0,,0,3,3,100.0,4,4,100.0,0,15
19,1963,1963-11-10,9,27.291,GNB,,MIN,W 28-7,0,0,,0,4,4,100.0,,1,0.0,0,4
20,1963,1963-11-17,10,27.298,GNB,@,CHI,L 7-26,,,,,1,1,100.0,,,,0,1
21,1963,1963-11-24,11,27.305,GNB,,SFO,W 28-10,0,0,,0,4,4,100.0,,1,0.0,0,4
22,1963,1963-11-28,12,27.309,GNB,@,DET,T 13-13,0,0,,0,1,2,50.0,,2,0.0,0,1
23,1963,1963-12-07,13,27.318,GNB,@,RAM,W 31-14,0,0,,0,4,4,100.0,1,3,33.3,0,7
24,1963,1963-12-14,14,27.325,GNB,@,SFO,W 21-17,0,0,,0,3,3,100.0,,3,0.0,0,3
25,1968,1968-09-15,1,32.236,GNB,,PHI,W 30-13,0,0,,0,3,3,100.0,3,3,100.0,0,12
26,1968,1968-09-22,2,32.243,GNB,,MIN,L 13-26,,,,,1,2,50.0,,,,0,1
27,1968,1968-09-29,3,32.250,GNB,,DET,L 17-23,0,0,,0,2,2,100.0,1,3,33.3,0,5
28,1968,1968-10-06,4,32.257,GNB,@,ATL,W 38-7,0,0,,0,1,1,100.0,,3,0.0,0,1
29,1968,1968-10-13,5,32.264,GNB,,RAM,L 14-16,,,,,2,2,100.0,,,,0,2
