ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1986,1986-09-07,1,23.301,IND,@,NWE,L 3-33,0,0,,0
2,1986,1986-09-14,2,23.308,IND,@,MIA,L 10-30,1,28,28.00,0
3,1986,1986-09-21,3,23.315,IND,,RAM,L 7-24,1,18,18.00,0
4,1986,1986-09-28,4,23.322,IND,,NYJ,L 7-26,2,0,0.00,0
5,1986,1986-11-23,12,24.013,IND,@,HOU,L 17-31,0,0,,0
6,1986,1986-11-30,13,24.020,IND,,SDG,L 3-17,0,0,,0
7,1986,1986-12-07,14,24.027,IND,@,ATL,W 28-23,0,0,,0
8,1986,1986-12-14,15,24.034,IND,,BUF,W 24-14,0,0,,0
9,1986,1986-12-21,16,24.041,IND,@,RAI,W 30-24,0,0,,0
