ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,22.246,DAL,@,HOU,L 10-19,,,,,,,,
2,2002,2002-09-15,2,22.253,DAL,,TEN,W 21-13,,,,,,,,
3,2002,2002-09-22,3,22.260,DAL,@,PHI,L 13-44,,,,,,,,
4,2002,2002-09-29,4,22.267,DAL,@,STL,W 13-10,*,,,,,,,
5,2002,2002-10-06,5,22.274,DAL,,NYG,L 17-21,*,0,0,,0,1,0,0
6,2002,2002-10-13,6,22.281,DAL,,CAR,W 14-13,*,,,,,,,
7,2002,2002-10-20,7,22.288,DAL,@,ARI,L 6-9,,,,,,,,
8,2002,2002-10-27,8,22.295,DAL,,SEA,L 14-17,,0,0,,0,1,7,0
9,2002,2002-11-03,9,22.302,DAL,@,DET,L 7-9,*,0,0,,0,2,12,0
10,2002,2002-11-17,10,22.316,DAL,@,IND,L 3-20,*,,,,,,,
11,2002,2002-11-24,11,22.323,DAL,,JAX,W 21-19,*,,,,,,,
12,2002,2002-11-28,12,22.327,DAL,,WAS,W 27-20,*,0,0,,0,1,-2,0
13,2002,2002-12-08,13,22.337,DAL,,SFO,L 27-31,*,,,,,,,
14,2002,2002-12-15,14,22.344,DAL,@,NYG,L 7-37,*,,,,,,,
15,2003,2003-10-12,5,23.280,DAL,,PHI,W 23-21,,,,,,,,
16,2003,2003-10-19,6,23.287,DAL,@,DET,W 38-7,,0,0,,0,1,0,0
17,2003,2003-10-26,7,23.294,DAL,@,TAM,L 0-16,,4,103,25.75,0,0,0,0
18,2003,2003-11-02,8,23.301,DAL,,WAS,W 21-14,,2,55,27.50,0,0,0,0
19,2003,2003-11-09,9,23.308,DAL,,BUF,W 10-6,,3,66,22.00,0,0,0,0
20,2003,2003-11-16,10,23.315,DAL,@,NWE,L 0-12,,2,33,16.50,0,0,0,0
21,2003,2003-11-23,11,23.322,DAL,,CAR,W 24-20,,2,64,32.00,0,0,0,0
22,2003,2003-11-27,12,23.326,DAL,,MIA,L 21-40,,5,113,22.60,0,0,0,0
23,2003,2003-12-14,14,23.343,ATL,@,IND,L 7-38,,,,,,,,
24,2003,2003-12-20,15,23.349,ATL,@,TAM,W 30-28,,,,,,,,
25,2004,2004-10-17,5,24.286,MIN,@,NOR,W 38-31,,1,14,14.00,0,0,0,0
26,2004,2004-10-24,6,24.293,MIN,,TEN,W 20-3,,,,,,,,
27,2004,2004-10-31,7,24.300,MIN,,NYG,L 13-34,,,,,,,,
28,2004,2004-11-08,8,24.308,MIN,@,IND,L 28-31,,1,19,19.00,0,0,0,0
29,2004,2004-11-14,9,24.314,MIN,@,GNB,L 31-34,,,,,,,,
30,2004,2004-11-28,11,24.328,MIN,,JAX,W 27-16,,,,,,,,
31,2004,2004-12-05,12,24.335,MIN,@,CHI,L 14-24,,,,,,,,
32,2004,2004-12-12,13,24.342,MIN,,SEA,L 23-27,,,,,,,,
33,2004,2004-12-19,14,24.349,MIN,@,DET,W 28-27,,,,,,,,
