ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1987,1987-10-04,3,25.161,NOR,,RAM,W 37-10,0,0,,0,0,0,,0,0,0,,0,,,
2,1987,1987-10-11,4,25.168,NOR,@,STL,L 19-24,2,14,7.00,0,1,2,50.00,5,1,0,95.8,1,6,2.50,12.50
