ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1982,1982-09-12,1,23.272,KAN,@,BUF,L 9-14,0,0,,0
2,1982,1982-09-19,2,23.279,KAN,,SDG,W 19-12,0,0,,0
3,1982,1982-11-21,3,23.342,KAN,@,NOR,L 17-27,1,0,0.00,0
4,1982,1982-11-28,4,23.349,KAN,@,RAM,L 14-20,0,0,,0
5,1982,1982-12-05,5,23.356,KAN,@,PIT,L 14-35,0,0,,0
6,1982,1982-12-12,6,23.363,KAN,,RAI,L 16-21,0,0,,0
7,1982,1982-12-19,7,24.005,KAN,@,DEN,W 37-16,0,0,,0
8,1982,1982-12-26,8,24.012,KAN,,SFO,L 13-26,0,0,,0
9,1982,1983-01-02,9,24.019,KAN,,NYJ,W 37-13,0,0,,0
10,1983,1983-09-18,3,24.278,HOU,,PIT,L 28-40,,,,
11,1983,1983-10-02,5,24.292,HOU,@,PIT,L 10-17,,,,
12,1983,1983-10-09,6,24.299,HOU,,DEN,L 14-26,,,,
13,1983,1983-10-30,9,24.320,HOU,@,CLE,L 19-25,,,,
14,1983,1983-11-06,10,24.327,HOU,,CIN,L 14-55,,,,
15,1983,1983-11-13,11,24.334,HOU,,DET,W 27-17,,,,
