ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1995,1995-11-19,11,25.013,DEN,,SDG,W 30-27,,,,,,
2,1996,1996-09-01,1,25.300,DEN,,NYJ,W 31-6,,0,0,,0,1.0
3,1996,1996-09-08,2,25.307,DEN,@,SEA,W 30-20,,,,,,
4,1996,1996-09-15,3,25.314,DEN,,TAM,W 27-23,,,,,,
5,1996,1996-09-22,4,25.321,DEN,@,KAN,L 14-17,,,,,,
6,1996,1996-09-29,5,25.328,DEN,@,CIN,W 14-10,,,,,,
7,1996,1996-10-06,6,25.335,DEN,,SDG,W 28-17,,0,0,,0,1.0
8,1996,1996-10-20,7,25.349,NWE,@,IND,W 27-9,,,,,,
9,1996,1996-10-27,8,25.356,DEN,,KAN,W 34-7,,,,,,
10,1996,1996-11-04,9,25.364,DEN,@,OAK,W 22-21,,0,0,,0,1.0
11,1996,1996-11-10,10,26.004,DEN,,CHI,W 17-12,,,,,,
12,1996,1996-11-17,11,26.011,DEN,@,NWE,W 34-8,,0,0,,0,1.0
13,1996,1996-11-24,12,26.018,DEN,@,MIN,W 21-17,,,,,,
14,1996,1996-12-01,13,26.025,DEN,,SEA,W 34-7,,,,,,
15,1996,1996-12-08,14,26.032,DEN,@,GNB,L 6-41,,,,,,
16,1996,1996-12-15,15,26.039,DEN,,OAK,W 24-19,,,,,,
17,1996,1996-12-22,16,26.046,DEN,@,SDG,L 10-16,,0,0,,0,1.0
18,1997,1997-08-31,1,26.298,DEN,,KAN,W 19-3,,0,0,,0,2.0
19,1997,1997-09-07,2,26.305,DEN,@,SEA,W 35-14,,,,,,
20,1997,1997-09-14,3,26.312,DEN,,STL,W 35-14,,,,,,
21,1997,1997-09-21,4,26.319,DEN,,CIN,W 38-20,,0,0,,0,1.0
22,1997,1997-09-28,5,26.326,DEN,@,ATL,W 29-21,,,,,,
23,1997,1997-10-06,6,26.334,DEN,,NWE,W 34-13,,0,0,,0,3.0
24,1997,1997-10-19,7,26.347,DEN,@,OAK,L 25-28,,0,0,,0,0.5
25,1997,1997-10-26,8,26.354,DEN,@,BUF,W 23-20,,,,,,
26,1997,1997-11-02,9,26.361,DEN,,SEA,W 30-27,,,,,,
27,1997,1997-11-09,10,27.003,DEN,,CAR,W 34-0,,0,0,,0,1.0
28,1997,1997-11-16,11,27.010,DEN,@,KAN,L 22-24,,0,0,,0,1.0
