ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-09-24,2,23.112,DET,@,BAL,W 16-15,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,0,0,0,0,,0
2,1961,1961-10-01,3,23.119,DET,,SFO,L 0-49,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
3,1961,1961-10-08,4,23.126,DET,,CHI,L 17-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,118,59.00,1,0,0,,0,1,6,0,0,,0
4,1961,1961-10-22,6,23.140,DET,,BAL,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,109,36.33,0,0,0,,0,0,0,0,0,,0
5,1961,1961-10-29,7,23.147,DET,@,RAM,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,0,0,,0,0,0,0,0,,0
6,1961,1961-11-05,8,23.154,DET,@,SFO,T 20-20,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0,,0,0,0,0,0,,0
7,1961,1961-11-12,9,23.161,DET,@,STL,W 45-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,2,16,8.00,0,0,0,0,0,,0
8,1961,1961-11-19,10,23.168,DET,@,MIN,W 37-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,1,26,26.00,0,0,0,0,0,,0
9,1961,1961-11-23,11,23.172,DET,,GNB,L 9-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,,0
10,1961,1961-12-03,12,23.182,DET,@,CHI,W 16-15,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,4,29,7.25,0,0,0,1,32,32.00,0
11,1961,1961-12-10,13,23.189,DET,,MIN,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,12,12.00,0,0,0,,0,0,0,0,0,,0
12,1961,1961-12-17,14,23.196,DET,,PHI,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,0,0,,0,0,0,0,0,,0
13,1962,1962-09-16,1,24.104,DET,,PIT,W 45-7,1,9,9.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,59,59.00,0,3,55,18.33,0,1,6,0,0,,0
14,1962,1962-09-23,2,24.111,DET,,SFO,W 45-24,1,1,1.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,79,26.33,0,2,15,7.50,0,1,6,0,0,,0
15,1962,1962-09-30,3,24.118,DET,@,BAL,W 29-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,93,31.00,0,1,9,9.00,0,0,0,0,0,,0
