ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-11-04,9,22.272,SEA,,MIN,W 30-20,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
2,2012,2012-11-11,10,22.279,SEA,,NYJ,W 28-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2012,2012-11-25,11,22.293,SEA,@,MIA,L 21-24,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
4,2012,2012-12-09,13,22.307,SEA,,ARI,W 58-0,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
5,2012,2012-12-16,14,22.314,SEA,@,BUF,W 50-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
6,2012,2012-12-23,15,22.321,SEA,,SFO,W 42-13,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
7,2012,2012-12-30,16,22.328,SEA,,STL,W 20-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,2013-09-08,1,23.214,SEA,@,CAR,W 12-7,,2,2,49,24.50,1,100.0%,24.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
9,2013,2013-09-15,2,23.221,SEA,,SFO,W 29-3,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2013,2013-09-22,3,23.228,SEA,,JAX,W 45-17,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,,0,0,0.0,0,0
11,2013,2013-09-29,4,23.235,SEA,@,HOU,W 23-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,,0,0,0.0,1,0
12,2013,2013-10-06,5,23.242,SEA,@,IND,L 28-34,,1,1,28,28.00,1,100.0%,28.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,1,1,8,0.0,0,0
13,2013,2013-10-13,6,23.249,SEA,,TEN,W 20-13,,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,3,95,31.67,0,,0,0,0.0,0,0
14,2013,2013-10-17,7,23.253,SEA,@,ARI,W 34-22,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,2,18,9.00,0,,0,0,0.0,0,0
15,2013,2013-10-28,8,23.264,SEA,@,STL,W 14-9,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
16,2013,2013-11-03,9,23.270,SEA,,TAM,W 27-24,,2,2,43,21.50,1,100.0%,21.50,0,0,,0,0,0,,0,0,0,,0,0,,,3,56,18.67,0,,1,6,0.0,1,1
17,2013,2013-11-10,10,23.277,SEA,@,ATL,W 33-10,,4,3,75,25.00,1,75.0%,18.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,,1,6,0.0,2,0
18,2013,2013-11-17,11,23.284,SEA,,MIN,W 41-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,,0,0,0.0,0,0
19,2013,2013-12-02,12,23.299,SEA,,NOR,W 34-7,*,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
20,2013,2013-12-08,13,23.305,SEA,@,SFO,L 17-19,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
21,2013,2013-12-15,14,23.312,SEA,@,NYG,W 23-0,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,2,0
22,2013,2013-12-22,15,23.319,SEA,,ARI,L 10-17,,7,3,38,12.67,0,42.9%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
23,2014,2014-09-04,1,24.210,SEA,,GNB,W 36-16,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
24,2014,2014-09-14,2,24.220,SEA,@,SDG,L 21-30,*,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
25,2014,2014-09-21,3,24.227,SEA,,DEN,W 26-20,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0,,0,0,0.0,0,0
26,2014,2014-10-06,4,24.242,SEA,@,WAS,W 27-17,*,2,1,15,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
27,2014,2014-10-12,5,24.248,SEA,,DAL,L 23-30,*,7,3,62,20.67,0,42.9%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
28,2014,2014-10-19,6,24.255,SEA,@,STL,L 26-28,*,7,3,50,16.67,0,42.9%,7.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
29,2014,2014-10-26,7,24.262,SEA,@,CAR,W 13-9,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
30,2014,2014-11-02,8,24.269,SEA,,OAK,W 30-24,*,7,1,4,4.00,0,14.3%,0.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
31,2014,2014-11-09,9,24.276,SEA,,NYG,W 38-17,*,4,3,70,23.33,0,75.0%,17.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
32,2014,2014-11-16,10,24.283,SEA,@,KAN,L 20-24,*,9,5,54,10.80,0,55.6%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
33,2014,2014-11-23,11,24.290,SEA,,ARI,W 19-3,*,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
34,2014,2014-11-27,12,24.294,SEA,@,SFO,W 19-3,*,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
35,2014,2014-12-07,13,24.304,SEA,@,PHI,W 24-14,*,7,3,37,12.33,0,42.9%,5.29,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
36,2014,2014-12-14,14,24.311,SEA,,SFO,W 17-7,*,6,5,78,15.60,0,83.3%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
37,2014,2014-12-21,15,24.318,SEA,@,ARI,W 35-6,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
38,2015,2015-09-13,1,25.219,SEA,@,STL,L 31-34,*,10,8,76,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
39,2015,2015-09-20,2,25.226,SEA,@,GNB,L 17-27,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
40,2015,2015-09-27,3,25.233,SEA,,CHI,W 26-0,*,6,6,76,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
41,2015,2015-10-05,4,25.241,SEA,,DET,W 13-10,*,2,2,84,42.00,0,100.0%,42.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
42,2015,2015-10-11,5,25.247,SEA,@,CIN,L 24-27,*,3,2,38,19.00,1,66.7%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
43,2015,2015-10-18,6,25.254,SEA,,CAR,L 23-27,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
44,2015,2015-10-22,7,25.258,SEA,@,SFO,W 20-3,*,4,3,64,21.33,0,75.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
45,2015,2015-11-01,8,25.268,SEA,@,DAL,W 13-12,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
46,2015,2015-11-15,9,25.282,SEA,,ARI,L 32-39,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
47,2015,2015-11-22,10,25.289,SEA,,SFO,W 29-13,*,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
48,2015,2015-11-29,11,25.296,SEA,,PIT,W 39-30,*,5,4,47,11.75,2,80.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
49,2015,2015-12-06,12,25.303,SEA,@,MIN,W 38-7,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
50,2015,2015-12-13,13,25.310,SEA,@,BAL,W 35-6,*,8,7,74,10.57,0,87.5%,9.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
51,2015,2015-12-20,14,25.317,SEA,,CLE,W 30-13,*,8,7,110,15.71,0,87.5%,13.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
52,2015,2015-12-27,15,25.324,SEA,,STL,L 17-23,*,5,3,38,12.67,1,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
53,2015,2016-01-03,16,25.331,SEA,@,ARI,W 36-6,*,3,3,34,11.33,1,100.0%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
54,2016,2016-09-11,1,26.218,SEA,,MIA,W 12-10,*,7,5,57,11.40,0,71.4%,8.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
55,2016,2016-09-18,2,26.225,SEA,@,LAR,L 3-9,,6,2,11,5.50,0,33.3%,1.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
56,2016,2016-09-25,3,26.232,SEA,,SFO,W 37-18,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
57,2016,2016-10-02,4,26.239,SEA,@,NYJ,W 27-17,*,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
58,2016,2016-10-16,5,26.253,SEA,,ATL,W 26-24,*,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
59,2016,2016-10-23,6,26.260,SEA,@,ARI,T 6-6,*,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
60,2016,2016-10-30,7,26.267,SEA,@,NOR,L 20-25,*,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
61,2016,2016-11-07,8,26.275,SEA,,BUF,W 31-25,*,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
62,2016,2016-11-13,9,26.281,SEA,@,NWE,W 31-24,*,7,2,26,13.00,0,28.6%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
63,2016,2016-11-20,10,26.288,SEA,,PHI,W 26-15,*,6,2,29,14.50,0,33.3%,4.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
64,2016,2016-11-27,11,26.295,SEA,@,TAM,L 5-14,*,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
65,2016,2016-12-04,12,26.302,SEA,,CAR,W 40-7,*,9,5,68,13.60,0,55.6%,7.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
66,2016,2016-12-11,13,26.309,SEA,@,GNB,L 10-38,*,6,1,7,7.00,0,16.7%,1.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
67,2016,2016-12-15,14,26.313,SEA,,LAR,W 24-3,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
68,2016,2016-12-24,15,26.322,SEA,,ARI,L 31-34,*,9,4,37,9.25,1,44.4%,4.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
69,2016,2017-01-01,16,26.330,SEA,@,SFO,W 25-23,*,7,2,44,22.00,0,28.6%,6.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
70,2017,2017-09-10,1,27.216,NYJ,@,BUF,L 12-21,*,9,7,59,8.43,0,77.8%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
71,2017,2017-09-17,2,27.223,NYJ,@,OAK,L 20-45,*,5,4,64,16.00,2,80.0%,12.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
72,2017,2017-09-24,3,27.230,NYJ,,MIA,W 20-6,*,3,3,42,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
73,2017,2017-10-01,4,27.237,NYJ,,JAX,W 23-20,*,7,4,17,4.25,0,57.1%,2.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
74,2017,2017-10-08,5,27.244,NYJ,@,CLE,W 17-14,*,4,4,38,9.50,1,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
75,2017,2017-10-15,6,27.251,NYJ,,NWE,L 17-24,*,4,4,79,19.75,0,100.0%,19.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
76,2017,2017-10-22,7,27.258,NYJ,@,MIA,L 28-31,*,4,1,29,29.00,1,25.0%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
77,2017,2017-10-29,8,27.265,NYJ,,ATL,L 20-25,*,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
78,2017,2017-11-02,9,27.269,NYJ,,BUF,W 34-21,*,6,2,38,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
79,2017,2017-11-12,10,27.279,NYJ,@,TAM,L 10-15,*,8,4,35,8.75,0,50.0%,4.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
80,2017,2017-11-26,11,27.293,NYJ,,CAR,L 27-35,,11,7,105,15.00,1,63.6%,9.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
81,2017,2017-12-03,12,27.300,NYJ,,KAN,W 38-31,*,10,9,157,17.44,0,90.0%,15.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
82,2017,2017-12-10,13,27.307,NYJ,@,DEN,L 0-23,*,6,1,4,4.00,0,16.7%,0.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
83,2017,2017-12-17,14,27.314,NYJ,@,NOR,L 19-31,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
84,2017,2017-12-24,15,27.321,NYJ,,LAC,L 7-14,*,8,5,42,8.40,0,62.5%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
