ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2017,2017-09-17,2,22.333,ARI,@,IND,W 16-13,,2,1,15,15.00,0,50.0%,7.50,0,0,,0
2,2017,2017-09-25,3,22.341,ARI,,DAL,L 17-28,,1,1,8,8.00,0,100.0%,8.00,0,0,,0
3,2017,2017-11-26,11,23.038,ARI,,JAX,W 27-24,*,3,1,8,8.00,0,33.3%,2.67,1,0,0.00,0
4,2017,2017-12-03,12,23.045,ARI,,LAR,L 16-32,,1,0,0,,0,0.0%,0.00,0,0,,0
5,2017,2017-12-10,13,23.052,ARI,,TEN,W 12-7,,0,0,0,,0,0.0%,,1,33,33.00,0
6,2017,2017-12-17,14,23.059,ARI,@,WAS,L 15-20,,0,0,0,,0,0.0%,,0,0,,0
7,2018,2018-09-09,1,23.325,ARI,,WAS,L 6-24,,3,0,0,,0,0.0%,0.00,0,0,,0
8,2018,2018-09-16,2,23.332,ARI,@,LAR,L 0-34,*,3,0,0,,0,0.0%,0.00,0,0,,0
9,2018,2018-09-23,3,23.339,ARI,,CHI,L 14-16,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0
