ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,22.153,HOU,,RAI,L 14-24,1,9,9.00,0,0,0,,0
2,1984,1984-09-09,2,22.160,HOU,,IND,L 21-35,0,0,,0,0,0,,0
3,1984,1984-09-16,3,22.167,HOU,@,SDG,L 14-31,1,-1,-1.00,0,0,0,,0
4,1984,1984-10-07,6,22.188,HOU,@,CIN,L 3-13,0,0,,0,0,0,,0
5,1984,1984-10-14,7,22.195,HOU,@,MIA,L 10-28,4,3,0.75,0,0,0,,0
6,1984,1984-11-11,11,22.223,HOU,@,KAN,W 17-16,0,0,,0,0,0,,0
7,1984,1984-11-18,12,22.230,HOU,,NYJ,W 31-20,0,0,,0,0,0,,0
8,1984,1984-11-25,13,22.237,HOU,@,CLE,L 10-27,3,4,1.33,0,0,0,,0
9,1984,1984-12-02,14,22.244,HOU,,PIT,W 23-20,5,7,1.40,0,0,0,,0
10,1984,1984-12-16,16,22.258,HOU,,CLE,L 20-27,0,0,,0,3,57,19.00,0
