ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2017,2017-09-10,1,23.336,SFO,,CAR,L 3-23,*,6,5,27,5.40,0,83.3%,4.50,,0,0
2,2017,2017-09-17,2,23.343,SFO,@,SEA,L 9-12,*,2,2,13,6.50,0,100.0%,6.50,,0,0
3,2017,2017-09-21,3,23.347,SFO,,LAR,L 39-41,,3,1,8,8.00,0,33.3%,2.67,,0,0
4,2017,2017-10-01,4,23.357,SFO,@,ARI,L 15-18,,3,2,35,17.50,0,66.7%,11.67,,0,0
5,2017,2017-10-08,5,23.364,SFO,@,IND,L 23-26,*,9,7,83,11.86,1,77.8%,9.22,,1,6
6,2017,2017-10-15,6,24.006,SFO,@,WAS,L 24-26,*,8,4,46,11.50,0,50.0%,5.75,,0,0
7,2017,2017-10-22,7,24.013,SFO,,DAL,L 10-40,*,2,1,16,16.00,0,50.0%,8.00,,0,0
8,2017,2017-10-29,8,24.020,SFO,@,PHI,L 10-33,*,4,2,22,11.00,0,50.0%,5.50,,0,0
9,2017,2017-11-05,9,24.027,SFO,,ARI,L 10-20,*,5,3,27,9.00,0,60.0%,5.40,,0,0
10,2017,2017-11-26,11,24.048,SFO,,SEA,L 13-24,,2,1,14,14.00,0,50.0%,7.00,,0,0
11,2017,2017-12-03,12,24.055,SFO,@,CHI,W 15-14,,3,2,20,10.00,0,66.7%,6.67,,0,0
12,2017,2017-12-10,13,24.062,SFO,@,HOU,W 26-16,,2,2,10,5.00,0,100.0%,5.00,,0,0
13,2017,2017-12-17,14,24.069,SFO,,TEN,W 25-23,,5,4,52,13.00,0,80.0%,10.40,,0,0
14,2017,2017-12-24,15,24.076,SFO,,JAX,W 44-33,,3,3,42,14.00,1,100.0%,14.00,,1,6
15,2017,2017-12-31,16,24.083,SFO,@,LAR,W 34-13,,6,4,100,25.00,0,66.7%,16.67,,0,0
16,2018,2018-09-09,1,24.335,SFO,@,MIN,L 16-24,*,9,5,90,18.00,0,55.6%,10.00,,0,0
17,2018,2018-09-16,2,24.342,SFO,,DET,W 30-27,*,4,2,22,11.00,0,50.0%,5.50,,0,0
18,2018,2018-09-23,3,24.349,SFO,@,KAN,L 27-38,*,7,5,79,15.80,0,71.4%,11.29,1,0,2
