ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1989,1989-09-10,1,24.238,DEN,,KAN,W 34-20,8,35,4.38,0,,3,35,11.67,0,,,0,0
2,1989,1989-09-18,2,24.246,DEN,@,BUF,W 28-14,4,12,3.00,0,,4,40,10.00,0,,,0,0
3,1989,1989-09-24,3,24.252,DEN,,RAI,W 31-21,8,23,2.88,1,,0,0,,0,,,1,6
4,1989,1989-10-01,4,24.259,DEN,@,CLE,L 13-16,5,17,3.40,0,,0,0,,0,,,0,0
5,1989,1989-10-08,5,24.266,DEN,,SDG,W 16-10,1,2,2.00,0,,0,0,,0,,,0,0
6,1989,1989-10-15,6,24.273,DEN,,IND,W 14-3,5,25,5.00,0,,0,0,,0,,,0,0
7,1989,1989-10-22,7,24.280,DEN,@,SEA,W 24-21,1,2,2.00,0,,0,0,,0,,,0,0
8,1989,1989-11-12,10,24.301,DEN,@,KAN,W 16-13,2,3,1.50,0,,0,0,,0,,,0,0
9,1989,1989-11-20,11,24.309,DEN,@,WAS,W 14-10,1,3,3.00,0,,0,0,,0,,,0,0
10,1989,1989-11-26,12,24.315,DEN,,SEA,W 41-14,2,10,5.00,0,,0,0,,0,,,0,0
11,1989,1989-12-03,13,24.322,DEN,@,RAI,L 13-16,2,5,2.50,0,,0,0,,0,,,0,0
12,1989,1989-12-10,14,24.329,DEN,,NYG,L 7-14,0,0,,0,,0,0,,0,,,0,
13,1989,1989-12-16,15,24.335,DEN,@,PHO,W 37-0,4,8,2.00,0,,0,0,,0,,,0,0
14,1989,1989-12-24,16,24.343,DEN,@,SDG,L 16-19,2,1,0.50,1,,1,9,9.00,0,,,1,6
15,1992,1992-09-27,4,27.256,DEN,@,CLE,W 12-0,,,,,,,,,,0.0%,,,
16,1992,1992-10-12,6,27.271,DEN,@,WAS,L 3-34,,,,,,,,,,0.0%,,,
17,1992,1992-11-30,12,27.320,DEN,@,SEA,L 13-16,,,,,,,,,,0.0%,,,
18,1992,1992-12-06,13,27.326,DEN,,DAL,L 27-31,,,,,,,,,,0.0%,,,
19,1992,1992-12-12,14,27.332,DEN,@,BUF,L 17-27,,,,,,,,,,0.0%,,,
20,1992,1992-12-20,15,27.340,DEN,,SEA,W 10-6,,,,,,,,,,0.0%,,,
21,1992,1992-12-27,16,27.347,DEN,@,KAN,L 20-42,,,,,,,,,,0.0%,,,
