ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2004,2004-09-09,1,23.166,IND,@,NWE,L 24-27,,,,,,,,,,,0.0%,,,,,,,,
2,2007,2007-09-09,1,26.166,PIT,@,CLE,W 34-7,*,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0.0,,
3,2007,2007-09-16,2,26.173,PIT,,BUF,W 26-3,,1,4,4.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0.0,,
4,2007,2007-09-23,3,26.180,PIT,,SFO,W 37-16,*,0,0,,0,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0.0,,
5,2007,2007-09-30,4,26.187,PIT,@,ARI,L 14-21,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,,
6,2007,2007-10-07,5,26.194,PIT,,SEA,W 21-0,*,2,1,0.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,,
7,2007,2007-10-21,6,26.208,PIT,@,DEN,L 28-31,,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,,
8,2007,2007-10-28,7,26.215,PIT,@,CIN,W 24-13,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,,
9,2007,2007-11-05,8,26.223,PIT,,BAL,W 38-7,,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,,0,0.0,,
10,2007,2007-11-11,9,26.229,PIT,,CLE,W 31-28,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
11,2007,2007-11-18,10,26.236,PIT,@,NYJ,L 16-19,,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,,
12,2007,2007-11-26,11,26.244,PIT,,MIA,W 3-0,,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,,
13,2007,2007-12-02,12,26.250,PIT,,CIN,W 24-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,,
14,2007,2007-12-09,13,26.257,PIT,@,NWE,L 13-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,,
15,2007,2007-12-16,14,26.264,PIT,,JAX,L 22-29,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,,
16,2007,2007-12-20,15,26.268,PIT,@,STL,W 41-24,*,6,28,4.67,0,2,2,0,0.00,0,100.0%,0.00,0,0,,0,0.0,,
17,2007,2007-12-30,16,26.278,PIT,@,BAL,L 21-27,,0,0,,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0.0,,
18,2008,2008-09-07,1,27.164,PIT,,HOU,W 38-17,*,0,0,,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0.0,0,0
19,2008,2008-09-14,2,27.171,PIT,@,CLE,W 10-6,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
20,2008,2008-09-21,3,27.178,PIT,@,PHI,L 6-15,,1,1,1.00,0,0,0,0,,0,0.0%,,1,24,24.00,0,0.0,0,0
21,2008,2008-09-29,4,27.186,PIT,,BAL,W 23-20,,8,15,1.88,0,1,1,-1,-1.00,0,100.0%,-1.00,1,16,16.00,0,0.0,0,0
22,2008,2008-10-26,7,27.213,PIT,,NYG,L 14-21,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,1,18,18.00,0,0.0,0,0
23,2008,2008-11-03,8,27.221,PIT,@,WAS,W 23-6,*,,,,,,,,,,0.0%,,,,,,,,
24,2008,2008-11-09,9,27.227,PIT,,IND,L 20-24,*,,,,,,,,,,0.0%,,,,,,,,
25,2008,2008-11-16,10,27.234,PIT,,SDG,W 11-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
26,2008,2008-11-20,11,27.238,PIT,,CIN,W 27-10,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
27,2008,2008-11-30,12,27.248,PIT,@,NWE,W 33-10,,0,0,,0,0,0,0,,0,0.0%,,2,34,17.00,0,0.0,0,1
28,2008,2008-12-07,13,27.255,PIT,,DAL,W 20-13,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0.0,0,0
