ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,22.295,MIA,@,DEN,T 10-10,,,,,,,,,
2,1971,1971-09-26,2,22.302,MIA,@,BUF,W 29-14,,,,,,,,,
3,1971,1971-10-03,3,22.309,MIA,,NYJ,L 10-14,,,,,,,,,
4,1971,1971-10-10,4,22.316,MIA,@,CIN,W 23-13,,,,,,,,,
5,1971,1971-10-17,5,22.323,MIA,,NWE,W 41-3,,,,,,,,,
6,1971,1971-10-24,6,22.330,MIA,@,NYJ,W 30-14,,,,,,,,,
7,1971,1971-10-31,7,22.337,MIA,@,RAM,W 20-14,,,,,,,,,
8,1971,1971-11-07,8,22.344,MIA,,BUF,W 34-0,,,,,,,,,
9,1971,1971-11-14,9,22.351,MIA,,PIT,W 24-21,,,,,,,,,
10,1971,1971-11-21,10,22.358,MIA,,BAL,W 17-14,,,,,,,,,
11,1971,1971-11-29,11,23.001,MIA,,CHI,W 34-3,,,,,,,,,
12,1971,1971-12-05,12,23.007,MIA,@,NWE,L 13-34,,,,,,,,,
13,1971,1971-12-11,13,23.013,MIA,@,BAL,L 3-14,,,,,,,,,
14,1971,1971-12-19,14,23.021,MIA,,GNB,W 27-6,,,,,,,,,
15,1972,1972-09-17,1,23.294,MIA,@,KAN,W 20-10,,,,,,,,,
16,1972,1972-09-24,2,23.301,MIA,,HOU,W 34-13,,,,,,,,,
17,1972,1972-10-01,3,23.308,MIA,@,MIN,W 16-14,,,,,,,,,
18,1972,1972-10-08,4,23.315,MIA,@,NYJ,W 27-17,,,,,,,,,
19,1972,1972-10-15,5,23.322,MIA,,SDG,W 24-10,,,,,,,,,
20,1972,1972-10-22,6,23.329,MIA,,BUF,W 24-23,,,,,,,,,
21,1972,1972-10-29,7,23.336,MIA,@,BAL,W 23-0,,,,,,,,,
22,1972,1972-11-05,8,23.343,MIA,@,BUF,W 30-16,,,,,,,,,
23,1972,1972-11-12,9,23.350,MIA,,NWE,W 52-0,,,,,,,,,
24,1972,1972-11-19,10,23.357,MIA,,NYJ,W 28-24,,,,,,,,,
25,1972,1972-11-27,11,23.365,MIA,,STL,W 31-10,,,,,,,,,
26,1972,1972-12-03,12,24.005,MIA,@,NWE,W 37-21,0,0,,0,0,0,1,24,0
27,1972,1972-12-10,13,24.012,MIA,@,NYG,W 23-13,,,,,,,,,
