ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2015,2015-10-11,5,24.121,DAL,,NWE,L 6-30,,0,0,,0,0,0,,0,0,0
2,2016,2016-11-20,10,25.161,DAL,,BAL,W 27-17,,0,0,,0,0,0,,0,0,0
3,2016,2016-11-24,11,25.165,DAL,,WAS,W 31-26,,0,0,,0,0,0,,0,0,0
4,2016,2016-12-01,12,25.172,DAL,@,MIN,W 17-15,,0,0,,0,0,0,,0,0,0
5,2016,2016-12-11,13,25.182,DAL,@,NYG,L 7-10,,0,0,,0,0,0,,0,0,0
6,2016,2016-12-18,14,25.189,DAL,,TAM,W 26-20,,0,0,,0,0,0,,0,0,0
7,2016,2016-12-26,15,25.197,DAL,,DET,W 42-21,,0,0,,0,0,0,,0,0,0
8,2017,2017-09-10,1,26.090,BAL,@,CIN,W 20-0,,0,0,,0,0,0,,0,0,0
9,2017,2017-09-17,2,26.097,BAL,,CLE,W 24-10,,0,0,,0,0,0,,0,0,0
10,2017,2017-09-24,3,26.104,BAL,@,JAX,L 7-44,,0,0,,0,0,0,,0,0,0
11,2017,2017-10-01,4,26.111,BAL,,PIT,L 9-26,,0,0,,0,0,0,,0,0,0
12,2017,2017-10-08,5,26.118,BAL,@,OAK,W 30-17,,1,2,2.00,1,0,0,,0,1,6
13,2017,2017-10-15,6,26.125,BAL,,CHI,L 24-27,,0,0,,0,0,0,,0,0,0
14,2017,2017-10-22,7,26.132,BAL,@,MIN,L 16-24,,1,0,0.00,0,1,14,14.00,0,0,0
15,2017,2017-10-26,8,26.136,BAL,,MIA,W 40-0,,0,0,,0,0,0,,0,0,0
16,2017,2017-11-05,9,26.146,BAL,@,TEN,L 20-23,,0,0,,0,0,0,,0,0,0
17,2017,2017-11-19,10,26.160,BAL,@,GNB,W 23-0,,0,0,,0,0,0,,0,0,0
18,2017,2017-11-27,11,26.168,BAL,,HOU,W 23-16,,0,0,,0,0,0,,0,0,0
19,2017,2017-12-03,12,26.174,BAL,,DET,W 44-20,,0,0,,0,1,29,29.00,0,0,0
20,2017,2017-12-10,13,26.181,BAL,@,PIT,L 38-39,,0,0,,0,0,0,,0,0,0
21,2017,2017-12-17,14,26.188,BAL,@,CLE,W 27-10,,0,0,,0,0,0,,0,0,0
22,2017,2017-12-23,15,26.194,BAL,,IND,W 23-16,,0,0,,0,0,0,,0,0,0
23,2017,2017-12-31,16,26.202,BAL,,CIN,L 27-31,,0,0,,0,0,0,,0,0,0
