ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,24.203,OAK,,CIN,L 13-33,,6,3,12,4.00,0,50.0%,2.00,0,0,,0,,0,0
2,2015,2015-09-20,2,24.210,OAK,,BAL,W 37-33,,1,1,12,12.00,1,100.0%,12.00,0,0,,0,,1,6
3,2015,2015-09-27,3,24.217,OAK,@,CLE,W 27-20,,5,3,56,18.67,1,60.0%,11.20,0,0,,0,,1,6
4,2015,2015-10-04,4,24.224,OAK,@,CHI,L 20-22,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0
5,2015,2015-10-11,5,24.231,OAK,,DEN,L 10-16,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0
6,2015,2015-10-25,6,24.245,OAK,@,SDG,W 37-29,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0
7,2015,2015-11-01,7,24.252,OAK,,NYJ,W 34-20,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0
8,2015,2015-11-08,8,24.259,OAK,@,PIT,L 35-38,*,4,3,73,24.33,0,75.0%,18.25,0,0,,0,,0,0
9,2015,2015-11-15,9,24.266,OAK,,MIN,L 14-30,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,,0,0
10,2015,2015-11-22,10,24.273,OAK,@,DET,L 13-18,*,2,2,54,27.00,0,100.0%,27.00,2,47,23.50,0,,0,0
11,2015,2015-11-29,11,24.280,OAK,@,TEN,W 24-21,*,7,6,113,18.83,2,85.7%,16.14,0,0,,0,,2,12
12,2015,2015-12-06,12,24.287,OAK,,KAN,L 20-34,,5,4,51,12.75,0,80.0%,10.20,0,0,,0,,0,0
13,2015,2015-12-13,13,24.294,OAK,@,DEN,W 15-12,*,4,2,20,10.00,1,50.0%,5.00,0,0,,0,,1,6
14,2015,2015-12-20,14,24.301,OAK,,GNB,L 20-30,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
15,2015,2015-12-24,15,24.305,OAK,,SDG,W 23-20,,6,2,37,18.50,0,33.3%,6.17,0,0,,0,1,0,2
16,2015,2016-01-03,16,24.315,OAK,@,KAN,L 17-23,,3,3,20,6.67,0,100.0%,6.67,0,0,,0,,0,0
17,2016,2016-09-11,1,25.202,OAK,@,NOR,W 35-34,,4,2,19,9.50,1,50.0%,4.75,0,0,,0,,1,6
18,2016,2016-09-18,2,25.209,OAK,,ATL,L 28-35,,6,3,25,8.33,0,50.0%,4.17,0,0,,0,,0,0
19,2016,2016-09-25,3,25.216,OAK,@,TEN,W 17-10,*,6,2,27,13.50,1,33.3%,4.50,0,0,,0,,1,6
20,2016,2016-10-02,4,25.223,OAK,@,BAL,W 28-27,,3,3,12,4.00,1,100.0%,4.00,0,0,,0,,1,6
21,2016,2016-10-09,5,25.230,OAK,,SDG,W 34-31,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0
22,2016,2016-10-16,6,25.237,OAK,,KAN,L 10-26,,6,3,29,9.67,0,50.0%,4.83,0,0,,0,,0,0
23,2016,2016-10-23,7,25.244,OAK,@,JAX,W 33-16,,9,4,42,10.50,0,44.4%,4.67,0,0,,0,,0,0
24,2016,2016-10-30,8,25.251,OAK,@,TAM,W 30-24,,7,3,69,23.00,1,42.9%,9.86,0,0,,0,,1,6
25,2016,2016-11-06,9,25.258,OAK,,DEN,W 30-20,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,,0,0
26,2016,2016-11-21,10,25.273,OAK,,HOU,W 27-20,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0
27,2016,2016-11-27,11,25.279,OAK,,CAR,W 35-32,*,4,3,31,10.33,1,75.0%,7.75,0,0,,0,1,1,8
28,2016,2016-12-04,12,25.286,OAK,,BUF,W 38-24,,5,2,18,9.00,0,40.0%,3.60,0,0,,0,1,0,2
29,2016,2016-12-08,13,25.290,OAK,@,KAN,L 13-21,*,9,2,12,6.00,0,22.2%,1.33,0,0,,0,,0,0
30,2016,2016-12-18,14,25.300,OAK,@,SDG,W 19-16,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,,0,0
31,2016,2016-12-24,15,25.306,OAK,,IND,W 33-25,,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0
32,2016,2017-01-01,16,25.314,OAK,@,DEN,L 6-24,,3,3,26,8.67,0,100.0%,8.67,0,0,,0,,0,0
33,2017,2017-09-10,1,26.200,OAK,@,TEN,W 26-16,,1,1,19,19.00,1,100.0%,19.00,0,0,,0,,1,6
34,2017,2017-09-17,2,26.207,OAK,,NYJ,W 45-20,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
35,2017,2017-09-24,3,26.214,OAK,@,WAS,L 10-27,,5,4,20,5.00,0,80.0%,4.00,0,0,,0,,0,0
36,2017,2017-10-01,4,26.221,OAK,@,DEN,L 10-16,*,5,4,49,12.25,0,80.0%,9.80,0,0,,0,,0,0
37,2017,2017-10-08,5,26.228,OAK,,BAL,L 17-30,*,4,2,34,17.00,0,50.0%,8.50,0,0,,0,,0,0
38,2017,2017-10-15,6,26.235,OAK,,LAC,L 16-17,*,3,3,35,11.67,0,100.0%,11.67,0,0,,0,,0,0
39,2017,2017-10-19,7,26.239,OAK,,KAN,W 31-30,*,6,1,15,15.00,0,16.7%,2.50,0,0,,0,,0,0
40,2017,2017-11-05,9,26.256,OAK,@,MIA,W 27-24,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,,0,0
41,2017,2017-11-19,10,26.270,OAK,,NWE,L 8-33,*,9,5,36,7.20,0,55.6%,4.00,0,0,,0,,0,0
42,2017,2017-11-26,11,26.277,OAK,,DEN,W 21-14,*,3,2,26,13.00,0,66.7%,8.67,0,0,,0,,0,0
43,2017,2017-12-03,12,26.284,OAK,,NYG,W 24-17,*,6,5,46,9.20,0,83.3%,7.67,0,0,,0,,0,0
44,2017,2017-12-10,13,26.291,OAK,@,KAN,L 15-26,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,,0,0
45,2017,2017-12-17,14,26.298,OAK,,DAL,L 17-20,,5,3,52,17.33,0,60.0%,10.40,0,0,,0,,0,0
46,2017,2017-12-25,15,26.306,OAK,@,PHI,L 10-19,,6,3,23,7.67,0,50.0%,3.83,0,0,,0,,0,0
47,2017,2017-12-31,16,26.312,OAK,@,LAC,L 10-30,,6,5,48,9.60,0,83.3%,8.00,0,0,,0,,0,0
48,2018,2018-09-10,1,27.200,OAK,,LAR,L 13-33,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0
49,2018,2018-09-16,2,27.206,OAK,@,DEN,L 19-20,,4,3,43,14.33,1,75.0%,10.75,0,0,,0,,1,6
