ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.179,PIT,,ATL,W 15-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,,0,0,0.0,0,2
2,2010,2010-10-17,5,23.214,PIT,,CLE,W 28-10,,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0,,0,,0,0,0.0,0,0
3,2010,2010-10-24,6,23.221,PIT,@,MIA,W 23-22,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,5,144,28.80,0,0,0,,0,,0,0,0.0,0,0
4,2010,2010-10-31,7,23.228,PIT,@,NOR,L 10-20,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,3,98,32.67,0,1,38,38.00,0,,0,0,0.0,0,0
5,2010,2010-11-08,8,23.236,PIT,@,CIN,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,88,22.00,0,1,0,0.00,0,,0,0,0.0,0,0
6,2010,2010-11-14,9,23.242,PIT,,NWE,L 26-39,,9,5,41,8.20,1,55.6%,4.56,0,0,,0,0,0,,0,0,0,,,,,,6,156,26.00,0,2,22,11.00,0,,1,6,0.0,0,0
7,2010,2010-11-21,10,23.249,PIT,,OAK,W 35-3,,4,2,35,17.50,1,50.0%,8.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
8,2010,2010-11-28,11,23.256,PIT,@,BUF,W 19-16,,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,4,81,20.25,0,0,0,,0,,0,0,0.0,0,1
9,2010,2010-12-05,12,23.263,PIT,@,BAL,W 13-10,,6,3,49,16.33,0,50.0%,8.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2010,2010-12-12,13,23.270,PIT,,CIN,W 23-7,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2010,2010-12-19,14,23.277,PIT,,NYJ,L 17-22,,13,7,78,11.14,0,53.8%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,1
12,2010,2010-12-23,15,23.281,PIT,,CAR,W 27-3,,5,4,54,13.50,0,80.0%,10.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2010,2011-01-02,16,23.291,PIT,@,CLE,W 41-9,*,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2011,2011-09-11,1,24.178,PIT,@,BAL,L 7-35,,3,2,20,10.00,1,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
15,2011,2011-09-18,2,24.185,PIT,,SEA,W 24-0,,3,2,44,22.00,0,66.7%,14.67,0,0,,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0
16,2011,2011-09-25,3,24.192,PIT,@,IND,W 23-20,,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,1
17,2011,2011-10-02,4,24.199,PIT,@,HOU,L 10-17,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0
18,2011,2011-10-09,5,24.206,PIT,,TEN,W 38-17,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2011,2011-10-16,6,24.213,PIT,,JAX,W 17-13,,4,1,32,32.00,0,25.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,4,,0,,0,0,0.0,0,0
20,2011,2011-10-23,7,24.220,PIT,@,ARI,W 32-20,,7,5,46,9.20,1,71.4%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
21,2011,2011-10-30,8,24.227,PIT,,NWE,W 25-17,,8,5,70,14.00,0,62.5%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
22,2011,2011-11-27,11,24.255,PIT,@,KAN,W 13-9,,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,4,77,19.25,0,0,0,,0,,0,0,0.0,0,0
23,2011,2011-12-04,12,24.262,PIT,,CIN,W 35-7,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0
