ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1993,1993-09-05,1,22.353,DEN,@,NYJ,W 26-20,,,,,,0.0%,
2,1993,1993-09-12,2,22.360,DEN,,SDG,W 34-17,,,,,,0.0%,
3,1993,1993-09-20,3,23.003,DEN,@,KAN,L 7-15,,,,,,0.0%,
4,1993,1993-10-03,4,23.016,DEN,,IND,W 35-13,1,1,16,16.00,0,100.0%,16.00
5,1993,1993-10-10,5,23.023,DEN,@,GNB,L 27-30,,,,,,0.0%,
6,1993,1993-10-18,6,23.031,DEN,,RAI,L 20-23,,,,,,0.0%,
7,1993,1993-11-07,8,23.051,DEN,@,CLE,W 29-14,,,,,,0.0%,
8,1993,1993-11-14,9,23.058,DEN,,MIN,L 23-26,,,,,,0.0%,
9,1993,1993-11-21,10,23.065,DEN,,PIT,W 37-13,,,,,,0.0%,
10,1993,1993-11-28,11,23.072,DEN,@,SEA,W 17-9,,,,,,0.0%,
11,1993,1993-12-05,12,23.079,DEN,@,SDG,L 10-13,,,,,,0.0%,
12,1993,1993-12-12,13,23.086,DEN,,KAN,W 27-21,3,1,6,6.00,0,33.3%,2.00
13,1993,1993-12-18,14,23.092,DEN,@,CHI,W 13-3,4,2,17,8.50,0,50.0%,4.25
14,1993,1993-12-26,15,23.100,DEN,,TAM,L 10-17,7,4,40,10.00,0,57.1%,5.71
15,1993,1994-01-02,16,23.107,DEN,@,RAI,L 30-33,,,,,,0.0%,
16,1994,1994-09-26,4,24.009,DEN,@,BUF,L 20-27,,,,,,0.0%,
17,1994,1994-10-09,5,24.022,DEN,@,SEA,W 16-9,,,,,,0.0%,
18,1994,1994-10-17,6,24.030,DEN,,KAN,L 28-31,,,,,,0.0%,
19,1994,1994-10-23,7,24.036,DEN,@,SDG,W 20-15,,,,,,0.0%,
20,1994,1994-10-30,8,24.043,DEN,,CLE,W 26-14,,,,,,0.0%,
21,1994,1994-11-06,9,24.050,DEN,@,RAM,L 21-27,,,,,,0.0%,
22,1994,1994-11-20,11,24.064,DEN,,ATL,W 32-28,1,1,12,12.00,0,100.0%,12.00
23,1994,1994-11-27,12,24.071,DEN,,CIN,W 15-13,,,,,,0.0%,
24,1994,1994-12-04,13,24.078,DEN,@,KAN,W 20-17,,,,,,0.0%,
25,1994,1994-12-11,14,24.085,DEN,@,RAI,L 13-23,,,,,,0.0%,
26,1994,1994-12-17,15,24.091,DEN,@,SFO,L 19-42,1,1,8,8.00,0,100.0%,8.00
27,1994,1994-12-24,16,24.098,DEN,,NOR,L 28-30,,,,,,0.0%,
