ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-12-19,14,23.119,KAN,,DEN,W 45-17,,,,,,,0.0%,,,,,,,,,,,,,,
2,2004,2004-12-25,15,23.125,KAN,,OAK,W 31-30,,,,,,,0.0%,,,,,,,,,,,,,,
3,2004,2005-01-02,16,23.133,KAN,@,SDG,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,
4,2005,2005-09-11,1,24.020,KAN,,NYJ,W 27-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
5,2005,2005-09-18,2,24.027,KAN,@,OAK,W 23-17,,1,0,0,,0,0.0%,0.00,1,6,6.00,0,0,0,,0,0,0,0.0,,
6,2005,2005-09-26,3,24.035,KAN,@,DEN,L 10-30,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,,
7,2005,2005-10-02,4,24.041,KAN,,PHI,L 31-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
8,2005,2005-10-16,5,24.055,KAN,,WAS,W 28-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
9,2005,2005-10-21,6,24.060,KAN,@,MIA,W 30-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
10,2005,2005-10-30,7,24.069,KAN,@,SDG,L 20-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
11,2005,2005-11-06,8,24.076,KAN,,OAK,W 27-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
12,2005,2005-11-13,9,24.083,KAN,@,BUF,L 3-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
13,2005,2005-11-20,10,24.090,KAN,@,HOU,W 45-17,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,0.0,,
14,2005,2005-11-27,11,24.097,KAN,,NWE,W 26-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
15,2005,2005-12-04,12,24.104,KAN,,DEN,W 31-27,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
16,2005,2005-12-11,13,24.111,KAN,@,DAL,L 28-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
17,2005,2005-12-17,14,24.117,KAN,@,NYG,L 17-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
18,2006,2006-09-10,1,25.019,KAN,,CIN,L 10-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
19,2006,2006-09-17,2,25.026,KAN,@,DEN,L 6-9,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
20,2006,2006-10-01,3,25.040,KAN,,SFO,W 41-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
21,2006,2006-10-08,4,25.047,KAN,@,ARI,W 23-20,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,,
22,2006,2006-10-15,5,25.054,KAN,@,PIT,L 7-45,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,,
23,2006,2006-10-22,6,25.061,KAN,,SDG,W 30-27,*,2,2,13,6.50,1,100.0%,6.50,0,0,,0,0,0,,0,1,6,0.0,,
24,2006,2006-10-29,7,25.068,KAN,,SEA,W 35-28,,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0.0,,
25,2006,2006-11-05,8,25.075,KAN,@,STL,W 31-17,*,1,1,11,11.00,1,100.0%,11.00,0,0,,0,0,0,,0,1,6,0.0,,
26,2006,2006-11-12,9,25.082,KAN,@,MIA,L 10-13,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
27,2006,2006-11-19,10,25.089,KAN,,OAK,W 17-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
28,2006,2006-11-23,11,25.093,KAN,,DEN,W 19-10,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,,
29,2006,2006-12-03,12,25.103,KAN,@,CLE,L 28-31,*,3,1,6,6.00,1,33.3%,2.00,0,0,,0,0,0,,0,1,6,0.0,,
30,2006,2006-12-10,13,25.110,KAN,,BAL,L 10-20,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,,
31,2006,2006-12-17,14,25.117,KAN,@,SDG,L 9-20,*,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,0.0,,
32,2006,2006-12-23,15,25.123,KAN,@,OAK,W 20-9,*,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,0.0,,
33,2006,2006-12-31,16,25.131,KAN,,JAX,W 35-30,*,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,0.0,,
34,2007,2007-09-09,1,26.018,KAN,@,HOU,L 3-20,*,2,1,-4,-4.00,0,50.0%,-2.00,0,0,,0,0,0,,0,0,0,0.0,,
35,2007,2007-09-16,2,26.025,KAN,@,CHI,L 10-20,*,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,0,0.0,,
36,2007,2007-09-23,3,26.032,KAN,,MIN,W 13-10,*,6,3,13,4.33,0,50.0%,2.17,0,0,,0,0,0,,0,0,0,0.0,,
