ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-11-18,10,25.004,WAS,,NOR,W 31-17,,0,0,,0,,,4,53,13.25,0,0,0,,0,0,0
2,1990,1990-11-22,11,25.008,WAS,@,DAL,L 17-27,,0,0,,0,,,0,0,,0,,,,,,
3,1990,1990-12-02,12,25.018,WAS,,MIA,W 42-20,,0,0,,0,,,0,0,,0,,,,,,
4,1990,1990-12-09,13,25.025,WAS,,CHI,W 10-9,,0,0,,0,,,0,0,,0,,,,,,
5,1990,1990-12-15,14,25.031,WAS,@,NWE,W 25-10,,0,0,,0,,,0,0,,0,,,,,,
6,1990,1990-12-22,15,25.038,WAS,@,IND,L 28-35,,0,0,,0,,,1,18,18.00,0,0,0,,0,0,0
7,1990,1990-12-30,16,25.046,WAS,,BUF,W 29-14,,1,18,18.00,1,,,1,21,21.00,0,0,0,,0,1,6
8,1991,1991-09-01,1,25.291,WAS,,DET,W 45-0,,0,0,,0,,,0,0,,0,0,0,,0,,
9,1991,1991-09-09,2,25.299,WAS,@,DAL,W 33-31,,0,0,,0,,,0,0,,0,0,0,,0,,
10,1991,1991-09-15,3,25.305,WAS,,PHO,W 34-0,,0,0,,0,,,0,0,,0,0,0,,0,,
11,1991,1991-09-22,4,25.312,WAS,@,CIN,W 34-27,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
12,1991,1991-09-30,5,25.320,WAS,,PHI,W 23-0,,0,0,,0,,,0,0,,0,0,0,,0,,
13,1991,1991-10-06,6,25.326,WAS,@,CHI,W 20-7,,0,0,,0,,,0,0,,0,1,10,10.00,0,0,0
14,1991,1991-10-13,7,25.333,WAS,,CLE,W 42-17,,0,0,,0,,,0,0,,0,0,0,,0,,
15,1991,1991-10-27,8,25.347,WAS,@,NYG,W 17-13,,0,0,,0,,,0,0,,0,0,0,,0,,
16,1991,1991-11-03,9,25.354,WAS,,HOU,W 16-13,,0,0,,0,,,0,0,,0,0,0,,0,,
17,1991,1991-11-10,10,25.361,WAS,,ATL,W 56-17,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
18,1991,1991-11-17,11,26.003,WAS,@,PIT,W 41-14,,0,0,,0,,,1,16,16.00,0,0,0,,0,0,0
19,1991,1991-11-24,12,26.010,WAS,,DAL,L 21-24,,0,0,,0,,,0,0,,0,0,0,,0,,
20,1991,1991-12-01,13,26.017,WAS,@,RAM,W 27-6,,0,0,,0,,,0,0,,0,0,0,,0,,
21,1991,1991-12-08,14,26.024,WAS,@,PHO,W 20-14,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0
22,1991,1991-12-15,15,26.031,WAS,,NYG,W 34-17,,0,0,,0,,,0,0,,0,0,0,,0,,
23,1991,1991-12-22,16,26.038,WAS,@,PHI,L 22-24,,0,0,,0,,,0,0,,0,0,0,,0,,
24,1992,1992-09-07,1,26.298,WAS,@,DAL,L 10-23,,,,,,0.0%,,,,,,,,,,,
25,1992,1992-09-13,2,26.304,WAS,,ATL,W 24-17,,,,,,0.0%,,,,,,,,,,,
