ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,22.068,NOR,,SFO,L 23-26,,,,,,,,,,,,,,,,,,,
2,1980,1980-09-14,2,22.075,NOR,@,CHI,L 3-22,,,,,,,,,,,,,,,,,,,
3,1980,1980-09-21,3,22.082,NOR,,BUF,L 26-35,,,,,,,,,,,,,,,,,,,
4,1980,1980-09-28,4,22.089,NOR,@,MIA,L 16-21,,,,,,,,,,,,,,,,,,,
5,1980,1980-10-05,5,22.096,NOR,,STL,L 7-40,,,,,,,,,,,,,,,,,,,
6,1980,1980-10-12,6,22.103,NOR,@,DET,L 13-24,,,,,,,,,,,,,,,,,,,
7,1980,1980-10-19,7,22.110,NOR,,ATL,L 14-41,,,,,,,,,,,,,,,,,,,
8,1980,1980-10-26,8,22.117,NOR,@,WAS,L 14-22,,,,,,,,,,,,,,,,,,,
9,1980,1980-11-02,9,22.124,NOR,@,RAM,L 31-45,,0,0,,0,,,0,0,,0,2,24,12.00,0,0.0,0,0,0
10,1980,1980-11-09,10,22.131,NOR,,PHI,L 21-34,,,,,,,,,,,,,,,,,,,
11,1980,1980-11-16,11,22.138,NOR,@,ATL,L 13-31,,,,,,,,,,,,,,,,,,,
12,1980,1980-11-24,12,22.146,NOR,,RAM,L 7-27,,,,,,,,,,,,,,,,,,,
13,1980,1980-11-30,13,22.152,NOR,,MIN,L 20-23,,0,0,,0,,,0,0,,0,1,5,5.00,0,0.0,0,0,0
14,1980,1980-12-07,14,22.159,NOR,@,SFO,L 35-38,,,,,,,,,,,,,,,,,,,
15,1980,1980-12-14,15,22.166,NOR,@,NYJ,W 21-20,,,,,,,,,,,,,,,,,,,
16,1980,1980-12-21,16,22.173,NOR,,NWE,L 27-38,,,,,,,,,,,,,,,,,,,
17,1981,1981-09-06,1,23.067,NOR,@,ATL,L 0-27,,,,,,,,,,,,,,,,,,,
18,1981,1981-09-13,2,23.074,NOR,,RAM,W 23-17,,,,,,,,,,,,,,,,,,,
19,1981,1981-09-20,3,23.081,NOR,@,NYG,L 7-20,,,,,,,,,,,,,,,,,,,
20,1981,1981-09-27,4,23.088,NOR,@,SFO,L 14-21,,0,0,,0,,,0,0,,0,0,0,,0,0.0,1,31,0
21,1981,1981-10-04,5,23.095,NOR,,PIT,L 6-20,,,,,,,,,,,,,,,,,,,
22,1981,1981-10-11,6,23.102,NOR,,PHI,L 14-31,,0,0,,0,,,0,0,,0,0,0,,0,0.0,2,23,0
23,1981,1981-10-18,7,23.109,NOR,@,CLE,L 17-20,,,,,,,,,,,,,,,,,,,
24,1981,1981-10-25,8,23.116,NOR,,CIN,W 17-7,,,,,,,,,,,,,,,,,,,
25,1981,1981-11-01,9,23.123,NOR,,ATL,L 10-41,,,,,,,,,,,,,,,,,,,
